# Loadout best-response table for the singleplayer bot.
# row = loadout the HUMAN picked (seat P1); the ranked entries are what the
# BOT (seat P2) should answer with. DIRECTIONAL AND SEAT-SPECIFIC: fitted from
# HeuristicBot-vs-HeuristicBot games with fixed seats, so est_winrate is the
# bot's win rate against HeuristicBot playing that loadout, NOT against Marc.
# Generated by CastleDefense.BotArena counter-matrix + counter/analyze.py.
human_team,human_off,human_def,rank,bot_team,bot_off,bot_def,est_winrate,games
Black,freeze,wall,3,White,freeze,heal,0.9976,216
Black,freeze,wall,4,White,firebomb,heal,0.9976,216
Black,freeze,wall,5,White,firebomb,wall,0.9976,216
Black,freeze,wall,6,White,freeze,wall,0.9976,216
Black,freeze,wall,7,White,freeze,speed,0.9763,16
Blue,nuke,heal,0,White,nuke,heal,0.9976,216
Blue,nuke,heal,1,White,nuke,wall,0.9976,216
Blue,nuke,heal,2,White,freeze,heal,0.9976,216
Blue,nuke,heal,3,White,firebomb,heal,0.9976,216
Blue,nuke,heal,4,White,freeze,speed,0.9976,216
Blue,nuke,heal,5,White,nuke,speed,0.9975,216
Blue,nuke,heal,6,White,firebomb,speed,0.9975,216
Blue,nuke,heal,7,Black,nuke,wall,0.9951,216
Blue,nuke,reinforcements,0,White,nuke,reinforcements,0.9976,216
Blue,nuke,reinforcements,1,White,nuke,wall,0.9976,216
Blue,nuke,reinforcements,2,White,freeze,reinforcements,0.9976,216
Blue,nuke,reinforcements,3,White,firebomb,heal,0.9976,216
Blue,nuke,reinforcements,4,White,firebomb,wall,0.9976,216
Blue,nuke,reinforcements,5,White,freeze,wall,0.9976,216
Blue,nuke,reinforcements,6,White,firebomb,reinforcements,0.9976,216
Blue,nuke,reinforcements,7,White,freeze,heal,0.9887,216
Blue,nuke,speed,0,White,nuke,heal,0.9976,216
Blue,nuke,speed,1,White,nuke,wall,0.9976,216
Blue,nuke,speed,2,White,freeze,heal,0.9976,216
Blue,nuke,speed,3,White,freeze,speed,0.9976,216
Blue,nuke,speed,4,Blue,nuke,heal,0.9976,216
Blue,nuke,speed,5,Black,nuke,wall,0.9975,216
Blue,nuke,speed,6,White,nuke,speed,0.9975,216
Blue,nuke,speed,7,White,firebomb,speed,0.9975,216
Blue,nuke,wall,0,White,nuke,reinforcements,0.9976,216
Blue,nuke,wall,1,White,nuke,heal,0.9976,216
Blue,nuke,wall,2,White,nuke,wall,0.9976,216
Blue,nuke,wall,3,White,freeze,reinforcements,0.9976,216
Blue,nuke,wall,4,White,freeze,heal,0.9976,216
Blue,nuke,wall,5,White,firebomb,heal,0.9976,216
Blue,nuke,wall,6,White,firebomb,wall,0.9976,216
Blue,nuke,wall,7,White,freeze,wall,0.9976,216
Blue,firebomb,heal,0,White,nuke,reinforcements,0.9977,216
Blue,firebomb,heal,1,White,nuke,heal,0.9977,216
Blue,firebomb,heal,2,White,freeze,reinforcements,0.9976,216
Blue,firebomb,heal,3,White,freeze,heal,0.9976,216
Blue,firebomb,heal,4,White,firebomb,heal,0.9976,216
Blue,firebomb,heal,5,White,firebomb,wall,0.9976,216
Blue,firebomb,heal,6,White,freeze,wall,0.9976,216
Blue,firebomb,heal,7,White,freeze,speed,0.9976,216
Blue,firebomb,reinforcements,0,White,nuke,reinforcements,0.9977,216
Blue,firebomb,reinforcements,1,White,nuke,heal,0.9977,216
Blue,firebomb,reinforcements,2,White,nuke,wall,0.9977,216
Blue,firebomb,reinforcements,3,White,freeze,reinforcements,0.9977,216
Blue,firebomb,reinforcements,4,White,freeze,heal,0.9977,216
Blue,firebomb,reinforcements,5,White,firebomb,heal,0.9977,216
Blue,firebomb,reinforcements,6,White,firebomb,wall,0.9977,216
Blue,firebomb,reinforcements,7,White,firebomb,reinforcements,0.9976,216
Blue,firebomb,speed,0,White,nuke,reinforcements,0.9977,216
Blue,firebomb,speed,1,White,nuke,heal,0.9977,216
Blue,firebomb,speed,2,White,nuke,wall,0.9977,216
Blue,firebomb,speed,3,White,freeze,reinforcements,0.9977,216
Blue,firebomb,speed,4,White,freeze,heal,0.9977,216
Blue,firebomb,speed,5,White,firebomb,heal,0.9977,216
Blue,firebomb,speed,6,White,firebomb,wall,0.9977,216
Blue,firebomb,speed,7,White,freeze,wall,0.9977,216
Blue,firebomb,wall,0,White,nuke,reinforcements,0.9977,216
Blue,firebomb,wall,1,White,nuke,heal,0.9977,216
Blue,firebomb,wall,2,White,nuke,wall,0.9977,216
Blue,firebomb,wall,3,White,freeze,reinforcements,0.9977,216
Blue,firebomb,wall,4,White,freeze,heal,0.9977,216
Blue,firebomb,wall,5,White,firebomb,heal,0.9977,216
Blue,firebomb,wall,6,White,firebomb,wall,0.9977,216
Blue,firebomb,wall,7,White,freeze,wall,0.9977,216
Blue,snipe,heal,0,White,nuke,reinforcements,0.9977,216
Blue,snipe,heal,1,White,nuke,heal,0.9977,216
Blue,snipe,heal,2,White,nuke,wall,0.9977,216
Blue,snipe,heal,3,White,freeze,reinforcements,0.9977,216
Blue,snipe,heal,4,White,freeze,heal,0.9977,216
Blue,snipe,heal,5,White,firebomb,heal,0.9977,216
Blue,snipe,heal,6,White,firebomb,wall,0.9977,216
Blue,snipe,heal,7,White,freeze,wall,0.9977,216
Blue,snipe,reinforcements,0,White,nuke,reinforcements,0.9977,216
Blue,snipe,reinforcements,1,White,nuke,heal,0.9977,216
Blue,snipe,reinforcements,2,White,nuke,wall,0.9977,216
Blue,snipe,reinforcements,3,White,freeze,reinforcements,0.9977,216
Blue,snipe,reinforcements,4,White,freeze,heal,0.9977,216
Blue,snipe,reinforcements,5,White,firebomb,heal,0.9977,216
Blue,snipe,reinforcements,6,White,firebomb,wall,0.9977,216
Blue,snipe,reinforcements,7,White,freeze,wall,0.9977,216
Blue,snipe,speed,0,White,nuke,reinforcements,0.9978,216
Blue,snipe,speed,1,White,nuke,heal,0.9978,216
Blue,snipe,speed,2,White,nuke,wall,0.9978,216
Blue,snipe,speed,3,White,freeze,reinforcements,0.9978,216
Blue,snipe,speed,4,White,freeze,heal,0.9977,216
Blue,snipe,speed,5,White,firebomb,heal,0.9977,216
Blue,snipe,speed,6,White,firebomb,wall,0.9977,216
Blue,snipe,speed,7,White,freeze,wall,0.9977,216
Blue,snipe,wall,0,White,nuke,reinforcements,0.9977,216
Blue,snipe,wall,1,White,nuke,heal,0.9977,216
Blue,snipe,wall,2,White,nuke,wall,0.9977,216
Blue,snipe,wall,3,White,freeze,reinforcements,0.9977,216
Blue,snipe,wall,4,White,freeze,heal,0.9977,216
Blue,snipe,wall,5,White,firebomb,heal,0.9977,216
Blue,snipe,wall,6,White,firebomb,wall,0.9977,216
Blue,snipe,wall,7,White,freeze,wall,0.9977,216
Blue,freeze,heal,0,White,nuke,reinforcements,0.9976,216
Blue,freeze,heal,1,White,nuke,heal,0.9976,216
Blue,freeze,heal,2,White,nuke,wall,0.9976,216
Blue,freeze,heal,3,White,freeze,reinforcements,0.9976,216
Blue,freeze,heal,4,White,freeze,heal,0.9976,216
Blue,freeze,heal,5,White,firebomb,heal,0.9976,216
Blue,freeze,heal,6,White,firebomb,wall,0.9976,216
Blue,freeze,heal,7,White,freeze,wall,0.9976,216
Blue,freeze,reinforcements,0,White,nuke,reinforcements,0.9977,216
Blue,freeze,reinforcements,1,White,nuke,heal,0.9977,216
Blue,freeze,reinforcements,2,White,nuke,wall,0.9977,216
Blue,freeze,reinforcements,3,White,freeze,reinforcements,0.9977,216
Blue,freeze,reinforcements,4,White,firebomb,heal,0.9977,216
Blue,freeze,reinforcements,5,White,firebomb,wall,0.9977,216
Blue,freeze,reinforcements,6,White,firebomb,reinforcements,0.9976,216
Blue,freeze,reinforcements,7,Black,nuke,heal,0.9976,216
Blue,freeze,speed,0,White,nuke,reinforcements,0.9977,216
Blue,freeze,speed,1,White,nuke,heal,0.9977,216
Blue,freeze,speed,2,White,nuke,wall,0.9977,216
Blue,freeze,speed,3,White,freeze,reinforcements,0.9977,216
Blue,freeze,speed,4,White,freeze,heal,0.9977,216
Blue,freeze,speed,5,White,firebomb,heal,0.9977,216
Blue,freeze,speed,6,White,firebomb,wall,0.9977,216
Blue,freeze,speed,7,White,freeze,wall,0.9977,216
Blue,freeze,wall,0,White,nuke,reinforcements,0.9977,216
Blue,freeze,wall,1,White,nuke,heal,0.9977,216
Blue,freeze,wall,2,White,nuke,wall,0.9977,216
Blue,freeze,wall,3,White,freeze,reinforcements,0.9977,216
Blue,freeze,wall,4,White,freeze,heal,0.9976,216
Blue,freeze,wall,5,White,firebomb,heal,0.9976,216
Blue,freeze,wall,6,White,firebomb,wall,0.9976,216
Blue,freeze,wall,7,White,freeze,wall,0.9976,216
Green,nuke,heal,0,White,nuke,reinforcements,0.9977,216
Green,nuke,heal,1,White,nuke,wall,0.9977,216
Green,nuke,heal,2,White,freeze,heal,0.9977,216
Green,nuke,heal,3,White,freeze,wall,0.9977,216
Green,nuke,heal,4,White,freeze,speed,0.9976,216
Green,nuke,heal,5,Black,nuke,heal,0.9976,216
Green,nuke,heal,6,Blue,nuke,heal,0.9976,216
Green,nuke,heal,7,White,firebomb,speed,0.9976,216
Green,nuke,reinforcements,0,White,nuke,reinforcements,0.9977,216
Green,nuke,reinforcements,1,White,nuke,heal,0.9977,216
Green,nuke,reinforcements,2,White,nuke,wall,0.9977,216
Green,nuke,reinforcements,3,White,freeze,reinforcements,0.9977,216
Green,nuke,reinforcements,4,White,freeze,heal,0.9977,216
Green,nuke,reinforcements,5,White,firebomb,heal,0.9977,216
Green,nuke,reinforcements,6,White,firebomb,wall,0.9977,216
Green,nuke,reinforcements,7,White,freeze,wall,0.9977,216
Green,nuke,speed,0,White,nuke,reinforcements,0.9977,216
Green,nuke,speed,1,White,nuke,heal,0.9977,216
Green,nuke,speed,2,White,nuke,wall,0.9977,216
Green,nuke,speed,3,White,freeze,heal,0.9977,216
Green,nuke,speed,4,White,firebomb,heal,0.9977,216
Green,nuke,speed,5,White,firebomb,wall,0.9977,216
Green,nuke,speed,6,White,freeze,speed,0.9977,216
Green,nuke,speed,7,Black,nuke,heal,0.9976,216
Green,nuke,wall,0,White,nuke,reinforcements,0.9977,216
Green,nuke,wall,1,White,nuke,heal,0.9977,216
Green,nuke,wall,2,White,nuke,wall,0.9977,216
Green,nuke,wall,3,White,freeze,reinforcements,0.9977,216
Green,nuke,wall,4,White,freeze,heal,0.9977,216
Green,nuke,wall,5,White,firebomb,heal,0.9977,216
Green,nuke,wall,6,White,firebomb,wall,0.9977,216
Green,nuke,wall,7,White,freeze,wall,0.9977,216
Green,firebomb,heal,0,White,nuke,reinforcements,0.9978,216
Green,firebomb,heal,1,White,nuke,wall,0.9977,216
Green,firebomb,heal,2,White,freeze,reinforcements,0.9977,216
Green,firebomb,heal,3,White,firebomb,wall,0.9977,216
Green,firebomb,heal,4,White,freeze,wall,0.9977,216
Green,firebomb,heal,5,White,freeze,speed,0.9977,216
Green,firebomb,heal,6,White,firebomb,reinforcements,0.9977,216
Green,firebomb,heal,7,Black,nuke,heal,0.9977,216
Green,firebomb,reinforcements,0,White,nuke,reinforcements,0.9977,216
Green,firebomb,reinforcements,1,White,nuke,heal,0.9977,216
Green,firebomb,reinforcements,2,White,nuke,wall,0.9977,216
Green,firebomb,reinforcements,3,White,freeze,reinforcements,0.9977,216
Green,firebomb,reinforcements,4,White,freeze,heal,0.9977,216
Green,firebomb,reinforcements,5,White,firebomb,heal,0.9977,216
Green,firebomb,reinforcements,6,White,firebomb,wall,0.9977,216
Green,firebomb,reinforcements,7,White,freeze,wall,0.9977,216
Green,firebomb,speed,0,White,nuke,reinforcements,0.9978,216
Green,firebomb,speed,1,White,nuke,wall,0.9978,216
Green,firebomb,speed,2,White,freeze,reinforcements,0.9978,216
Green,firebomb,speed,3,White,freeze,heal,0.9978,216
Green,firebomb,speed,4,White,firebomb,wall,0.9978,216
Green,firebomb,speed,5,White,freeze,wall,0.9978,216
Green,firebomb,speed,6,White,freeze,speed,0.9977,216
Green,firebomb,speed,7,White,firebomb,reinforcements,0.9977,216
Green,firebomb,wall,0,White,nuke,reinforcements,0.9977,216
Green,firebomb,wall,1,White,nuke,heal,0.9977,216
Green,firebomb,wall,2,White,nuke,wall,0.9977,216
Green,firebomb,wall,3,White,freeze,reinforcements,0.9977,216
Green,firebomb,wall,4,White,freeze,heal,0.9977,216
Green,firebomb,wall,5,White,firebomb,heal,0.9977,216
Green,firebomb,wall,6,White,firebomb,wall,0.9977,216
Green,firebomb,wall,7,White,freeze,wall,0.9977,216
Green,snipe,heal,0,White,nuke,reinforcements,0.9978,216
Green,snipe,heal,1,White,nuke,heal,0.9978,216
Green,snipe,heal,2,White,nuke,wall,0.9978,216
Green,snipe,heal,3,White,freeze,reinforcements,0.9978,216
Green,snipe,heal,4,White,freeze,heal,0.9978,216
Green,snipe,heal,5,White,firebomb,heal,0.9978,216
Green,snipe,heal,6,White,firebomb,wall,0.9978,216
Green,snipe,heal,7,White,freeze,wall,0.9978,216
Green,snipe,reinforcements,0,White,nuke,reinforcements,0.9977,216
Green,snipe,reinforcements,1,White,nuke,heal,0.9977,216
Green,snipe,reinforcements,2,White,nuke,wall,0.9977,216
Green,snipe,reinforcements,3,White,freeze,reinforcements,0.9977,216
Green,snipe,reinforcements,4,White,freeze,heal,0.9977,216
Green,snipe,reinforcements,5,White,firebomb,heal,0.9977,216
Green,snipe,reinforcements,6,White,firebomb,wall,0.9977,216
Green,snipe,reinforcements,7,White,freeze,wall,0.9977,216
Green,snipe,speed,0,White,nuke,reinforcements,0.9978,216
Green,snipe,speed,1,White,nuke,heal,0.9978,216
Green,snipe,speed,2,White,nuke,wall,0.9978,216
Green,snipe,speed,3,White,freeze,reinforcements,0.9978,216
Green,snipe,speed,4,White,freeze,heal,0.9978,216
Green,snipe,speed,5,White,firebomb,heal,0.9978,216
Green,snipe,speed,6,White,firebomb,wall,0.9978,216
Green,snipe,speed,7,White,freeze,wall,0.9978,216
Green,snipe,wall,0,White,nuke,reinforcements,0.9978,216
Green,snipe,wall,1,White,nuke,heal,0.9978,216
Green,snipe,wall,2,White,nuke,wall,0.9978,216
Green,snipe,wall,3,White,freeze,reinforcements,0.9978,216
Green,snipe,wall,4,White,freeze,heal,0.9978,216
Green,snipe,wall,5,White,firebomb,heal,0.9978,216
Green,snipe,wall,6,White,firebomb,wall,0.9978,216
Green,snipe,wall,7,White,freeze,wall,0.9978,216
Green,freeze,heal,0,White,nuke,reinforcements,0.9977,216
Green,freeze,heal,1,White,nuke,heal,0.9977,216
Green,freeze,heal,2,White,nuke,wall,0.9977,216
Green,freeze,heal,3,White,freeze,reinforcements,0.9977,216
Green,freeze,heal,4,White,freeze,heal,0.9977,216
Green,freeze,heal,5,White,firebomb,heal,0.9977,216
Green,freeze,heal,6,White,firebomb,wall,0.9977,216
Green,freeze,heal,7,White,freeze,wall,0.9977,216
Green,freeze,reinforcements,0,White,nuke,reinforcements,0.9977,216
Green,freeze,reinforcements,1,White,nuke,heal,0.9977,216
Green,freeze,reinforcements,2,White,nuke,wall,0.9977,216
Green,freeze,reinforcements,3,White,freeze,reinforcements,0.9977,216
Green,freeze,reinforcements,4,White,freeze,heal,0.9977,216
Green,freeze,reinforcements,5,White,firebomb,heal,0.9977,216
Green,freeze,reinforcements,6,White,firebomb,wall,0.9977,216
Green,freeze,reinforcements,7,White,freeze,wall,0.9977,216
Green,freeze,speed,0,White,nuke,reinforcements,0.9978,216
Green,freeze,speed,1,White,nuke,wall,0.9978,216
Green,freeze,speed,2,White,freeze,reinforcements,0.9978,216
Green,freeze,speed,3,White,freeze,heal,0.9978,216
Green,freeze,speed,4,White,firebomb,heal,0.9978,216
Green,freeze,speed,5,White,freeze,wall,0.9978,216
Green,freeze,speed,6,White,freeze,speed,0.9977,216
Green,freeze,speed,7,White,firebomb,reinforcements,0.9977,216
Green,freeze,wall,0,White,nuke,reinforcements,0.9978,216
Green,freeze,wall,1,White,nuke,wall,0.9978,216
Green,freeze,wall,2,White,freeze,reinforcements,0.9977,216
Green,freeze,wall,3,White,freeze,heal,0.9977,216
Green,freeze,wall,4,White,firebomb,wall,0.9977,216
Green,freeze,wall,5,White,freeze,wall,0.9977,216
Green,freeze,wall,6,White,freeze,speed,0.9977,216
Green,freeze,wall,7,White,firebomb,reinforcements,0.9977,216
Orange,nuke,heal,0,Blue,nuke,wall,0.9975,216
Orange,nuke,heal,1,Purple,nuke,reinforcements,0.9974,216
Orange,nuke,heal,2,Orange,nuke,reinforcements,0.9974,216
Orange,nuke,heal,3,Orange,nuke,wall,0.9875,216
Orange,nuke,heal,4,Blue,freeze,heal,0.9852,216
Orange,nuke,heal,5,White,nuke,wall,0.9802,216
Orange,nuke,heal,6,Black,nuke,wall,0.9480,216
Orange,nuke,heal,7,Black,nuke,reinforcements,0.9445,216
Orange,nuke,reinforcements,0,White,nuke,reinforcements,0.9976,216
Orange,nuke,reinforcements,1,White,nuke,heal,0.9976,216
Orange,nuke,reinforcements,2,White,nuke,wall,0.9976,216
Orange,nuke,reinforcements,3,White,freeze,reinforcements,0.9976,216
Orange,nuke,reinforcements,4,White,firebomb,heal,0.9976,216
Orange,nuke,reinforcements,5,Black,nuke,heal,0.9975,216
Orange,nuke,reinforcements,6,Blue,nuke,heal,0.9716,16
Orange,nuke,reinforcements,7,White,nuke,speed,0.9670,16
Orange,nuke,speed,0,White,nuke,heal,0.9977,216
Orange,nuke,speed,1,White,nuke,wall,0.9977,216
Orange,nuke,speed,2,White,freeze,wall,0.9977,216
Orange,nuke,speed,3,White,freeze,speed,0.9976,216
Orange,nuke,speed,4,White,nuke,speed,0.9976,216
Orange,nuke,speed,5,Blue,nuke,heal,0.9930,216
Orange,nuke,speed,6,White,freeze,heal,0.9888,216
Orange,nuke,speed,7,Black,nuke,wall,0.9884,216
Orange,nuke,wall,0,Blue,nuke,wall,0.9974,216
Orange,nuke,wall,1,Yellow,nuke,reinforcements,0.9924,216
Orange,nuke,wall,2,White,firebomb,speed,0.9880,216
Orange,nuke,wall,3,White,nuke,wall,0.9842,216
Orange,nuke,wall,4,White,firebomb,wall,0.9841,216
Orange,nuke,wall,5,White,freeze,wall,0.9709,216
Orange,nuke,wall,6,Yellow,nuke,wall,0.9636,216
Orange,nuke,wall,7,White,freeze,heal,0.9620,216
Orange,firebomb,heal,0,White,freeze,reinforcements,0.9977,216
Orange,firebomb,heal,1,White,firebomb,heal,0.9977,216
Orange,firebomb,heal,2,White,freeze,wall,0.9977,216
Orange,firebomb,heal,3,White,firebomb,reinforcements,0.9976,216
Orange,firebomb,heal,4,Black,nuke,heal,0.9976,216
Orange,firebomb,heal,5,White,nuke,reinforcements,0.9932,216
Orange,firebomb,heal,6,Blue,nuke,heal,0.9779,16
Orange,firebomb,heal,7,White,nuke,wall,0.9759,216
Orange,firebomb,reinforcements,0,White,nuke,reinforcements,0.9977,216
Orange,firebomb,reinforcements,1,White,nuke,heal,0.9977,216
Orange,firebomb,reinforcements,2,White,nuke,wall,0.9977,216
Orange,firebomb,reinforcements,3,White,freeze,reinforcements,0.9977,216
Orange,firebomb,reinforcements,4,White,freeze,heal,0.9977,216
Orange,firebomb,reinforcements,5,White,firebomb,heal,0.9977,216
Orange,firebomb,reinforcements,6,White,firebomb,wall,0.9977,216
Orange,firebomb,reinforcements,7,White,firebomb,reinforcements,0.9811,16
Orange,firebomb,speed,0,White,nuke,reinforcements,0.9977,216
Orange,firebomb,speed,1,White,nuke,wall,0.9977,216
Orange,firebomb,speed,2,White,freeze,reinforcements,0.9977,216
Orange,firebomb,speed,3,White,freeze,heal,0.9977,216
Orange,firebomb,speed,4,White,firebomb,heal,0.9977,216
Orange,firebomb,speed,5,White,firebomb,wall,0.9977,216
Orange,firebomb,speed,6,White,freeze,wall,0.9934,216
Orange,firebomb,speed,7,White,freeze,speed,0.9861,16
Orange,firebomb,wall,0,White,nuke,reinforcements,0.9977,216
Orange,firebomb,wall,1,White,nuke,heal,0.9977,216
