Team,Tier,ID,Name,Price,Health,Damage,AttackSpeed,DPS,Speed,Width,Height,Description
orange,2,chippy,chippy,5,18,4,2,8,10,50,50,He gets very mad when people try to invade his personal space.
orange,3,pepper,pepper,5,14,7,1.028571429,7.2,9,50,50,"Obligatory ""she's hot"" joke"
orange,4,scott,scott,5,14,9,1.333333333,12,15,50,50,Can light most things on fire. Not water though.
orange,5,zander,zander,3,19,8,1.4,11.2,14,75,75,HE'S NOT CHARMANDER OKAY
orange,6,basketball,basketball,1,12,12,1.6,19.2,24,50,50,It's a basketball.
orange,7,tiger,tiger,27,233,113,0.2,22.6,5,100,100,Notice the moustache... Now notice the terror you feel.
orange,8,hwy,hwy,176,1224,1850,0.2,370,3,200,200,"He was just breathing fire. You can tell 'cause there's still a little bit there. I don't think you wanna mess with that... Like he looks scary enough, but then there's fire too? Yikes dude."
purple,1,blobbo,blobbo,3,16,2,3.2,6.4,8,50,50,It's a uh... blob of something...
purple,2,vile,vile,4,9,6,1.6,9.6,12,50,50,Get it?
purple,3,cant,cant,1,1,3,4,12,15,50,50,"She is armed with a poison tipped fang of the dragon she just killed. Yes, she just killed a dragon. The name is misleading."
purple,4,spike,spike,5,19,7,0.8,5.6,7,50,50,"Unfortunately, he really enjoys hugs."
purple,5,bit,bit,12,22,29,0.3310344828,9.6,12,75,75,"""Nothin' but bits"""
purple,6,cube,cube,12,42,49,0.3265306122,16,20,50,50,CUBE
purple,7,monky,monky,32,279,112,0.2,22.4,7,100,100,His shield is as impenetrable as his beard is luscious.
purple,8,bigblobbo,bigblobbo,120,1403,1100,0.2,220,2,200,200,Large and in charge.
red,1,derpyberd,derpyberd,1,3,2,4,8,10,50,50,lol
red,2,crabbo,crabbo,3,10,4,2,8,10,50,50,"Mess with crabbo, you get the stabbo."
red,3,barry,barry,3,17,3,3.466666667,10.4,13,75,75,He's so cool. I mean just look at those sunglasses. He's a strawberry with sunglasses. Can you be more cool?
red,4,lobbo,lobbo,2,11,4,2.4,9.6,12,50,50,"Mess with lobbo, you get the... damn I can't think of anything that rhymes... uh... Lobbo, more like lobotomizer >:)"
red,5,birdo,birdo,4,19,11,0.8727272727,9.6,12,50,50,Her name is birdo and she is actually a bird. SMH Nintendo
red,6,the_puncher,the_puncher,16,48,58,0.2068965517,12,15,50,50,2 minutes in the ring with this man?
red,7,caw,caw,39,277,137,0.2,27.4,10,100,100,So colorful :)
red,8,draggo,draggo,168,1601,1350,0.2,270,2,200,200,Killing a normal dragon is difficult enough... This is a fat dragon. How you gonna kill a fat dragon? Didn't think so.
white,1,doggo,doggo,3,12,3,2.666666667,8,10,50,50,The basic unit. He's awesome. Excels at tearing down enemy castles.
white,2,catto,catto,3,13,3,2.666666667,8,10,50,50,I'm PAWsitive that she'll be a great addition to your army ;)
white,3,squirt,squirt,3,14,3,2.666666667,8,10,50,50,Young squirrel with many dreams and aspirations.
white,4,ringo,ringo,3,14,5,2.08,10.4,13,50,50,its ya boi
white,5,alpacco,alpacco,10,31,17,0.4705882353,8,10,75,75,Fun Alpaca Fact #42: Did you know that alpaca fur is fire resistant? :D Fun
white,6,bread,bread,17,92,32,0.2,6.4,8,75,50,Imagine dying to a loaf of white bread... Embarassing.
white,7,eggo,eggo,34,178,186,0.2,37.2,15,100,100,Is that... A buff egg?!
white,8,corn,corn,200,1715,1500,0.2,300,1,200,350,So magestic that she clips the page and I'm too lazy to fix it :O
yellow,1,ducko,ducko,3,13,3,2.666666667,8,10,50,50,quack quack motherf***er
yellow,2,minnow,minnow,1,2,2,4.8,9.6,12,50,50,smol boi
yellow,3,cub,cub,3,13,4,2.4,9.6,12,50,50,"Like doggo or catto, but yellow so now he's here."
yellow,4,doc,doc,3,12,6,1.6,9.6,12,50,50,A distinguished Ducko of high stature and a successful medical career.
yellow,5,jig,jig,4,18,11,1.090909091,12,15,75,75,"She has many spots, each represents a victory in battle. Or maybe she's just a jaguar I dunno I thought that sounded cool."
yellow,6,bub,bub,7,35,34,0.2,6.8,3,75,75,Lamp
yellow,7,deus,deus,19,244,76,0.2,15.2,7,100,100,This calls for a crusade.
yellow,8,lyon,lyon,124,997,1600,0.2,320,2,200,200,BEHOLD HIS MAJESTY!!!
