human_team,human_off,human_def,counter_winrate,random_winrate,fixed_winrate,counter_pick
Orange,firebomb,speed,1.0000,0.8300,1.0000,White/nuke/reinforcements
Orange,firebomb,wall,1.0000,0.4175,1.0000,White/nuke/reinforcements
Orange,snipe,heal,1.0000,0.7950,1.0000,White/nuke/reinforcements
Orange,snipe,reinforcements,1.0000,0.3550,1.0000,White/nuke/reinforcements
Orange,snipe,speed,1.0000,0.9550,1.0000,White/nuke/reinforcements
Orange,snipe,wall,1.0000,0.7400,1.0000,White/nuke/reinforcements
Orange,freeze,heal,1.0000,0.4575,1.0000,White/nuke/reinforcements
Orange,freeze,reinforcements,1.0000,0.1650,1.0000,White/nuke/reinforcements
Orange,freeze,speed,1.0000,0.7400,1.0000,White/nuke/reinforcements
Orange,freeze,wall,1.0000,0.3575,1.0000,White/nuke/reinforcements
Purple,nuke,heal,1.0000,0.4650,1.0000,White/nuke/reinforcements
Purple,nuke,reinforcements,1.0000,0.2250,1.0000,White/nuke/reinforcements
Purple,nuke,speed,1.0000,0.7750,1.0000,White/nuke/reinforcements
Purple,nuke,wall,1.0000,0.4075,1.0000,White/nuke/reinforcements
Purple,firebomb,heal,1.0000,0.5200,1.0000,White/nuke/reinforcements
Purple,firebomb,reinforcements,1.0000,0.3650,1.0000,White/nuke/reinforcements
Purple,firebomb,speed,1.0000,0.9200,1.0000,White/nuke/reinforcements
Purple,firebomb,wall,1.0000,0.4850,1.0000,White/nuke/reinforcements
Purple,snipe,heal,1.0000,0.7250,1.0000,White/nuke/reinforcements
Purple,snipe,reinforcements,1.0000,0.2600,1.0000,White/nuke/reinforcements
Purple,snipe,speed,1.0000,0.9600,1.0000,White/nuke/reinforcements
Purple,snipe,wall,1.0000,0.6800,1.0000,White/nuke/reinforcements
Purple,freeze,heal,1.0000,0.4500,1.0000,White/nuke/reinforcements
Purple,freeze,reinforcements,1.0000,0.2700,1.0000,White/nuke/reinforcements
Purple,freeze,speed,1.0000,0.8000,1.0000,White/nuke/reinforcements
Purple,freeze,wall,1.0000,0.3675,1.0000,White/nuke/reinforcements
Red,nuke,heal,1.0000,0.4425,1.0000,White/nuke/reinforcements
Red,nuke,reinforcements,1.0000,0.5250,1.0000,White/nuke/reinforcements
Red,nuke,speed,1.0000,0.8700,1.0000,White/nuke/heal
Red,nuke,wall,1.0000,0.3950,1.0000,White/nuke/reinforcements
Red,firebomb,heal,1.0000,0.5325,1.0000,White/nuke/reinforcements
Red,firebomb,reinforcements,1.0000,0.5550,1.0000,White/nuke/reinforcements
Red,firebomb,speed,1.0000,0.9500,1.0000,White/nuke/reinforcements
Red,firebomb,wall,1.0000,0.4200,1.0000,White/nuke/reinforcements
Red,snipe,heal,1.0000,0.8000,1.0000,White/nuke/reinforcements
Red,snipe,reinforcements,1.0000,0.6900,1.0000,White/nuke/reinforcements
Red,snipe,speed,1.0000,0.9950,1.0000,White/nuke/reinforcements
Red,snipe,wall,1.0000,0.6850,1.0000,White/nuke/reinforcements
Red,freeze,heal,1.0000,0.4200,1.0000,White/nuke/reinforcements
Red,freeze,reinforcements,1.0000,0.6250,1.0000,White/nuke/reinforcements
Red,freeze,speed,1.0000,0.8500,1.0000,White/nuke/reinforcements
Red,freeze,wall,1.0000,0.3625,1.0000,White/nuke/reinforcements
White,nuke,heal,1.0000,0.1300,1.0000,White/nuke/heal
White,nuke,reinforcements,0.0000,0.0075,0.5000,White/nuke/heal
White,nuke,speed,1.0000,0.2850,1.0000,White/nuke/heal
White,nuke,wall,0.0000,0.0800,1.0000,White/nuke/wall
White,firebomb,heal,1.0000,0.0650,1.0000,White/nuke/reinforcements
White,firebomb,reinforcements,0.0000,0.0200,0.0000,White/nuke/heal
White,firebomb,speed,1.0000,0.3500,1.0000,White/nuke/reinforcements
White,firebomb,wall,1.0000,0.0450,1.0000,White/nuke/reinforcements
White,snipe,heal,1.0000,0.3225,1.0000,White/nuke/reinforcements
White,snipe,reinforcements,1.0000,0.0450,1.0000,White/nuke/reinforcements
White,snipe,speed,1.0000,0.5650,1.0000,White/nuke/reinforcements
White,snipe,wall,1.0000,0.1825,1.0000,White/nuke/reinforcements
White,freeze,heal,1.0000,0.0375,1.0000,White/nuke/reinforcements
White,freeze,reinforcements,0.0000,0.0150,0.0000,White/nuke/reinforcements
White,freeze,speed,1.0000,0.2550,1.0000,White/nuke/reinforcements
White,freeze,wall,1.0000,0.0550,1.0000,White/nuke/reinforcements
Yellow,nuke,heal,1.0000,0.4150,1.0000,White/nuke/heal
Yellow,nuke,reinforcements,1.0000,0.2100,1.0000,White/nuke/reinforcements
Yellow,nuke,speed,1.0000,0.6625,1.0000,White/nuke/heal
Yellow,nuke,wall,1.0000,0.3200,1.0000,White/nuke/reinforcements
Yellow,firebomb,heal,1.0000,0.3550,1.0000,White/nuke/reinforcements
Yellow,firebomb,reinforcements,1.0000,0.3300,1.0000,White/nuke/reinforcements
Yellow,firebomb,speed,1.0000,0.6850,1.0000,White/nuke/reinforcements
Yellow,firebomb,wall,1.0000,0.3325,1.0000,White/nuke/reinforcements
Yellow,snipe,heal,1.0000,0.7100,1.0000,White/nuke/reinforcements
Yellow,snipe,reinforcements,1.0000,0.3575,1.0000,White/nuke/reinforcements
Yellow,snipe,speed,1.0000,0.8700,1.0000,White/nuke/reinforcements
Yellow,snipe,wall,1.0000,0.6375,1.0000,White/nuke/reinforcements
Yellow,freeze,heal,1.0000,0.3100,1.0000,White/nuke/reinforcements
Yellow,freeze,reinforcements,1.0000,0.2525,1.0000,White/nuke/reinforcements
Yellow,freeze,speed,1.0000,0.6300,1.0000,White/nuke/reinforcements
Yellow,freeze,wall,1.0000,0.2500,1.0000,White/nuke/reinforcements
