BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7729    32465        0      8      8      330     5628    43676  FOELOST=35556 FOESEEN=43676 OWNSEEN=5628  GAD p1 off=10 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=53 reach=6852 cred=17438 paid=4797 altkill=6852 altcost=4797 altdiff=0  block=277 wiper=53  | wait=1260 watch=895 critical=774 block=640 free=545 wipe=265
11    Orange   1           8179    20669        0      8      8      406     3772    29997  FOELOST=27641 FOESEEN=29997 OWNSEEN=3772  GAD p1 off=23 def=4 sig=9 | p2 off=5 def=5 sig=9  DEFGAD p1=wall_2 p2=wall_2  WIPE n=23 reach=4717 cred=6374 paid=3014 altkill=4717 altcost=3014 altdiff=0  block=381 wiper=24 =1  | watch=1658 block=1246 wait=775 critical=641 free=395 wipe=114
12    Yellow   2           6074        0    45000      6      6      196     2380     7697  FOELOST=5783 FOESEEN=21412 OWNSEEN=2380  GAD p1 off=8 def=7 sig=7 | p2 off=5 def=16 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=32 reach=4134 cred=66192 paid=2216 altkill=4134 altcost=2216 altdiff=0  block=164 wiper=32  | watch=2570 outmatched=970 critical=612 block=364 wait=190 wipe=160
13    Purple   2           5834        0     8405      5      6      214      593    11639  FOELOST=2061 FOESEEN=11639 OWNSEEN=2918  GAD p1 off=9 def=15 sig=9 | p2 off=9 def=16 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=32 reach=1073 cred=92543 paid=411 altkill=1061 altcost=399 altdiff=2  block=182 wiper=32  | watch=2506 critical=989 wait=350 block=228 wipe=160 outmatched=15
14    Black    2           9091        0    78000      8      8      720    53718   168277  FOELOST=118792 FOESEEN=168277 OWNSEEN=53718  GAD p1 off=19 def=26 sig=15 | p2 off=11 def=5 sig=15  DEFGAD p1=speed_3 p2=heal  WIPE n=109 reach=73731 cred=533630 paid=52496 altkill=73731 altcost=52496 altdiff=0  block=611 wiper=109  | critical=2463 watch=1240 wait=725 block=671 wipe=543 outmatched=95
15    Purple   1           8149    24970        0      8      8      327     2814    26467  FOELOST=23815 FOESEEN=26467 OWNSEEN=2814  GAD p1 off=23 def=5 sig=11 | p2 off=16 def=26 sig=2  DEFGAD p1=wall_2 p2=speed_3  WIPE n=26 reach=3174 cred=6641 paid=1926 altkill=3174 altcost=1926 altdiff=0  block=299 wiper=27 =1  | watch=1533 wait=1155 block=779 critical=706 free=500 wipe=130
16    Black    1           8599    32669        0      8      8      559     2408    27410  FOELOST=25717 FOESEEN=27410 OWNSEEN=2408  GAD p1 off=12 def=7 sig=15 | p2 off=18 def=13 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=34 reach=4098 cred=8509 paid=1890 altkill=4098 altcost=1890 altdiff=0  block=523 wiper=35 =1  | block=2129 watch=1391 critical=852 free=450 wait=220 wipe=168 outmatched=35
17    Purple   2           5256        0     2000      7      6      153     2999    13281  FOELOST=5220 FOESEEN=13281 OWNSEEN=2999  GAD p1 off=7 def=6 sig=10 | p2 off=9 def=11 sig=0  DEFGAD p1=heal p2=speed_2  WIPE n=17 reach=3022 cred=56430 paid=2591 altkill=3022 altcost=2591 altdiff=0  block=136 wiper=17  | watch=600 critical=536 block=399 wait=199 outmatched=90 wipe=83
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5077        0    18425      5      7      209     1248     3924  FOELOST=6795 FOESEEN=17989 OWNSEEN=1248  GAD p1 off=6 def=8 sig=7 | p2 off=6 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=41 reach=1869 cred=41051 paid=576 altkill=1869 altcost=576 altdiff=0  block=168 wiper=41  | watch=2420 critical=896 wait=405 wipe=202 outmatched=5
20    Blue     2           8233        0    40500      8      8      531    10382    33535  FOELOST=21967 FOESEEN=33535 OWNSEEN=10382  GAD p1 off=17 def=6 sig=22 | p2 off=8 def=1 sig=11  DEFGAD p1=wall_2 p2=wall  WIPE n=73 reach=18178 cred=33473 paid=9930 altkill=18178 altcost=9921 altdiff=1  block=455 wiper=75 =1  | watch=1535 critical=1497 block=773 wait=660 wipe=361 outmatched=45
21    Red      2           5925        0     1664      7      7      106      807     2316  FOELOST=4190 FOESEEN=18807 OWNSEEN=807  GAD p1 off=15 def=9 sig=8 | p2 off=6 def=17 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=19 reach=894 cred=14439 paid=633 altkill=894 altcost=633 altdiff=0  block=87 wiper=19  | watch=3400 wait=615 critical=365 outmatched=160 wipe=95 block=80
22    Blue     2          12533        0    87500      8      8      983    81655   119472  FOELOST=109334 FOESEEN=119472 OWNSEEN=158697  GAD p1 off=11 def=37 sig=22 | p2 off=21 def=6 sig=18  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=74 reach=179698 cred=322658 paid=80746 altkill=179767 altcost=80768 altdiff=2  block=909 wiper=74  | watch=3495 block=2654 critical=2256 wait=1320 wipe=373 free=110 outmatched=20
23    Red      1          12691    17201        0      8      7      728     3606    21727  FOELOST=21727 FOESEEN=21727 OWNSEEN=209121  GAD p1 off=22 def=36 sig=19 | p2 off=18 def=18 sig=20  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=51 reach=4917 cred=33721 paid=2929 altkill=4917 altcost=2929 altdiff=0  block=677 wiper=51  | watch=4960 block=3469 wait=1720 critical=577 wipe=270 outmatched=230 free=110
24    Green    1           7759    35895        0      8      8      327     5208    33011  FOELOST=27639 FOESEEN=33011 OWNSEEN=5208  GAD p1 off=14 def=24 sig=15 | p2 off=15 def=24 sig=8  DEFGAD p1=speed_3 p2=speed_3  WIPE n=54 reach=8069 cred=12377 paid=4389 altkill=8069 altcost=4389 altdiff=0  block=273 wiper=54  | watch=1290 block=1287 wait=970 free=490 wipe=273 critical=94
25    White    1           8239    12197        0      8      8      402     5398    30828  FOELOST=28885 FOESEEN=30828 OWNSEEN=5398  GAD p1 off=11 def=7 sig=11 | p2 off=23 def=9 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=46 reach=10676 cred=21066 paid=4351 altkill=10676 altcost=4351 altdiff=0  block=354 wiper=47 =1  | wait=1375 block=950 critical=816 free=630 watch=614 outmatched=275 wipe=234
26    Green    1           8236    34940        0      8      8      328     5117    35372  FOELOST=34267 FOESEEN=35372 OWNSEEN=5117  GAD p1 off=11 def=12 sig=14 | p2 off=18 def=26 sig=2  DEFGAD p1=heal_2 p2=speed_3  WIPE n=50 reach=9474 cred=34982 paid=4005 altkill=9474 altcost=4005 altdiff=0  block=278 wiper=50  | watch=1560 block=1210 wait=865 free=555 wipe=259 critical=257 outmatched=185
27    White    2           7710        0    53000      6      7      383     3593    36714  FOELOST=16181 FOESEEN=36714 OWNSEEN=53138  GAD p1 off=13 def=19 sig=17 | p2 off=8 def=12 sig=13  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=46 reach=4631 cred=57389 paid=3256 altkill=4631 altcost=3256 altdiff=0  block=337 wiper=46  | watch=2180 critical=1626 wait=1350 block=429 wipe=239 outmatched=105
28    Green    2           5284        0     1600      5      7      113     1914     9153  FOELOST=5988 FOESEEN=33548 OWNSEEN=1914  GAD p1 off=15 def=8 sig=5 | p2 off=4 def=17 sig=10  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=15 reach=2355 cred=16423 paid=1718 altkill=2355 altcost=1718 altdiff=0  block=98 wiper=15  | watch=2649 wait=774 critical=534 wipe=75 block=60 outmatched=39
29    Yellow   1           8540    44000        0      8      8      302    21758    33713  FOELOST=33709 FOESEEN=33713 OWNSEEN=21758  GAD p1 off=13 def=23 sig=14 | p2 off=9 def=5 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=36 reach=23618 cred=36763 paid=21492 altkill=23618 altcost=21492 altdiff=0  block=266 wiper=36  | watch=2135 wait=1050 block=963 critical=371 outmatched=340 wipe=184 free=170
30    Orange   2           5322        0     2000      5      7      144     2738    18286  FOELOST=6145 FOESEEN=42681 OWNSEEN=2738  GAD p1 off=6 def=4 sig=4 | p2 off=7 def=17 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=45 reach=4411 cred=87605 paid=2643 altkill=4411 altcost=2643 altdiff=0  block=97 wiper=46 =1  | watch=2635 wait=730 critical=451 wipe=225 outmatched=105 block=30
31    Yellow   1           8097    26117        0      8      8      324     3194    23844  FOELOST=21034 FOESEEN=23844 OWNSEEN=3194  GAD p1 off=23 def=10 sig=9 | p2 off=14 def=2 sig=10  DEFGAD p1=heal_2 p2=wall  WIPE n=36 reach=6079 cred=16671 paid=2618 altkill=6053 altcost=2567 altdiff=1  block=288 wiper=36  | watch=2320 critical=843 wait=670 block=604 wipe=179 free=132
32    Orange   2           7735        0    28169      5      7      255     3056    18505  FOELOST=7689 FOESEEN=18505 OWNSEEN=5936  GAD p1 off=9 def=15 sig=9 | p2 off=13 def=2 sig=19  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=50 reach=3402 cred=12483 paid=2441 altkill=3402 altcost=2441 altdiff=0  block=205 wiper=50  | watch=2765 wait=2035 critical=1042 wipe=250 outmatched=190
33    Yellow   1           8356    18472        0      8      8      397     1862    56525  FOELOST=28420 FOESEEN=56525 OWNSEEN=1862  GAD p1 off=12 def=23 sig=14 | p2 off=17 def=26 sig=9  DEFGAD p1=speed_3 p2=speed_3  WIPE n=32 reach=2954 cred=5755 paid=1497 altkill=2954 altcost=1497 altdiff=0  block=365 wiper=32  | watch=2273 block=1831 wait=399 free=251 wipe=158 critical=79
34    Orange   1           7669    24970        0      8      8      376     5131    14894  FOELOST=10072 FOESEEN=14894 OWNSEEN=5131  GAD p1 off=14 def=8 sig=15 | p2 off=17 def=8 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=52 reach=6096 cred=17634 paid=4183 altkill=6096 altcost=4183 altdiff=0  block=320 wiper=55 =1  | watch=1234 critical=1153 wait=760 block=427 free=405 wipe=257 outmatched=105
35    Black    2           5733        0    33900      7      6      213     1297    15809  FOELOST=2461 FOESEEN=15809 OWNSEEN=1297  GAD p1 off=6 def=8 sig=4 | p2 off=4 def=15 sig=4  DEFGAD p1=heal_2 p2=speed_2  WIPE n=38 reach=1766 cred=195024 paid=947 altkill=1766 altcost=947 altdiff=0  block=175 wiper=38  | critical=851 watch=650 block=349 wait=315 wipe=185 outmatched=40
36    Purple   1           9689    42916        0      8      8      605    76516   165831  FOELOST=163983 FOESEEN=165831 OWNSEEN=76516  GAD p1 off=14 def=9 sig=17 | p2 off=6 def=17 sig=16  DEFGAD p1=heal_2 p2=heal_2  WIPE n=88 reach=82966 cred=165103 paid=74448 altkill=82966 altcost=74317 altdiff=1  block=517 wiper=88  | critical=1391 block=1320 wait=1265 watch=963 free=750 wipe=437 outmatched=210
37    Black    2           6263        0    11748      5      7      181     1878     6780  FOELOST=7304 FOESEEN=22350 OWNSEEN=4203  GAD p1 off=6 def=15 sig=7 | p2 off=10 def=17 sig=2  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=38 reach=2841 cred=57844 paid=1735 altkill=2841 altcost=1735 altdiff=0  block=143 wiper=38  | watch=2785 wait=970 critical=671 block=275 wipe=187 outmatched=165
38    Purple   1           9139    35766        0      8      8      362    20217    60259  FOELOST=57379 FOESEEN=60259 OWNSEEN=20217  GAD p1 off=26 def=25 sig=13 | p2 off=11 def=5 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=23 reach=26939 cred=62602 paid=19539 altkill=26939 altcost=19539 altdiff=0  block=339 wiper=23  | watch=2209 critical=1215 outmatched=1090 block=505 free=465 wait=210 wipe=113
39    Black    2           4260        0     1500      4      6      139      894     5926  FOELOST=2361 FOESEEN=8851 OWNSEEN=894  GAD p1 off=5 def=3 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=25 reach=1317 cred=25427 paid=783 altkill=1317 altcost=783 altdiff=0  block=113 wiper=25 =1  | watch=1925 critical=460 outmatched=245 wait=225 block=135 wipe=125
40    Purple   2           8688        0    34000      8      8      324     6611    30479  FOELOST=25973 FOESEEN=30479 OWNSEEN=6611  GAD p1 off=18 def=3 sig=16 | p2 off=13 def=3 sig=14  DEFGAD p1=heal p2=wall_2  WIPE n=24 reach=8263 cred=18617 paid=6311 altkill=8263 altcost=6311 altdiff=0  block=300 wiper=24  | watch=2159 block=998 wait=789 outmatched=580 critical=566 free=155 wipe=119
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8239    30966        0      8      8      301     3185    28851  FOELOST=26115 FOESEEN=28851 OWNSEEN=3185  GAD p1 off=13 def=22 sig=11 | p2 off=18 def=26 sig=9  DEFGAD p1=speed_3 p2=speed_3  WIPE n=36 reach=7181 cred=9864 paid=2390 altkill=7181 altcost=2390 altdiff=0  block=265 wiper=36  | wait=1465 watch=1280 block=1210 free=600 wipe=176 critical=158
43    Blue     2           8195        0     1500      8      8      413     8878    84517  FOELOST=28768 FOESEEN=84517 OWNSEEN=8878  GAD p1 off=11 def=24 sig=13 | p2 off=5 def=11 sig=14  DEFGAD p1=speed_3 p2=heal_2  WIPE n=57 reach=9734 cred=171921 paid=7454 altkill=9734 altcost=7454 altdiff=0  block=356 wiper=57  | wait=1424 critical=1310 watch=1028 block=506 wipe=379 outmatched=175 free=40
44    Red      1           8899    28532        0      8      8      548     8478    35039  FOELOST=31949 FOESEEN=35039 OWNSEEN=8478  GAD p1 off=17 def=6 sig=21 | p2 off=9 def=27 sig=10  DEFGAD p1=wall_2 p2=speed_3  WIPE n=46 reach=12112 cred=24521 paid=7982 altkill=12112 altcost=7982 altdiff=0  block=499 wiper=48 =1  | block=1977 watch=1485 free=645 critical=615 wait=585 wipe=225
45    Blue     2           7080        0    30430      8      7      391     4044    51121  FOELOST=10673 FOESEEN=51121 OWNSEEN=4044  GAD p1 off=11 def=9 sig=7 | p2 off=8 def=2 sig=11  DEFGAD p1=heal_2 p2=heal  WIPE n=46 reach=4833 cred=144067 paid=3354 altkill=5877 altcost=4199 altdiff=1  block=345 wiper=46  | critical=1689 watch=888 wait=764 wipe=235 outmatched=120 block=61
46    White    1          14739    63660        0      8      8      952     9042   101129  FOELOST=100993 FOESEEN=101129 OWNSEEN=95982  GAD p1 off=25 def=39 sig=22 | p2 off=24 def=42 sig=17  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=45 reach=35165 cred=111553 paid=8135 altkill=35199 altcost=8160 altdiff=1  block=907 wiper=45  | watch=5486 block=4061 free=1305 outmatched=840 wait=674 critical=613 wipe=233
47    Green    2           8643        0     2000      8      8      520     7663    34387  FOELOST=31455 FOESEEN=34387 OWNSEEN=7663  GAD p1 off=17 def=24 sig=16 | p2 off=15 def=4 sig=12  DEFGAD p1=speed_3 p2=wall_2  WIPE n=68 reach=16182 cred=48860 paid=7211 altkill=16157 altcost=7145 altdiff=1  block=452 wiper=68  | block=1988 watch=1560 wait=835 critical=464 wipe=340 free=55 outmatched=25
48    White    1          10639    22814        0      8      8      921    30664    32121  FOELOST=133360 FOESEEN=137361 OWNSEEN=30664  GAD p1 off=30 def=8 sig=16 | p2 off=19 def=31 sig=4  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=80 reach=80645 cred=358777 paid=28998 altkill=80645 altcost=28998 altdiff=0  block=838 wiper=82 =1  | watch=2889 critical=2812 block=1767 wait=895 free=550 wipe=395 outmatched=95
49    Green    1           8359    28500        0      8      7      401     8456    49075  FOELOST=48963 FOESEEN=49075 OWNSEEN=8456  GAD p1 off=13 def=0 sig=12 | p2 off=16 def=4 sig=12  DEFGAD p1=heal p2=wall_2  WIPE n=45 reach=7777 cred=1230687 paid=7388 altkill=7777 altcost=7388 altdiff=0  block=356 wiper=45  | watch=1814 critical=1800 outmatched=755 wait=295 wipe=229 free=150
50    White    2           5402        0     1514      5      7      192     1245    10408  FOELOST=11249 FOESEEN=24473 OWNSEEN=1245  GAD p1 off=6 def=9 sig=7 | p2 off=10 def=16 sig=10  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=48 reach=1434 cred=43552 paid=669 altkill=1434 altcost=669 altdiff=0  block=144 wiper=48  | watch=2360 wait=910 critical=732 wipe=240 outmatched=10
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           7480        0    19700      8      8      414     9335    39300  FOELOST=11830 FOESEEN=39300 OWNSEEN=9335  GAD p1 off=8 def=21 sig=5 | p2 off=4 def=0 sig=18  DEFGAD p1=speed_2 p2=heal  WIPE n=70 reach=10045 cred=73084 paid=8647 altkill=10045 altcost=8647 altdiff=0  block=344 wiper=70  | critical=1215 watch=819 wipe=699 wait=624 block=520 outmatched=275
53    Orange   1           8815    12000        0      8      8      573     9338    34107  FOELOST=34107 FOESEEN=34107 OWNSEEN=9338  GAD p1 off=12 def=4 sig=16 | p2 off=12 def=28 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=49 reach=33492 cred=39704 paid=8818 altkill=33492 altcost=8818 altdiff=0  block=521 wiper=51 =1  | block=2039 watch=1379 critical=1074 wait=615 wipe=252 free=105
54    Yellow   2           7630        0     2000      8      7      665     3589    58642  FOELOST=17481 FOESEEN=58642 OWNSEEN=3589  GAD p1 off=15 def=9 sig=20 | p2 off=13 def=2 sig=12  DEFGAD p1=heal_2 p2=heal  WIPE n=84 reach=4229 cred=615057 paid=3008 altkill=4229 altcost=3008 altdiff=0  block=581 wiper=84  | critical=2919 watch=665 wipe=424 wait=205 outmatched=60 block=10
55    Orange   1           6328    32120        0      7      6       20       90     4377  FOELOST=4350 FOESEEN=4377 OWNSEEN=28470  GAD p1 off=9 def=19 sig=5 | p2 off=12 def=19 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=9 reach=156 cred=666 paid=68 altkill=156 altcost=68 altdiff=0  block=11 wiper=9  | watch=4158 wait=620 critical=54 wipe=44 block=5
56    Yellow   1           8539     1460        0      8      8      432     3324    31335  FOELOST=29746 FOESEEN=31335 OWNSEEN=3324  GAD p1 off=12 def=24 sig=12 | p2 off=18 def=1 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=43 reach=4186 cred=15281 paid=2157 altkill=4019 altcost=1883 altdiff=6  block=389 wiper=43  | block=1330 watch=964 critical=755 outmatched=720 wait=605 free=595 wipe=212
57    Purple   2           6844        0    12000      6      7      393     5785    28344  FOELOST=23951 FOESEEN=63129 OWNSEEN=5785  GAD p1 off=13 def=21 sig=11 | p2 off=12 def=20 sig=0  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=60 reach=12414 cred=169190 paid=5452 altkill=12414 altcost=5452 altdiff=0  block=333 wiper=60  | watch=2447 critical=1580 wait=590 outmatched=390 block=306 wipe=302
58    Black    1           7519    24970        0      8      8      317     3281    13857  FOELOST=13382 FOESEEN=13857 OWNSEEN=3281  GAD p1 off=20 def=5 sig=15 | p2 off=5 def=4 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=30 reach=3611 cred=7659 paid=2435 altkill=3611 altcost=2435 altdiff=0  block=285 wiper=31 =1  | watch=1579 block=942 wait=844 critical=466 free=185 wipe=147 outmatched=5
59    Purple   2           5277        0    18751      5      7      146     1978    18802  FOELOST=6084 FOESEEN=43197 OWNSEEN=1978  GAD p1 off=8 def=7 sig=6 | p2 off=4 def=17 sig=10  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=32 reach=2820 cred=109807 paid=1636 altkill=2739 altcost=1504 altdiff=3  block=114 wiper=32  | watch=1940 wait=855 outmatched=590 critical=579 wipe=165
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           7455        0     2000      8      8      397     4084    61814  FOELOST=14032 FOESEEN=61814 OWNSEEN=4084  GAD p1 off=19 def=20 sig=17 | p2 off=9 def=3 sig=17  DEFGAD p1=speed_2 p2=heal  WIPE n=58 reach=4434 cred=47735 paid=3745 altkill=4434 altcost=3745 altdiff=0  block=339 wiper=58  | watch=1305 critical=870 block=819 wait=705 wipe=297 outmatched=115
62    Black    1           7969    22000        0      8      8      287     3530    23439  FOELOST=21699 FOESEEN=23439 OWNSEEN=3530  GAD p1 off=7 def=4 sig=8 | p2 off=16 def=25 sig=10  DEFGAD p1=wall_2 p2=speed_3  WIPE n=39 reach=6649 cred=9356 paid=3042 altkill=6649 altcost=3042 altdiff=0  block=245 wiper=41 =1  | watch=2188 block=876 wait=780 critical=379 free=210 wipe=195
63    Red      2           8705        0     2000      8      8      588     8917    63524  FOELOST=17594 FOESEEN=63524 OWNSEEN=8917  GAD p1 off=12 def=14 sig=18 | p2 off=17 def=13 sig=23  DEFGAD p1=heal_2 p2=heal_2  WIPE n=82 reach=13719 cred=104885 paid=8411 altkill=13719 altcost=8411 altdiff=0  block=506 wiper=82  | critical=1499 watch=1310 block=1260 wait=544 wipe=412 outmatched=320 free=25
64    Blue     1           9139    54000        0      8      8      518     2968    96482  FOELOST=94102 FOESEEN=96482 OWNSEEN=2968  GAD p1 off=18 def=13 sig=16 | p2 off=23 def=30 sig=11  DEFGAD p1=heal_2 p2=speed_3  WIPE n=50 reach=5076 cred=8499 paid=2500 altkill=5026 altcost=2434 altdiff=1  block=468 wiper=50  | block=2388 watch=1669 free=700 wait=595 wipe=253 critical=173
65    Red      2           9022        0    28930      8      8      496    11597    97504  FOELOST=26032 FOESEEN=97504 OWNSEEN=91217  GAD p1 off=12 def=27 sig=10 | p2 off=22 def=4 sig=16  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=45 reach=43526 cred=373294 paid=10695 altkill=43526 altcost=10695 altdiff=0  block=451 wiper=45  | watch=3940 block=1317 wait=1155 critical=968 wipe=222 outmatched=80
