game,arm,result,start_s,dur_s,cost,dmg,killed,foe_unit_spend,own_units,foe_units,foe_hp,foe_hp_pct,foe_maxhp,bot_money,bot_inv,foe_rc,push_dps,kill_secs,foe_repairs,foe_repair_spend,foe_outflow,dmg_value,attack_units,ended_by
73373F,heuristic,BOT,169.2,6.3,90,14068,0,3775,26,0,11235,33,34000,886,7,3,1113,10.1,1,169,4469,189,5,all-dead
73373F,heuristic,BOT,170.3,5.1,18,12616,0,3772,31,2,22109,49,45000,1546,7,4,4831,4.6,0,0,3872,375,1,all-dead
73373F,heuristic,BOT,168.8,7.7,2066,14263,0,4487,25,2,11430,34,34000,2202,7,3,1038,11.0,1,169,4706,190,1,all-dead
73373F,heuristic,BOT,170.7,6.4,356,7256,0,4276,32,1,16749,37,45000,1528,7,4,8261,2.0,0,0,3851,234,2,all-dead
73373F,heuristic,BOT,175.2,7.6,2066,45,0,1450,7,1,9538,21,45000,4007,7,4,3580,2.7,0,0,2200,2,1,pushed-back
6B54E9,heuristic,BOT,215.5,3.5,90,22823,0,6,46,0,20498,60,34000,449,8,3,8010,2.6,2,663,1494,247,5,all-dead
6B54E9,heuristic,BOT,216.7,12.1,2120,11194,0,1805,54,0,40387,72,56000,1383,8,5,18775,2.2,0,0,2080,943,4,all-dead
6B54E9,heuristic,BOT,247.3,7.7,10330,7328,0,65,57,6,18320,33,56000,15014,8,5,4106,4.5,0,0,10515,774,5,all-dead
6B54E9,heuristic,BOT,245.3,52.7,23000,21201,0,94513,48,2,29193,52,56000,58521,8,5,17300,1.7,0,0,35488,1990,1,all-dead
6B54E9,heuristic,BOT,246.0,52.0,23000,10781,0,93659,50,4,18773,34,56000,37521,8,5,13720,1.4,0,0,34884,1133,1,all-dead
6B54E9,heuristic,BOT,301.5,0.0,2066,3162,1,0,56,0,3162,6,56000,12372,8,5,27660,0.1,0,0,83,405,1,game-over
60E651,heuristic,MARC,129.7,21.2,338,3417,0,338,48,1,7830,65,12000,1658,6,1,725,10.8,1,26,842,8,1,all-dead
062600,heuristic,BOT,140.7,12.4,2512,3663,0,434,52,0,17144,50,34000,3775,6,3,1445,11.9,0,0,984,43,8,all-dead
062600,heuristic,BOT,148.2,10.1,2066,1500,0,401,8,3,13481,40,34000,3608,6,3,6860,2.0,1,169,1134,19,1,all-dead
062600,heuristic,BOT,185.7,5.5,36,35372,1,316,56,1,23807,53,45000,1324,7,4,17356,1.4,1,493,0,1025,2,game-over
062600,heuristic,BOT,189.3,1.8,2404,12984,1,20,35,2,12984,23,56000,2819,7,5,3805,3.4,0,0,1310,1462,2,game-over
062600,heuristic,BOT,190.7,0.5,18,2429,1,0,34,2,2429,4,56000,931,7,5,225,10.8,0,0,1040,314,1,game-over
062600,heuristic,BOT,191.0,0.1,2066,2369,1,0,36,0,2369,4,56000,3145,7,5,7235,0.3,0,0,1540,307,1,game-over
6AC9EA,heuristic,BOT,168.8,0.4,6198,7351,1,0,20,2,7351,32,23000,11853,7,2,10365,0.7,0,0,0,47,3,game-over
0508CC,heuristic,BOT,169.8,2.4,54,640,0,175,69,1,17541,76,23000,2263,7,2,1600,11.0,0,0,24,3,3,all-dead
0508CC,heuristic,BOT,167.7,5.0,6198,3022,0,220,72,2,19923,87,23000,8626,7,2,1975,10.1,0,0,712,12,3,all-dead
0508CC,heuristic,BOT,310.7,0.3,4132,11019,1,0,39,0,11019,20,56000,6635,8,5,4064,2.7,0,0,667,1272,2,game-over
A6BF5C,heuristic,BOT,195.8,0.8,23000,11075,1,138,102,10,11075,48,23000,23502,7,2,975,11.4,0,0,13,61,1,game-over
2665B8,heuristic,BOT,136.3,3.7,2066,90,0,0,113,0,10700,89,12000,5078,6,1,975,11.0,0,0,0,0,1,pushed-back
BAD8CF,heuristic,BOT,291.8,0.2,4132,49050,1,0,178,3,49050,63,78000,17834,8,7,5755,8.5,0,0,0,125407,2,game-over
0BA923,heuristic,MARC,166.3,3.2,2066,2832,0,24,124,9,20204,88,23000,8763,7,2,2400,8.4,0,0,666,11,1,pushed-back
0BA923,heuristic,MARC,166.8,3.0,4132,750,0,0,125,8,18122,79,23000,6661,7,2,3275,5.5,0,0,600,3,2,pushed-back
E49894,heuristic,BOT,148.8,5.7,6360,5415,0,0,152,0,9911,83,12000,7785,6,1,900,11.0,0,0,0,10,12,pushed-back
E49894,heuristic,BOT,165.7,0.3,4132,12782,1,0,99,0,12782,56,23000,6018,6,2,2175,5.9,0,0,18,66,2,game-over
B922FB,heuristic,BOT,134.8,4.4,4222,2208,0,0,129,0,8676,72,12000,4631,6,1,1375,6.3,1,26,0,5,7,pushed-back
B922FB,heuristic,BOT,166.7,3.0,4132,105,0,0,135,0,15002,65,23000,7657,6,2,2225,6.7,0,0,772,0,2,pushed-back
B922FB,heuristic,BOT,199.2,0.3,4132,12759,1,0,232,0,12759,38,34000,4574,7,3,10890,1.2,0,0,450,165,2,game-over
B657D0,heuristic,BOT,138.2,4.5,4240,3396,0,0,137,0,6192,52,12000,5646,6,1,825,7.5,1,26,201,9,8,pushed-back
B657D0,heuristic,BOT,154.2,1.0,4204,9618,1,0,163,0,9618,42,23000,4982,6,2,1800,5.3,0,0,0,56,6,game-over
A9FF8D,heuristic,BOT,164.7,3.6,2066,531,0,0,134,3,9235,77,12000,9509,7,1,825,11.2,0,0,325,1,1,pushed-back
A9FF8D,heuristic,BOT,165.5,3.2,2066,531,0,0,113,3,9235,77,12000,6681,7,1,3100,3.0,0,0,750,1,1,pushed-back
A9FF8D,heuristic,BOT,166.0,3.0,4132,267,0,0,113,2,8971,75,12000,5266,7,1,1250,7.2,0,0,625,1,2,pushed-back
A9FF8D,heuristic,BOT,230.5,0.3,25066,10313,1,0,104,6,10313,45,23000,36258,7,2,3730,2.8,0,0,750,58,2,game-over
A8C7AC,heuristic,MARC,150.0,5.3,144,4929,0,0,157,0,7793,65,12000,757,7,1,1500,5.2,1,26,134,11,8,pushed-back
A8C7AC,heuristic,MARC,166.0,3.4,2066,960,0,0,125,4,9248,40,23000,10049,7,2,2175,4.3,1,66,966,6,1,pushed-back
A8C7AC,heuristic,MARC,166.3,3.2,2066,87,0,0,102,5,8375,36,23000,7983,7,2,1200,7.0,1,66,841,1,1,pushed-back
B97D98,heuristic,BOT,118.0,5.1,144,1452,0,0,46,0,9807,82,12000,1347,6,1,900,10.9,0,0,224,3,8,pushed-back
B97D98,heuristic,BOT,150.2,3.7,54,519,0,0,150,0,18480,80,23000,164,7,2,1750,10.6,0,0,397,2,3,pushed-back
B97D98,heuristic,BOT,211.0,19.1,33686,37013,1,678,245,0,22526,66,34000,33628,7,3,5305,4.2,1,169,0,385,8,game-over
B97D98,heuristic,BOT,230.0,0.1,2066,3017,1,0,190,5,3017,7,45000,9575,7,4,55530,0.1,0,0,167,125,1,game-over
A280FB,heuristic,MARC,128.8,5.3,712,1692,0,0,45,0,868,43,2000,1663,6,0,175,5.0,2,35,0,2,4,all-dead
A280FB,heuristic,MARC,261.3,11.8,6216,33215,0,5014,46,2,61343,79,78000,7229,8,7,17450,3.5,0,0,0,79355,4,all-dead
A280FB,heuristic,MARC,272.8,5.5,2084,60,0,23504,37,9,28188,36,78000,977,8,7,3580,7.9,0,0,27077,174,2,all-dead
A280FB,heuristic,MARC,260.3,35.5,25066,50545,0,29355,44,7,13714,30,45000,29867,8,4,10590,1.3,3,11127,158456,1714,2,all-dead
A280FB,heuristic,MARC,271.0,28.5,25084,22540,0,28599,44,2,38668,50,78000,24253,8,7,17225,2.2,0,0,150990,61257,3,all-dead
767230,heuristic_repairfix,BOT,183.8,10.7,2066,12070,0,24071,50,9,28005,82,34000,18234,7,3,13870,2.0,0,0,25586,113,1,all-dead
767230,heuristic_repairfix,BOT,192.3,5.7,2066,5300,0,603,43,4,21235,62,34000,22543,7,3,20580,1.0,0,0,2793,57,1,all-dead
767230,heuristic_repairfix,BOT,286.8,0.6,6216,25857,1,23000,66,0,25857,46,56000,4662,8,5,2775,9.3,0,0,21917,2514,4,game-over
AB4456,heuristic_repairfix,MARC,134.8,4.1,4132,102,0,46,113,1,8889,74,12000,4479,6,1,800,11.1,0,0,90,0,2,pushed-back
3461B7,heuristic_repairfix,MARC,132.8,10.1,2066,2361,0,2800,51,1,8929,74,12000,4050,6,1,851,10.5,0,0,1805,5,1,all-dead
3461B7,heuristic_repairfix,MARC,135.3,7.6,2404,1707,0,2462,45,2,8275,69,12000,2639,6,1,789,10.5,0,0,2913,4,2,all-dead
3461B7,heuristic_repairfix,MARC,142.5,8.3,374,0,0,2120,26,1,6568,55,12000,1518,6,1,6860,1.0,1,26,1869,0,3,all-dead
3461B7,heuristic_repairfix,MARC,234.8,8.5,2084,90,0,2840,23,2,10439,31,34000,3241,7,3,17225,0.6,1,169,3283,1,2,all-dead
3461B7,heuristic_repairfix,MARC,236.0,7.4,2066,15,0,2732,27,8,10364,30,34000,4157,7,3,17225,0.6,1,169,5258,0,1,all-dead
3461B7,heuristic_repairfix,MARC,234.5,54.8,23000,1590,0,9457,34,4,10439,31,34000,26241,7,3,900,11.6,3,2459,130912,22,1,all-dead
755792,heuristic_repairfix,MARC,116.3,5.4,180,2523,0,0,33,0,9825,82,12000,734,6,1,1000,9.8,1,26,90,5,10,pushed-back
755792,heuristic_repairfix,MARC,148.2,4.4,6270,5952,0,0,161,0,16551,72,23000,7681,6,2,1625,10.2,1,66,199,27,7,pushed-back
598354,heuristic_repairfix,MARC,121.2,5.4,162,1698,0,0,65,0,10119,84,12000,1958,6,1,1225,8.3,1,26,0,3,9,pushed-back
598354,heuristic_repairfix,MARC,137.2,5.4,4258,3447,0,0,148,0,19392,84,23000,5375,6,2,1800,10.8,0,0,329,14,9,pushed-back
598354,heuristic_repairfix,MARC,153.3,4.2,4204,14602,0,0,178,0,28837,85,34000,4693,6,3,3325,8.7,1,169,448,135,6,pushed-back
0A7658,heuristic_repair_hazard,MARC,146.2,7.4,4132,12148,0,2404,62,1,9233,77,12000,7362,6,1,848,10.9,1,26,505,25,2,all-dead
0A7658,heuristic_repair_hazard,MARC,153.2,8.8,4150,10460,0,4420,10,0,20244,88,23000,4639,6,2,6860,3.0,0,0,5175,42,3,all-dead
8F1A28,heuristic_brake,draw,139.7,9.0,27,1641,0,0,64,0,9556,80,12000,5488,6,1,851,11.2,1,26,1353,3,4,all-dead
8F1A28,heuristic_brake,draw,252.7,4.6,36,6686,0,2282,50,3,52901,94,56000,65959,8,5,14872,3.6,0,0,1282,505,2,all-dead
8F1A28,heuristic_brake,draw,256.2,11.4,243,6182,0,3385,45,0,51875,93,56000,73605,8,5,4405,11.8,0,0,1542,471,3,all-dead
8F1A28,heuristic_brake,draw,272.2,5.2,81,9308,0,4321,59,4,45009,80,56000,109297,8,5,4005,11.2,0,0,126125,752,1,all-dead
8F1A28,heuristic_brake,draw,272.8,4.6,162,3591,0,2219,62,4,39292,70,56000,109036,8,5,14320,2.7,0,0,122357,305,2,all-dead
00BE21,heuristic_brake,BOT,121.2,4.6,27,1485,0,0,65,0,19677,86,23000,1958,6,2,1725,11.4,0,0,0,6,4,pushed-back
00BE21,heuristic_brake,BOT,153.2,3.4,18,102,0,0,101,1,30545,90,34000,4686,7,3,2600,11.7,0,0,93,1,1,pushed-back
00BE21,heuristic_brake,BOT,168.5,2.4,18,147,0,0,130,0,27251,80,34000,12996,7,3,4175,6.5,1,169,1094,1,1,pushed-back
C7F159,heuristic_brake,MARC,121.2,3.4,18,0,0,0,63,0,9846,82,12000,1958,6,1,925,10.6,0,0,22,0,1,pushed-back
C7F159,heuristic_brake,MARC,167.2,3.3,6198,4272,0,0,136,1,21117,92,23000,10289,7,2,1775,11.9,1,66,916,17,3,pushed-back
2B69F2,heuristic_brake,MARC,190.3,9.1,324,6472,0,90,56,1,17641,77,23000,20520,7,2,1675,10.5,0,0,840,28,18,pushed-back
54D732,heuristic_brake,MARC,127.5,10.8,2404,1791,0,594,36,1,955,48,2000,2595,6,0,250,3.8,2,35,553,2,2,all-dead
23328E,heuristic_brake,BOT,237.5,0.0,18,921,1,0,40,3,921,4,23000,7392,8,2,375,2.5,0,0,8,8,1,game-over
