BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7489    28734        0      8      8      215     4207    23161  FOELOST=20479 FOESEEN=23161 OWNSEEN=4207  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=32 reach=9306 cred=17516 paid=3658 altkill=9463 altcost=3736 altdiff=1  block=183 wiper=32  | watch=1645 wait=945 block=553 critical=395 free=375 wipe=163 outmatched=65
11    Orange   1           8119    20669        0      8      8      380     2194    23853  FOELOST=21373 FOESEEN=23853 OWNSEEN=2194  GAD p1 off=23 def=4 sig=8 | p2 off=5 def=5 sig=9  DEFGAD p1=wall_2 p2=wall_2  WIPE n=11 reach=1990 cred=4180 paid=1464 altkill=2108 altcost=1526 altdiff=1  block=368 wiper=11 =1  | watch=1473 critical=1010 block=811 wait=780 free=640 wipe=54
12    Yellow   2           6122        0    28381      6      6      191     1786     7936  FOELOST=5752 FOESEEN=25487 OWNSEEN=1786  GAD p1 off=8 def=10 sig=9 | p2 off=4 def=17 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=28 reach=2703 cred=78700 paid=1623 altkill=2958 altcost=1825 altdiff=5  block=163 wiper=28  | watch=2685 outmatched=885 critical=663 block=293 wait=245 wipe=139
13    Purple   2          11894        0    42000      8      8      702     2558    57311  FOELOST=51021 FOESEEN=57311 OWNSEEN=193763  GAD p1 off=19 def=31 sig=23 | p2 off=20 def=34 sig=14  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=27 reach=4230 cred=25125 paid=1883 altkill=4232 altcost=1883 altdiff=0  block=675 wiper=27  | watch=3751 block=3599 wait=1885 critical=845 wipe=140 outmatched=55 free=20
14    Black    2           6467        0     2000      7      7      388     2697    41217  FOELOST=5120 FOESEEN=41217 OWNSEEN=2697  GAD p1 off=11 def=17 sig=9 | p2 off=7 def=2 sig=9  DEFGAD p1=speed_2 p2=heal  WIPE n=54 reach=4763 cred=59108 paid=2029 altkill=5620 altcost=2415 altdiff=7  block=334 wiper=54  | critical=1660 watch=625 wait=470 wipe=265 outmatched=100 block=9
15    Purple   1           8179    24970        0      8      8      376     2334    26263  FOELOST=24121 FOESEEN=26263 OWNSEEN=2334  GAD p1 off=23 def=6 sig=11 | p2 off=16 def=26 sig=2  DEFGAD p1=wall_2 p2=speed_3  WIPE n=18 reach=1845 cred=5045 paid=1278 altkill=1851 altcost=1278 altdiff=0  block=356 wiper=19 =1  | watch=1473 wait=1060 block=1007 critical=777 free=395 wipe=90 outmatched=30
16    Black    1           8569    24970        0      8      8      605     3410    33482  FOELOST=31434 FOESEEN=33482 OWNSEEN=3410  GAD p1 off=12 def=6 sig=15 | p2 off=18 def=14 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=19 reach=3867 cred=6668 paid=2830 altkill=4456 altcost=2902 altdiff=4  block=585 wiper=19 =1  | block=2148 watch=1488 critical=856 free=485 wait=110 wipe=95 outmatched=35
17    Purple   1           7949    13257        0      8      7      162     5227    26213  FOELOST=26077 FOESEEN=26213 OWNSEEN=5227  GAD p1 off=16 def=15 sig=16 | p2 off=14 def=24 sig=1  DEFGAD p1=heal_2 p2=speed_3  WIPE n=27 reach=8203 cred=68502 paid=4822 altkill=8252 altcost=4837 altdiff=1  block=135 wiper=27  | watch=2208 free=545 outmatched=525 block=519 critical=477 wait=195 wipe=132
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5087        0    18425      5      7      216     1287     6008  FOELOST=6885 FOESEEN=20073 OWNSEEN=1287  GAD p1 off=6 def=8 sig=7 | p2 off=6 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=41 reach=1878 cred=40863 paid=587 altkill=1881 altcost=587 altdiff=0  block=175 wiper=41  | watch=2420 critical=938 wait=365 wipe=210 outmatched=5
20    Blue     2           8293        0    34000      8      8      469     5167    26081  FOELOST=18821 FOESEEN=26081 OWNSEEN=5167  GAD p1 off=17 def=6 sig=22 | p2 off=8 def=1 sig=10  DEFGAD p1=wall_2 p2=wall  WIPE n=43 reach=8552 cred=22105 paid=4747 altkill=11426 altcost=6124 altdiff=8  block=423 wiper=45 =1  | watch=1609 critical=1312 block=936 wait=725 wipe=213 outmatched=70 free=65
21    Red      2           6046        0     1664      7      7      170      841     9557  FOELOST=4412 FOESEEN=35492 OWNSEEN=841  GAD p1 off=16 def=9 sig=10 | p2 off=7 def=17 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=18 reach=783 cred=38036 paid=537 altkill=784 altcost=537 altdiff=0  block=152 wiper=18  | watch=3410 critical=697 wait=525 wipe=95 block=69 outmatched=35
22    Blue     1          11359    25646        0      8      8      853     4161   116435  FOELOST=114932 FOESEEN=116435 OWNSEEN=69891  GAD p1 off=12 def=33 sig=19 | p2 off=19 def=5 sig=17  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=37 reach=10536 cred=25746 paid=3345 altkill=10636 altcost=3345 altdiff=0  block=816 wiper=37  | watch=3120 block=2415 critical=1720 wait=1500 wipe=181 free=94 outmatched=25
23    Red      1          11461     8793        0      8      7      671      779    11930  FOELOST=11925 FOESEEN=11930 OWNSEEN=177524  GAD p1 off=20 def=33 sig=18 | p2 off=17 def=17 sig=20  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=14 reach=170 cred=1985 paid=122 altkill=175 altcost=122 altdiff=0  block=657 wiper=14  | watch=4724 block=2697 wait=1655 critical=628 free=256 wipe=78 outmatched=70
24    Green    2           7849        0     1383      8      7      359     4847    16923  FOELOST=16669 FOESEEN=16923 OWNSEEN=4847  GAD p1 off=14 def=22 sig=15 | p2 off=12 def=23 sig=5  DEFGAD p1=speed_3 p2=speed_3  WIPE n=42 reach=5149 cred=82057 paid=3896 altkill=5388 altcost=3980 altdiff=2  block=317 wiper=42  | watch=1400 block=947 critical=882 free=410 wait=395 outmatched=245 wipe=207
25    White    1           8059    42500        0      8      8      387     4647    30709  FOELOST=26788 FOESEEN=30709 OWNSEEN=4647  GAD p1 off=12 def=7 sig=11 | p2 off=22 def=8 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=34 reach=6965 cred=14539 paid=3609 altkill=7154 altcost=3727 altdiff=2  block=351 wiper=35 =1  | wait=1534 critical=1065 block=697 watch=629 free=510 wipe=169 outmatched=110
26    Green    2           6637        0     2000      8      7      240     1409    37592  FOELOST=23962 FOESEEN=37592 OWNSEEN=1409  GAD p1 off=8 def=9 sig=10 | p2 off=13 def=21 sig=0  DEFGAD p1=heal_2 p2=speed_2  WIPE n=46 reach=3091 cred=157180 paid=633 altkill=3091 altcost=633 altdiff=0  block=194 wiper=46  | watch=1214 critical=911 wait=625 wipe=230 outmatched=205 block=89 free=15
27    White    2           7865        0    75000      6      7      326     4046    35886  FOELOST=13425 FOESEEN=35886 OWNSEEN=53591  GAD p1 off=13 def=19 sig=17 | p2 off=8 def=12 sig=13  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=41 reach=5051 cred=82609 paid=3761 altkill=5051 altcost=3761 altdiff=0  block=285 wiper=41  | watch=2455 wait=1265 critical=1195 outmatched=525 block=438 wipe=208
28    Green    2           5095        0     1700      5      7       85     1449     8400  FOELOST=5541 FOESEEN=22465 OWNSEEN=1449  GAD p1 off=15 def=8 sig=5 | p2 off=3 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=12 reach=2091 cred=8596 paid=1303 altkill=2091 altcost=1303 altdiff=0  block=73 wiper=12  | watch=2624 wait=814 critical=391 wipe=60 block=35 outmatched=19
29    Yellow   1           8364    43882        0      8      8      335    12638    32643  FOELOST=31920 FOESEEN=32643 OWNSEEN=12638  GAD p1 off=14 def=22 sig=13 | p2 off=8 def=5 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=20 reach=12857 cred=16253 paid=12323 altkill=12881 altcost=12323 altdiff=0  block=315 wiper=20  | watch=1990 block=1039 wait=975 critical=542 outmatched=245 free=150 wipe=98
30    Orange   2           5664        0    12000      5      7      188     2236    25200  FOELOST=17813 FOESEEN=59925 OWNSEEN=2236  GAD p1 off=5 def=6 sig=5 | p2 off=8 def=18 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=25 reach=2903 cred=119216 paid=2079 altkill=3229 altcost=2107 altdiff=2  block=161 wiper=26 =1  | watch=2675 wait=835 critical=766 wipe=125 outmatched=80 block=35
31    Yellow   1           8179    30000        0      8      8      326     2445    68906  FOELOST=65670 FOESEEN=68906 OWNSEEN=2445  GAD p1 off=23 def=12 sig=13 | p2 off=15 def=3 sig=11  DEFGAD p1=heal_2 p2=wall_2  WIPE n=25 reach=4316 cred=12886 paid=1843 altkill=4378 altcost=1901 altdiff=1  block=301 wiper=25  | watch=1725 critical=1107 wait=950 block=626 free=295 wipe=124
32    Orange   2           7348        0    29878      5      7      228     2910    17338  FOELOST=6692 FOESEEN=17338 OWNSEEN=5790  GAD p1 off=8 def=15 sig=8 | p2 off=13 def=1 sig=18  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=36 reach=3223 cred=27366 paid=2334 altkill=3169 altcost=2275 altdiff=1  block=192 wiper=36  | watch=2765 wait=1895 critical=977 wipe=179 outmatched=80
33    Yellow   1           8989    20669        0      8      8      430     1185    37209  FOELOST=35463 FOESEEN=37209 OWNSEEN=1185  GAD p1 off=13 def=24 sig=16 | p2 off=19 def=28 sig=8  DEFGAD p1=speed_3 p2=speed_3  WIPE n=19 reach=1736 cred=3045 paid=774 altkill=1736 altcost=774 altdiff=0  block=411 wiper=19  | watch=2588 block=2083 free=485 wait=265 wipe=94 outmatched=55 critical=54
34    Orange   1           7609    24970        0      8      8      346     4005    14729  FOELOST=10218 FOESEEN=14729 OWNSEEN=4005  GAD p1 off=14 def=7 sig=15 | p2 off=19 def=10 sig=12  DEFGAD p1=wall_2 p2=heal_2  WIPE n=39 reach=4307 cred=12494 paid=3105 altkill=4777 altcost=3518 altdiff=2  block=303 wiper=42 =1  | block=1161 wait=1005 watch=670 critical=493 free=465 wipe=412 outmatched=75
35    Black    1           8089    21102        0      8      8      390     2045    16990  FOELOST=15582 FOESEEN=16990 OWNSEEN=2045  GAD p1 off=12 def=13 sig=9 | p2 off=7 def=24 sig=6  DEFGAD p1=heal_2 p2=speed_3  WIPE n=35 reach=2743 cred=12486 paid=1335 altkill=3085 altcost=1397 altdiff=1  block=355 wiper=35  | block=1882 watch=1664 free=399 wait=345 critical=257 wipe=173 outmatched=20
36    Purple   1           8299    35142        0      8      8      391     7301    52864  FOELOST=52589 FOESEEN=52864 OWNSEEN=7301  GAD p1 off=11 def=8 sig=14 | p2 off=5 def=14 sig=13  DEFGAD p1=heal_2 p2=heal_2  WIPE n=59 reach=11817 cred=44987 paid=5973 altkill=11842 altcost=5853 altdiff=2  block=332 wiper=59  | watch=1199 block=1007 wait=870 critical=831 outmatched=585 wipe=300 free=165
37    Black    2           6054        0    12000      5      7      147      758     3499  FOELOST=5389 FOESEEN=19069 OWNSEEN=3083  GAD p1 off=6 def=15 sig=8 | p2 off=10 def=17 sig=1  DEFGAD p1=reinforcements_3 p2=reinforcements_3  WIPE n=29 reach=1387 cred=35580 paid=640 altkill=1570 altcost=702 altdiff=2  block=118 wiper=29  | watch=2975 wait=940 critical=602 wipe=144 outmatched=115 block=70
38    Purple   2           6103        0     2000      7      7      165    13254    37784  FOELOST=33817 FOESEEN=37784 OWNSEEN=13254  GAD p1 off=15 def=9 sig=5 | p2 off=5 def=1 sig=7  DEFGAD p1=speed_2 p2=wall  WIPE n=11 reach=17759 cred=43364 paid=12946 altkill=17795 altcost=12946 altdiff=0  block=154 wiper=11  | watch=1165 critical=774 outmatched=475 wait=210 free=105 wipe=53
39    Black    2           4260        0     1500      4      6      143      878     4443  FOELOST=2364 FOESEEN=7368 OWNSEEN=878  GAD p1 off=5 def=3 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=25 reach=1293 cred=25409 paid=763 altkill=1293 altcost=763 altdiff=0  block=117 wiper=25 =1  | watch=1925 critical=460 outmatched=245 wait=225 block=135 wipe=125
40    Purple   2           8674        0    23000      8      8      324     4694    32120  FOELOST=27850 FOESEEN=32120 OWNSEEN=4694  GAD p1 off=18 def=3 sig=16 | p2 off=13 def=3 sig=14  DEFGAD p1=heal p2=wall_2  WIPE n=23 reach=5793 cred=17124 paid=4393 altkill=5793 altcost=4393 altdiff=0  block=301 wiper=23  | watch=2229 block=952 wait=789 critical=592 outmatched=585 wipe=114 free=90
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8239    37612        0      8      8      312     3576    31734  FOELOST=29986 FOESEEN=31734 OWNSEEN=3576  GAD p1 off=13 def=24 sig=11 | p2 off=20 def=26 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=37 reach=9023 cred=12921 paid=2751 altkill=9023 altcost=2751 altdiff=0  block=275 wiper=37  | wait=1425 watch=1260 block=904 free=625 critical=492 wipe=184
43    Blue     1           8366    36927        0      8      8      354     5243    57592  FOELOST=55624 FOESEEN=57592 OWNSEEN=5243  GAD p1 off=12 def=24 sig=14 | p2 off=6 def=14 sig=14  DEFGAD p1=speed_3 p2=heal_2  WIPE n=49 reach=5394 cred=25672 paid=4023 altkill=5409 altcost=4034 altdiff=1  block=305 wiper=49  | wait=1518 watch=1204 block=815 critical=722 free=350 wipe=344 outmatched=80
44    Red      2           9049        0    40159      8      8      584     5094    37464  FOELOST=32590 FOESEEN=37464 OWNSEEN=5094  GAD p1 off=19 def=6 sig=23 | p2 off=7 def=29 sig=9  DEFGAD p1=wall_2 p2=speed_3  WIPE n=39 reach=10440 cred=23043 paid=4555 altkill=11218 altcost=4596 altdiff=2  block=542 wiper=41 =1  | block=1658 watch=1385 critical=1075 free=840 wait=525 wipe=198
45    Blue     2           8479        0    19258      8      8      512    17455   104041  FOELOST=65761 FOESEEN=104041 OWNSEEN=17455  GAD p1 off=12 def=10 sig=10 | p2 off=11 def=8 sig=13  DEFGAD p1=heal_2 p2=heal_2  WIPE n=46 reach=19737 cred=230299 paid=16523 altkill=20846 altcost=17368 altdiff=1  block=466 wiper=46  | critical=1989 watch=943 block=802 wait=699 free=440 wipe=235 outmatched=45
46    White    1          11612    63869        0      7      6      417     2584    31294  FOELOST=29990 FOESEEN=31294 OWNSEEN=55588  GAD p1 off=19 def=30 sig=14 | p2 off=19 def=25 sig=15  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=24 reach=4458 cred=64188 paid=2191 altkill=4543 altcost=2261 altdiff=2  block=393 wiper=24  | watch=6117 block=1596 outmatched=907 critical=633 wait=549 free=180 wipe=118
47    Green    1          11214    19670        0      8      8      945    29241    89996  FOELOST=87477 FOESEEN=89996 OWNSEEN=29241  GAD p1 off=26 def=32 sig=21 | p2 off=23 def=5 sig=18  DEFGAD p1=speed_3 p2=wall_2  WIPE n=50 reach=45256 cred=54182 paid=28346 altkill=45395 altcost=28464 altdiff=3  block=895 wiper=50  | block=3802 watch=1390 critical=1073 wait=844 free=430 wipe=245 outmatched=40
48    White    1           9090    56000        0      8      8      674    10185    16543  FOELOST=89758 FOESEEN=96163 OWNSEEN=10185  GAD p1 off=25 def=9 sig=15 | p2 off=17 def=27 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=43 reach=25452 cred=207038 paid=8941 altkill=57249 altcost=17158 altdiff=11  block=628 wiper=45 =1  | watch=3139 critical=2217 block=1017 wait=935 free=270 wipe=211 outmatched=70
49    Green    1           8359    28500        0      8      7      401     8456    49075  FOELOST=48963 FOESEEN=49075 OWNSEEN=8456  GAD p1 off=13 def=0 sig=12 | p2 off=16 def=4 sig=12  DEFGAD p1=heal p2=wall_2  WIPE n=45 reach=7777 cred=1230687 paid=7388 altkill=7777 altcost=7388 altdiff=0  block=356 wiper=45  | watch=1814 critical=1800 outmatched=755 wait=295 wipe=229 free=150
50    White    2           4792        0     1514      5      6      176     1005    11537  FOELOST=9168 FOESEEN=15272 OWNSEEN=1005  GAD p1 off=6 def=7 sig=6 | p2 off=7 def=15 sig=8  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=29 reach=921 cred=41948 paid=417 altkill=921 altcost=417 altdiff=0  block=147 wiper=29  | watch=2320 critical=749 wait=355 wipe=145 outmatched=75
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           7489        0    29999      8      8      413     4377    20110  FOELOST=12687 FOESEEN=20110 OWNSEEN=4377  GAD p1 off=11 def=20 sig=7 | p2 off=5 def=2 sig=18  DEFGAD p1=speed_2 p2=heal  WIPE n=55 reach=4491 cred=31384 paid=3661 altkill=4495 altcost=3661 altdiff=0  block=358 wiper=55  | watch=1063 critical=941 block=887 wait=620 outmatched=275 wipe=271 free=100
53    Orange   1           8886    26117        0      8      8      463     3052    32647  FOELOST=29469 FOESEEN=32647 OWNSEEN=3052  GAD p1 off=12 def=5 sig=18 | p2 off=12 def=28 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=21 reach=7894 cred=22108 paid=2615 altkill=15779 altcost=3519 altdiff=7  block=440 wiper=22 =1  | block=2027 watch=1567 wait=785 critical=712 free=286 wipe=103 outmatched=60
54    Yellow   1           9349    52932        0      8      7      817     7729    67481  FOELOST=67481 FOESEEN=67481 OWNSEEN=7729  GAD p1 off=20 def=13 sig=26 | p2 off=15 def=9 sig=14  DEFGAD p1=heal_2 p2=heal_2  WIPE n=82 reach=20347 cred=651035 paid=6994 altkill=20447 altcost=7068 altdiff=3  block=735 wiper=82  | critical=3936 block=549 watch=530 wipe=413 wait=300 outmatched=145 free=125
55    Orange   1           9049    30449        0      8      7      338      705    15339  FOELOST=15189 FOESEEN=15339 OWNSEEN=86730  GAD p1 off=9 def=28 sig=9 | p2 off=16 def=26 sig=11  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=4 reach=82 cred=513 paid=37 altkill=82 altcost=37 altdiff=0  block=334 wiper=4  | watch=4568 block=1634 wait=945 free=375 critical=54 wipe=20
56    Yellow   1           8066    51182        0      8      8      409     2985    31275  FOELOST=24387 FOESEEN=31275 OWNSEEN=2985  GAD p1 off=11 def=25 sig=11 | p2 off=19 def=2 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=34 reach=3867 cred=10914 paid=1860 altkill=4052 altcost=1782 altdiff=2  block=375 wiper=34  | block=1405 outmatched=810 watch=800 wait=725 critical=527 free=265 wipe=179
57    Purple   2           7268        0    15269      6      7      421     5550    23128  FOELOST=27468 FOESEEN=51508 OWNSEEN=5550  GAD p1 off=13 def=22 sig=11 | p2 off=12 def=19 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=40 reach=8453 cred=87601 paid=5169 altkill=8577 altcost=5197 altdiff=2  block=381 wiper=40  | watch=2522 critical=1766 block=603 outmatched=540 wait=405 wipe=199
58    Black    1           7519    32800        0      8      8      223     1446     8498  FOELOST=8373 FOESEEN=8498 OWNSEEN=1446  GAD p1 off=21 def=6 sig=15 | p2 off=3 def=5 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=14 reach=1508 cred=2433 paid=837 altkill=1693 altcost=915 altdiff=1  block=206 wiper=16 =1  | watch=1294 free=990 wait=739 block=698 critical=372 wipe=75 outmatched=5
59    Purple   2           5857        0    18549      5      7      253     2612     5652  FOELOST=8496 FOESEEN=50707 OWNSEEN=2612  GAD p1 off=8 def=7 sig=7 | p2 off=5 def=19 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=29 reach=3687 cred=153050 paid=1940 altkill=3519 altcost=1676 altdiff=6  block=224 wiper=29  | watch=2245 critical=1130 wait=855 outmatched=330 wipe=149
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           7745        0     2000      8      8      517     4801    85359  FOELOST=16811 FOESEEN=85359 OWNSEEN=4801  GAD p1 off=21 def=22 sig=19 | p2 off=9 def=5 sig=18  DEFGAD p1=speed_3 p2=heal  WIPE n=62 reach=5196 cred=52284 paid=4346 altkill=5196 altcost=4346 altdiff=0  block=455 wiper=62  | critical=1476 watch=1225 block=798 wait=469 wipe=303 outmatched=120
62    Black    1           7999    18201        0      8      8      296     1741    22257  FOELOST=20955 FOESEEN=22257 OWNSEEN=1741  GAD p1 off=7 def=8 sig=7 | p2 off=16 def=25 sig=8  DEFGAD p1=wall_2 p2=speed_3  WIPE n=17 reach=2857 cred=4125 paid=1199 altkill=3797 altcost=1323 altdiff=2  block=276 wiper=19 =1  | watch=1798 block=1012 wait=845 free=534 critical=385 wipe=85
63    Red      2           7818        0     1564      8      8      500     4520    19707  FOELOST=10235 FOESEEN=19707 OWNSEEN=4520  GAD p1 off=11 def=13 sig=15 | p2 off=14 def=11 sig=20  DEFGAD p1=heal_2 p2=heal_2  WIPE n=56 reach=6332 cred=60592 paid=4076 altkill=6990 altcost=4374 altdiff=4  block=444 wiper=56  | critical=1328 watch=1180 block=954 wait=524 wipe=370 outmatched=115 free=15
64    Blue     1           9079    20669        0      8      8      408     1883    39524  FOELOST=35858 FOESEEN=39524 OWNSEEN=1883  GAD p1 off=18 def=8 sig=16 | p2 off=17 def=28 sig=9  DEFGAD p1=heal_2 p2=speed_3  WIPE n=29 reach=2523 cred=4879 paid=1504 altkill=2567 altcost=1504 altdiff=0  block=379 wiper=29  | watch=1949 block=1721 free=955 wait=673 critical=278 wipe=145
65    Red      1           9259    31105        0      8      8      648     5716    79957  FOELOST=78034 FOESEEN=79957 OWNSEEN=91741  GAD p1 off=11 def=28 sig=10 | p2 off=24 def=6 sig=16  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=33 reach=6263 cred=44269 paid=4486 altkill=6263 altcost=4486 altdiff=0  block=615 wiper=33  | watch=3615 block=1796 critical=1344 wait=745 wipe=166 outmatched=125 free=125
