BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7819    32669        0      8      8      356    10013    25540  FOELOST=22374 FOESEEN=25540 OWNSEEN=10013  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=97 reach=15606 cred=34106 paid=9236 altkill=15606 altcost=9236 altdiff=0  block=259 wiper=97  | watch=1440 block=1069 wait=855 wipe=491 free=355 critical=257
12    Yellow   2           6114        0    45000      5      6      273     4089     7759  FOELOST=5650 FOESEEN=21474 OWNSEEN=4089  GAD p1 off=7 def=7 sig=5 | p2 off=4 def=16 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=119 reach=6913 cred=162841 paid=3935 altkill=7210 altcost=4124 altdiff=11  block=154 wiper=119  | watch=2800 wipe=947 critical=777 wait=175 block=110 outmatched=95
13    Purple   2           6403        0     8405      5      6      220     1535    15785  FOELOST=3653 FOESEEN=15785 OWNSEEN=3860  GAD p1 off=10 def=15 sig=9 | p2 off=10 def=19 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=101 reach=3085 cred=316710 paid=1416 altkill=3094 altcost=1395 altdiff=5  block=119 wiper=101  | watch=3141 critical=631 wipe=521 wait=370 outmatched=110 block=50
14    Black    2           7812        0    12000      8      8      569    25455    81122  FOELOST=11888 FOESEEN=81122 OWNSEEN=25455  GAD p1 off=13 def=23 sig=13 | p2 off=10 def=8 sig=13  DEFGAD p1=speed_3 p2=heal_2  WIPE n=292 reach=46279 cred=521676 paid=24901 altkill=46279 altcost=24901 altdiff=0  wiper=292 block=277  | wipe=1445 critical=1331 watch=870 wait=730 block=88
15    Purple   1           8286    23000        0      8      8      399    31575    28726  FOELOST=28046 FOESEEN=28726 OWNSEEN=31575  GAD p1 off=23 def=5 sig=11 | p2 off=17 def=26 sig=3  DEFGAD p1=wall_2 p2=speed_3  WIPE n=94 reach=66815 cred=70413 paid=30675 altkill=66815 altcost=30675 altdiff=0  block=301 wiper=97 =1  | watch=1409 wait=1165 block=961 critical=579 wipe=464 free=315 outmatched=40
16    Black    1           8839    24970        0      8      8      709     7337    36401  FOELOST=34007 FOESEEN=36401 OWNSEEN=7337  GAD p1 off=12 def=5 sig=16 | p2 off=19 def=16 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=107 reach=15941 cred=29153 paid=6740 altkill=15941 altcost=6740 altdiff=0  block=598 wiper=110 =1  | block=2262 watch=1077 critical=782 wipe=740 free=540 wait=80
17    Purple   1           7500    54780        0      8      8      440    13773    50027  FOELOST=49891 FOESEEN=50027 OWNSEEN=13773  GAD p1 off=13 def=13 sig=15 | p2 off=17 def=23 sig=0  DEFGAD p1=heal_2 p2=speed_3  WIPE n=117 reach=21475 cred=43204 paid=12804 altkill=21475 altcost=12804 altdiff=0  block=323 wiper=117  | block=1100 wait=990 watch=780 wipe=588 critical=533 free=150
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5389        0    16300      5      7      226     1976    19403  FOELOST=12196 FOESEEN=43798 OWNSEEN=1976  GAD p1 off=8 def=7 sig=7 | p2 off=6 def=17 sig=10  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=138 reach=8200 cred=468093 paid=1624 altkill=8200 altcost=1624 altdiff=0  wiper=138 block=88  | watch=2650 wipe=685 wait=455 critical=447
20    Blue     2           8420        0    51500      7      8      679    32404    36857  FOELOST=31680 FOESEEN=36857 OWNSEEN=32404  GAD p1 off=15 def=5 sig=21 | p2 off=10 def=2 sig=11  DEFGAD p1=wall_2 p2=wall  WIPE n=259 reach=70194 cred=141445 paid=31989 altkill=70194 altcost=31911 altdiff=13  block=415 wiper=263 =1  | critical=1731 wipe=1294 wait=900 watch=780 block=335 outmatched=10
21    Red      2           6149        0     1664      7      6      188     3524     2265  FOELOST=4460 FOESEEN=16395 OWNSEEN=3524  GAD p1 off=16 def=10 sig=10 | p2 off=7 def=16 sig=14  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=109 reach=5684 cred=58325 paid=3366 altkill=5684 altcost=3366 altdiff=0  wiper=109 block=79  | watch=2915 wait=915 wipe=541 critical=410 block=114 outmatched=40
22    Blue     2          11884        0    87500      8      8     1011    24993    64026  FOELOST=54823 FOESEEN=64026 OWNSEEN=94258  GAD p1 off=11 def=34 sig=16 | p2 off=20 def=4 sig=18  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=212 reach=54976 cred=181499 paid=24194 altkill=55755 altcost=24449 altdiff=12  block=799 wiper=212  | watch=2905 block=2189 critical=1909 wait=1525 wipe=1054
23    Red      1          13665    42047        0      8      7      816    14225    16675  FOELOST=16670 FOESEEN=16675 OWNSEEN=248510  GAD p1 off=24 def=39 sig=19 | p2 off=20 def=21 sig=22  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=309 reach=19611 cred=88130 paid=13718 altkill=19526 altcost=13632 altdiff=1  block=507 wiper=309  | watch=5448 block=2187 wait=2000 wipe=1726 free=409 critical=394 outmatched=135
24    Green    1           7969    26544        0      8      8      301    11352    25529  FOELOST=23067 FOESEEN=25529 OWNSEEN=11352  GAD p1 off=16 def=20 sig=15 | p2 off=11 def=25 sig=7  DEFGAD p1=speed_2 p2=speed_3  WIPE n=94 reach=22101 cred=37041 paid=10731 altkill=22101 altcost=10731 altdiff=0  block=207 wiper=94  | watch=1875 block=897 wait=780 wipe=466 free=440 critical=154
25    White    1           8569    53000        0      8      8      502    41544    39348  FOELOST=35752 FOESEEN=39348 OWNSEEN=41544  GAD p1 off=12 def=8 sig=12 | p2 off=24 def=12 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=178 reach=73304 cred=131424 paid=40596 altkill=73304 altcost=40596 altdiff=0  block=319 wiper=182 =1  | wait=1020 block=986 wipe=890 outmatched=725 watch=634 critical=620 free=345
26    Green    1           8299    43987        0      8      8      430     6521    32001  FOELOST=30624 FOESEEN=32001 OWNSEEN=6521  GAD p1 off=11 def=16 sig=14 | p2 off=21 def=27 sig=2  DEFGAD p1=heal_2 p2=speed_3  WIPE n=179 reach=14276 cred=63735 paid=5517 altkill=14276 altcost=5517 altdiff=0  block=251 wiper=179  | watch=1579 block=1166 wipe=897 wait=720 free=465 critical=119
27    White    2           9339        0    73500      6      7      545    10329    45901  FOELOST=18733 FOESEEN=45901 OWNSEEN=95289  GAD p1 off=13 def=22 sig=18 | p2 off=9 def=19 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=205 reach=17280 cred=164461 paid=9989 altkill=17295 altcost=9992 altdiff=1  block=340 wiper=205  | watch=2245 critical=1479 wait=1225 wipe=1017 outmatched=1015 block=572
28    Green    2           5244        0     1700      5      7      104     1782     3252  FOELOST=6447 FOESEEN=27647 OWNSEEN=1782  GAD p1 off=15 def=8 sig=5 | p2 off=3 def=17 sig=10  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=20 reach=2163 cred=36504 paid=1614 altkill=2163 altcost=1614 altdiff=0  block=84 wiper=20  | watch=2809 wait=735 critical=417 wipe=116 block=10
29    Yellow   2           9171        0    76500      7      8      283    92461    44516  FOELOST=41012 FOESEEN=44516 OWNSEEN=92461  GAD p1 off=12 def=23 sig=12 | p2 off=10 def=2 sig=16  DEFGAD p1=speed_3 p2=wall  WIPE n=177 reach=121594 cred=187202 paid=92355 altkill=121594 altcost=92355 altdiff=0  wiper=177 block=106  | watch=2435 wait=1569 wipe=878 outmatched=415 block=401 critical=147
30    Orange   2           5168        0    12000      5      7      181     2509     7153  FOELOST=5883 FOESEEN=21218 OWNSEEN=2509  GAD p1 off=5 def=4 sig=4 | p2 off=7 def=16 sig=9  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=126 reach=8695 cred=115769 paid=2458 altkill=8695 altcost=2458 altdiff=0  wiper=129 block=51 =1  | watch=2560 wipe=631 wait=570 critical=225 block=35
31    Yellow   1           8061    34000        0      8      8      401    11926    29250  FOELOST=29250 FOESEEN=29250 OWNSEEN=11926  GAD p1 off=23 def=13 sig=11 | p2 off=14 def=2 sig=10  DEFGAD p1=heal_2 p2=wall  WIPE n=126 reach=22264 cred=68008 paid=11376 altkill=22218 altcost=11325 altdiff=1  block=275 wiper=126  | watch=2001 critical=1257 wipe=621 wait=585 free=130 block=108
32    Orange   2           7975        0     4694      5      7      244     3511    19769  FOELOST=5689 FOESEEN=19769 OWNSEEN=6391  GAD p1 off=9 def=15 sig=9 | p2 off=14 def=2 sig=19  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=120 reach=4875 cred=25038 paid=3139 altkill=4777 altcost=3041 altdiff=2  block=124 wiper=120  | watch=3045 wait=1485 outmatched=735 critical=658 wipe=598
33    Yellow   1           9259    25328        0      8      8      644     4968    71032  FOELOST=68707 FOESEEN=71032 OWNSEEN=4968  GAD p1 off=13 def=29 sig=17 | p2 off=24 def=30 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=86 reach=9524 cred=15378 paid=4410 altkill=9474 altcost=4344 altdiff=1  block=558 wiper=86  | block=2248 watch=2003 critical=763 wipe=439 wait=225 free=210
34    Orange   1           8299    28437        0      8      8      548    30449    72432  FOELOST=72372 FOESEEN=72432 OWNSEEN=30449  GAD p1 off=17 def=10 sig=16 | p2 off=18 def=9 sig=15  DEFGAD p1=wall_3 p2=heal_2  WIPE n=257 reach=39094 cred=367628 paid=29606 altkill=39094 altcost=29606 altdiff=0  block=284 wiper=263 =1  | wipe=1284 watch=1280 critical=1189 wait=820 block=272 free=120
35    Black    1           8314    40500        0      8      8      357    18571    60751  FOELOST=58730 FOESEEN=60751 OWNSEEN=18571  GAD p1 off=13 def=11 sig=10 | p2 off=8 def=26 sig=7  DEFGAD p1=heal_2 p2=speed_3  WIPE n=96 reach=31413 cred=67855 paid=18049 altkill=31413 altcost=18049 altdiff=0  block=261 wiper=96  | watch=1998 block=1000 wait=690 wipe=494 free=475 critical=315
36    Purple   2           9382        0     8600      8      8      747   113992    77837  FOELOST=69174 FOESEEN=77837 OWNSEEN=113992  GAD p1 off=13 def=12 sig=16 | p2 off=7 def=19 sig=15  DEFGAD p1=heal_2 p2=heal_2  WIPE n=277 reach=122751 cred=329520 paid=112112 altkill=122751 altcost=111981 altdiff=1  block=470 wiper=277  | block=1607 wipe=1398 watch=1034 critical=820 wait=730 free=260 outmatched=175
37    Black    2           6356        0    12000      5      7      228     2368    17164  FOELOST=7234 FOESEEN=39139 OWNSEEN=4438  GAD p1 off=6 def=14 sig=6 | p2 off=11 def=18 sig=2  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=104 reach=4532 cred=193071 paid=2244 altkill=4532 altcost=2244 altdiff=0  block=124 wiper=104  | watch=3060 wait=730 wipe=567 critical=499 block=243 outmatched=45
38    Purple   2          11533        0    78000      7      8      680   107033    86057  FOELOST=79621 FOESEEN=86057 OWNSEEN=107033  GAD p1 off=29 def=28 sig=16 | p2 off=15 def=1 sig=20  DEFGAD p1=speed_3 p2=wall  WIPE n=150 reach=199163 cred=410377 paid=105973 altkill=199163 altcost=105973 altdiff=0  block=530 wiper=150  | watch=2425 outmatched=2074 critical=1805 block=848 wipe=746 wait=300
39    Black    2           4532        0     1485      4      6      183     1132     7317  FOELOST=3063 FOESEEN=10647 OWNSEEN=1132  GAD p1 off=5 def=3 sig=4 | p2 off=7 def=14 sig=8  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=117 reach=2610 cred=92112 paid=1069 altkill=2646 altcost=1094 altdiff=1  wiper=118 block=64 =1  | watch=2230 wipe=580 critical=350 wait=205 block=20
40    Purple   2           9589        0    17659      8      8      429     9754    39801  FOELOST=35359 FOESEEN=39801 OWNSEEN=9754  GAD p1 off=21 def=8 sig=18 | p2 off=16 def=3 sig=17  DEFGAD p1=heal_2 p2=wall_2  WIPE n=93 reach=27658 cred=59892 paid=9418 altkill=28365 altcost=9675 altdiff=1  block=336 wiper=93  | watch=1749 wait=1255 block=1236 free=735 critical=491 wipe=461 outmatched=335
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8479    30909        0      8      8      344     8140    31384  FOELOST=29458 FOESEEN=31384 OWNSEEN=8140  GAD p1 off=13 def=24 sig=12 | p2 off=20 def=28 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=88 reach=15860 cred=25631 paid=7372 altkill=15860 altcost=7372 altdiff=0  block=256 wiper=88  | watch=1855 block=1309 wait=990 free=490 wipe=442 critical=40
43    Blue     2           6967        0    11700      8      7      315     2525    43417  FOELOST=4972 FOESEEN=43417 OWNSEEN=2525  GAD p1 off=9 def=17 sig=11 | p2 off=4 def=10 sig=11  DEFGAD p1=speed_2 p2=heal_2  WIPE n=138 reach=4540 cred=528500 paid=1817 altkill=4540 altcost=1817 altdiff=0  block=177 wiper=138  | critical=975 watch=964 wipe=810 wait=760 block=90 outmatched=40
44    Red      2           9215        0    73500      8      8      749    16139    43396  FOELOST=34427 FOESEEN=43396 OWNSEEN=16139  GAD p1 off=19 def=6 sig=25 | p2 off=10 def=29 sig=9  DEFGAD p1=wall_2 p2=speed_3  WIPE n=160 reach=45952 cred=81868 paid=15556 altkill=45952 altcost=15556 altdiff=0  block=584 wiper=164 =1  | block=2237 watch=980 wipe=791 critical=728 free=635 wait=470
45    Blue     2           6705        0    31930      7      7      282    15401    20336  FOELOST=6115 FOESEEN=20336 OWNSEEN=15401  GAD p1 off=10 def=8 sig=6 | p2 off=7 def=0 sig=10  DEFGAD p1=heal_2 p2=heal  WIPE n=74 reach=17383 cred=246543 paid=14985 altkill=17383 altcost=14985 altdiff=0  block=208 wiper=74  | wait=1045 watch=864 critical=851 wipe=367 block=203 outmatched=55
46    White    2           7648        0     6420      5      7      269     3520    30086  FOELOST=7537 FOESEEN=30086 OWNSEEN=5620  GAD p1 off=12 def=15 sig=5 | p2 off=12 def=23 sig=4  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=130 reach=7329 cred=541254 paid=3381 altkill=7363 altcost=3406 altdiff=1  block=139 wiper=130  | watch=3441 wait=1020 critical=684 wipe=645 block=315 outmatched=40
47    Green    2          10119        0    34000      7      8      654    22651    50719  FOELOST=40594 FOESEEN=50719 OWNSEEN=22651  GAD p1 off=16 def=28 sig=15 | p2 off=22 def=4 sig=17  DEFGAD p1=speed_3 p2=wall_2  WIPE n=347 reach=38127 cred=245804 paid=22344 altkill=36709 altcost=20444 altdiff=6  wiper=347 block=307  | wait=1945 wipe=1729 watch=1540 block=1308 critical=228
48    White    2          11441        0    12000      7      8     1103   102423    50688  FOELOST=163922 FOESEEN=181548 OWNSEEN=102423  GAD p1 off=30 def=9 sig=17 | p2 off=23 def=35 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=294 reach=264109 cred=973491 paid=100823 altkill=264109 altcost=100823 altdiff=0  block=802 wiper=300 =1  | watch=3404 critical=2983 wipe=1471 block=1199 wait=809 outmatched=335
49    Green    1           8949    43596        0      8      8      233    33723    57715  FOELOST=56824 FOESEEN=57715 OWNSEEN=33723  GAD p1 off=15 def=4 sig=13 | p2 off=18 def=5 sig=15  DEFGAD p1=heal p2=wall_2  WIPE n=56 reach=50402 cred=734791 paid=33192 altkill=50402 altcost=33192 altdiff=0  block=177 wiper=56  | outmatched=2190 watch=1633 critical=894 free=335 wait=295 wipe=278 block=4
50    White    2           5213        0     9786      5      7      229     2551    13468  FOELOST=7218 FOESEEN=27533 OWNSEEN=2551  GAD p1 off=5 def=7 sig=6 | p2 off=13 def=16 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=171 reach=11589 cred=528789 paid=2319 altkill=11589 altcost=2177 altdiff=1  wiper=171 block=58  | watch=2232 wipe=861 critical=533 wait=420 block=15
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           7241        0    19900      8      8      411     9115    15829  FOELOST=8297 FOESEEN=15829 OWNSEEN=9115  GAD p1 off=8 def=19 sig=6 | p2 off=3 def=4 sig=17  DEFGAD p1=speed_2 p2=heal  WIPE n=222 reach=12569 cred=95650 paid=8737 altkill=11549 altcost=7641 altdiff=4  wiper=222 block=189  | watch=1299 wipe=1129 block=630 outmatched=325 critical=322 wait=210
53    Orange   2          10939        0    14200      8      8      973    46793    71432  FOELOST=65896 FOESEEN=71432 OWNSEEN=46793  GAD p1 off=16 def=4 sig=21 | p2 off=16 def=35 sig=15  DEFGAD p1=wall_2 p2=speed_3  WIPE n=227 reach=169959 cred=213692 paid=46051 altkill=169959 altcost=46051 altdiff=0  block=742 wiper=230 =1  | block=2832 watch=1674 wipe=1166 critical=983 free=460 wait=440 outmatched=25
54    Yellow   2           6670        0     2000      7      7      378     6129    32674  FOELOST=6884 FOESEEN=32674 OWNSEEN=6129  GAD p1 off=11 def=9 sig=16 | p2 off=10 def=1 sig=10  DEFGAD p1=heal_2 p2=heal  WIPE n=180 reach=8718 cred=403072 paid=5931 altkill=8718 altcost=5931 altdiff=0  block=198 wiper=180  | critical=939 wipe=899 watch=830 wait=360 block=309
55    Orange   1           6494     8785        0      7      6       37      318     4443  FOELOST=4416 FOESEEN=4443 OWNSEEN=32541  GAD p1 off=6 def=20 sig=5 | p2 off=13 def=20 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=27 reach=593 cred=3044 paid=298 altkill=593 altcost=298 altdiff=0  wiper=27 block=10  | watch=4199 wait=660 wipe=132 critical=54
56    Yellow   1           8719     9262        0      8      8      356     8945    31877  FOELOST=30218 FOESEEN=31877 OWNSEEN=8945  GAD p1 off=12 def=25 sig=12 | p2 off=18 def=2 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=112 reach=12891 cred=38476 paid=8213 altkill=13117 altcost=8078 altdiff=12  block=244 wiper=112  | watch=1034 block=997 wait=845 free=840 outmatched=695 wipe=567 critical=381
57    Purple   2           7361        0    12000      6      7      453    10436    43951  FOELOST=35284 FOESEEN=91546 OWNSEEN=10436  GAD p1 off=13 def=22 sig=11 | p2 off=15 def=22 sig=0  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=163 reach=37772 cred=886598 paid=10146 altkill=37602 altcost=9928 altdiff=3  block=290 wiper=163  | watch=2785 critical=1338 wipe=1117 wait=505 block=248 outmatched=140
58    Black    1           7609    19701        0      8      8      380     8258    23557  FOELOST=18984 FOESEEN=23557 OWNSEEN=8258  GAD p1 off=21 def=5 sig=15 | p2 off=5 def=4 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=85 reach=14566 cred=33177 paid=7388 altkill=14566 altcost=7388 altdiff=0  block=293 wiper=86 =1  | watch=1634 block=1123 wait=554 wipe=421 critical=328 free=190 outmatched=5
59    Purple   2           5089        0    18975      5      7      215     3023     7139  FOELOST=6067 FOESEEN=21204 OWNSEEN=3023  GAD p1 off=6 def=6 sig=5 | p2 off=4 def=16 sig=9  DEFGAD p1=heal p2=reinforcements_3  WIPE n=115 reach=6067 cred=92779 paid=2723 altkill=5923 altcost=2528 altdiff=5  wiper=115 block=100  | watch=2000 wait=640 wipe=577 critical=517 outmatched=195 block=10
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           7589        0     2000      8      8      460    13336    77167  FOELOST=12297 FOESEEN=77167 OWNSEEN=13336  GAD p1 off=19 def=20 sig=17 | p2 off=9 def=2 sig=17  DEFGAD p1=speed_2 p2=heal  WIPE n=175 reach=15626 cred=115428 paid=13051 altkill=15626 altcost=13051 altdiff=0  block=285 wiper=175  | watch=1405 wipe=861 critical=733 block=700 wait=470 outmatched=70
62    Black    1           8299    37827        0      8      8      543     8020    25845  FOELOST=24543 FOESEEN=25845 OWNSEEN=8020  GAD p1 off=8 def=5 sig=8 | p2 off=16 def=26 sig=10  DEFGAD p1=wall_2 p2=speed_3  WIPE n=123 reach=16925 cred=23037 paid=7190 altkill=16925 altcost=7190 altdiff=0  block=417 wiper=125 =1  | block=1963 watch=1574 wipe=619 free=414 wait=250 critical=135
63    Red      2          10276        0    45000      8      8      849    50574    53218  FOELOST=42261 FOESEEN=53218 OWNSEEN=50574  GAD p1 off=15 def=13 sig=23 | p2 off=22 def=18 sig=28  DEFGAD p1=heal_2 p2=heal_2  WIPE n=271 reach=112271 cred=558320 paid=49996 altkill=112591 altcost=50212 altdiff=2  block=578 wiper=271  | block=2192 wipe=1495 watch=1275 critical=891 wait=629 free=345 outmatched=109
64    Blue     2           9559        0    41659      8      8      620     6869    56362  FOELOST=51488 FOESEEN=56362 OWNSEEN=6869  GAD p1 off=20 def=11 sig=17 | p2 off=23 def=29 sig=11  DEFGAD p1=heal_2 p2=speed_3  WIPE n=150 reach=13252 cred=54872 paid=6399 altkill=13252 altcost=6399 altdiff=0  block=470 wiper=150  | watch=1924 block=1867 free=950 wipe=744 critical=547 wait=164
65    Red      2           9792        0    31407      8      8      523   101747   134517  FOELOST=24655 FOESEEN=134517 OWNSEEN=187772  GAD p1 off=13 def=28 sig=15 | p2 off=25 def=6 sig=17  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=207 reach=281893 cred=2853841 paid=101115 altkill=281893 altcost=101115 altdiff=0  block=316 wiper=207  | watch=2795 wait=2598 critical=1392 wipe=1036 block=613 outmatched=15
