BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7519    21000        0      8      8      234     4420    21410  FOELOST=18352 FOESEEN=21410 OWNSEEN=4420  GAD p1 off=9 def=23 sig=15 | p2 off=13 def=3 sig=9  DEFGAD p1=speed_3 p2=wall_2  WIPE n=34 reach=8556 cred=16612 paid=3820 altkill=9360 altcost=4155 altdiff=2  block=200 wiper=34  | watch=1675 wait=960 block=610 critical=421 free=295 wipe=167 outmatched=40
11    Orange   1           8179    20669        0      8      8      406     3772    29997  FOELOST=27641 FOESEEN=29997 OWNSEEN=3772  GAD p1 off=23 def=4 sig=9 | p2 off=5 def=5 sig=9  DEFGAD p1=wall_2 p2=wall_2  WIPE n=23 reach=4725 cred=6351 paid=3014 altkill=4725 altcost=3014 altdiff=0  block=381 wiper=24 =1  | watch=1658 block=1246 wait=775 critical=641 free=395 wipe=114
12    Yellow   2           6177        0    28281      6      6      202     2005     8394  FOELOST=5917 FOESEEN=31699 OWNSEEN=2005  GAD p1 off=8 def=9 sig=9 | p2 off=5 def=17 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=30 reach=2958 cred=96572 paid=1833 altkill=3063 altcost=1872 altdiff=4  block=172 wiper=30  | watch=2685 outmatched=885 critical=712 block=293 wait=245 wipe=146
13    Purple   2           5718        0     8405      5      6      223      911    11272  FOELOST=2848 FOESEEN=11272 OWNSEEN=3236  GAD p1 off=8 def=15 sig=8 | p2 off=9 def=16 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=37 reach=1356 cred=112818 paid=725 altkill=1379 altcost=719 altdiff=1  block=186 wiper=37  | watch=2571 critical=956 wait=390 wipe=182 outmatched=35
14    Black    2           6152        0     2000      7      7      398     5258    33947  FOELOST=11542 FOESEEN=33947 OWNSEEN=5258  GAD p1 off=10 def=16 sig=9 | p2 off=7 def=1 sig=9  DEFGAD p1=speed_2 p2=heal  WIPE n=58 reach=8378 cred=223877 paid=4578 altkill=8796 altcost=4697 altdiff=2  block=340 wiper=58  | critical=1697 watch=545 wipe=287 wait=195 outmatched=90
15    Purple   1           8119    19701        0      8      8      354     3405    24896  FOELOST=22448 FOESEEN=24896 OWNSEEN=3405  GAD p1 off=23 def=5 sig=11 | p2 off=16 def=26 sig=3  DEFGAD p1=wall_2 p2=speed_3  WIPE n=24 reach=3743 cred=5768 paid=2430 altkill=3743 altcost=2430 altdiff=0  block=327 wiper=26 =1  | watch=1563 wait=1070 block=859 critical=792 free=370 wipe=118
16    Black    1           8689    20669        0      8      8      533     4414    31700  FOELOST=29803 FOESEEN=31700 OWNSEEN=4414  GAD p1 off=12 def=7 sig=16 | p2 off=18 def=11 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=31 reach=8225 cred=9710 paid=3919 altkill=8468 altcost=4033 altdiff=2  block=500 wiper=32 =1  | watch=1756 block=1679 critical=1010 free=485 wait=205 wipe=159 outmatched=40
17    Purple   1           7919     9988        0      8      7      377     8262    26289  FOELOST=25681 FOESEEN=26289 OWNSEEN=8262  GAD p1 off=15 def=11 sig=16 | p2 off=17 def=23 sig=1  DEFGAD p1=heal_2 p2=speed_3  WIPE n=31 reach=10769 cred=76238 paid=7224 altkill=11736 altcost=7224 altdiff=0  block=346 wiper=31  | watch=1924 critical=1256 block=751 wait=199 wipe=152 outmatched=145 free=135
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5077        0    18425      5      7      209     1248     3924  FOELOST=6795 FOESEEN=17989 OWNSEEN=1248  GAD p1 off=6 def=8 sig=7 | p2 off=6 def=16 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=41 reach=1869 cred=41051 paid=576 altkill=1869 altcost=576 altdiff=0  block=168 wiper=41  | watch=2420 critical=896 wait=405 wipe=202 outmatched=5
20    Blue     2           8196        0    32500      8      8      515     9975    33320  FOELOST=20876 FOESEEN=33320 OWNSEEN=9975  GAD p1 off=16 def=6 sig=21 | p2 off=9 def=1 sig=11  DEFGAD p1=wall_2 p2=wall  WIPE n=67 reach=20848 cred=41237 paid=9533 altkill=21061 altcost=9580 altdiff=3  block=445 wiper=69 =1  | watch=1560 block=1352 critical=870 wait=700 wipe=332 outmatched=20
21    Red      2           6219        0     1664      7      7      202    14314     3668  FOELOST=5539 FOESEEN=29603 OWNSEEN=14314  GAD p1 off=16 def=8 sig=9 | p2 off=7 def=17 sig=13  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=24 reach=15335 cred=50774 paid=13958 altkill=15615 altcost=14178 altdiff=3  block=178 wiper=24  | watch=3125 critical=725 wait=600 block=370 wipe=119 outmatched=65
22    Blue     2          10793        0    73500      8      8      651     6968    52399  FOELOST=40386 FOESEEN=52399 OWNSEEN=62093  GAD p1 off=11 def=30 sig=16 | p2 off=18 def=4 sig=16  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=47 reach=18245 cred=60797 paid=6364 altkill=19303 altcost=6741 altdiff=2  block=604 wiper=47  | watch=3750 block=1993 wait=1435 critical=1085 wipe=235
23    Red      1          11771    19667        0      8      7      716     1102    15659  FOELOST=15649 FOESEEN=15659 OWNSEEN=187437  GAD p1 off=20 def=34 sig=18 | p2 off=18 def=22 sig=20  DEFGAD p1=reinforcements_3 p2=heal_3  WIPE n=36 reach=666 cred=11508 paid=422 altkill=736 altcost=458 altdiff=4  block=680 wiper=36  | watch=4685 block=3420 wait=1480 critical=323 free=245 wipe=182 outmatched=80
24    Green    1           7639    36803        0      8      8      287     3404    19120  FOELOST=15928 FOESEEN=19120 OWNSEEN=3404  GAD p1 off=14 def=22 sig=15 | p2 off=13 def=24 sig=6  DEFGAD p1=speed_3 p2=speed_3  WIPE n=40 reach=5588 cred=9168 paid=2663 altkill=5827 altcost=2663 altdiff=2  block=247 wiper=40  | watch=1595 block=927 wait=875 free=360 critical=316 wipe=198 outmatched=10
25    White    1           8149    23711        0      8      8      346     3390    26065  FOELOST=25644 FOESEEN=26065 OWNSEEN=3390  GAD p1 off=13 def=7 sig=11 | p2 off=23 def=10 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=43 reach=5384 cred=13381 paid=2502 altkill=5879 altcost=2777 altdiff=2  block=299 wiper=46 =1  | wait=1350 critical=808 block=720 free=605 outmatched=589 watch=514 wipe=219
26    Green    1           8179    35541        0      8      8      350     5073    34028  FOELOST=33756 FOESEEN=34028 OWNSEEN=5073  GAD p1 off=11 def=11 sig=14 | p2 off=18 def=26 sig=1  DEFGAD p1=heal_2 p2=speed_3  WIPE n=37 reach=8035 cred=24798 paid=3821 altkill=8225 altcost=3821 altdiff=0  block=313 wiper=37  | watch=1439 block=1383 wait=830 free=580 critical=272 wipe=189 outmatched=140
27    White    2           7865        0    75000      6      7      326     4046    35886  FOELOST=13425 FOESEEN=35886 OWNSEEN=53591  GAD p1 off=13 def=19 sig=17 | p2 off=8 def=12 sig=13  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=41 reach=5051 cred=82609 paid=3761 altkill=5051 altcost=3761 altdiff=0  block=285 wiper=41  | watch=2455 wait=1265 critical=1195 outmatched=525 block=438 wipe=208
28    Green    2           5363        0     1700      5      7      126     2126     3360  FOELOST=6402 FOESEEN=27755 OWNSEEN=2126  GAD p1 off=14 def=8 sig=5 | p2 off=3 def=17 sig=10  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=17 reach=2430 cred=71950 paid=1908 altkill=2430 altcost=1908 altdiff=0  block=109 wiper=17  | watch=2699 wait=784 critical=574 wipe=85 block=60 outmatched=9
29    Yellow   1           8526    44000        0      8      8      298    18865    32978  FOELOST=32970 FOESEEN=32978 OWNSEEN=18865  GAD p1 off=13 def=23 sig=14 | p2 off=9 def=5 sig=14  DEFGAD p1=speed_3 p2=wall_2  WIPE n=27 reach=20417 cred=26204 paid=18594 altkill=20545 altcost=18594 altdiff=0  block=271 wiper=27  | watch=2116 wait=1050 block=983 critical=371 outmatched=345 free=195 wipe=139
30    Orange   2           5315        0    12000      5      7      130     2366     5317  FOELOST=6086 FOESEEN=29712 OWNSEEN=2366  GAD p1 off=6 def=5 sig=4 | p2 off=7 def=17 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=39 reach=3907 cred=81538 paid=2280 altkill=3998 altcost=2304 altdiff=2  block=89 wiper=40 =1  | watch=2710 wait=705 critical=448 wipe=195 outmatched=110
31    Yellow   1           8149    19701        0      8      8      327     2537    25231  FOELOST=20662 FOESEEN=25231 OWNSEEN=2537  GAD p1 off=23 def=13 sig=9 | p2 off=14 def=3 sig=10  DEFGAD p1=heal_2 p2=wall_2  WIPE n=33 reach=3927 cred=12370 paid=1949 altkill=3901 altcost=1898 altdiff=1  block=294 wiper=33  | watch=2355 critical=898 wait=665 block=576 wipe=165 free=120 outmatched=20
32    Orange   2           7260        0    29035      5      7      191     2450    11875  FOELOST=6185 FOESEEN=11875 OWNSEEN=5330  GAD p1 off=9 def=15 sig=8 | p2 off=13 def=1 sig=18  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=33 reach=2467 cred=25985 paid=1976 altkill=2477 altcost=1976 altdiff=0  block=158 wiper=33  | watch=2790 wait=1935 critical=807 wipe=165 outmatched=110
33    Yellow   1           8989    30000        0      8      8      597     5521    97443  FOELOST=94372 FOESEEN=97443 OWNSEEN=5521  GAD p1 off=13 def=27 sig=16 | p2 off=21 def=29 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=30 reach=7292 cred=11347 paid=4954 altkill=7307 altcost=4954 altdiff=0  block=567 wiper=30  | block=2508 watch=1713 critical=462 free=420 wait=369 wipe=147
34    Orange   1           7669    24970        0      8      8      396     6259    38283  FOELOST=35290 FOESEEN=38283 OWNSEEN=6259  GAD p1 off=14 def=8 sig=15 | p2 off=18 def=8 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=54 reach=7842 cred=19709 paid=5257 altkill=7872 altcost=5272 altdiff=1  block=338 wiper=57 =1  | critical=1218 watch=1004 wait=760 block=492 free=490 wipe=272 outmatched=105
35    Black    1           8119    21013        0      8      7      415     2338    17473  FOELOST=17090 FOESEEN=17473 OWNSEEN=2338  GAD p1 off=13 def=11 sig=9 | p2 off=6 def=24 sig=7  DEFGAD p1=heal_2 p2=speed_3  WIPE n=41 reach=3248 cred=13888 paid=1590 altkill=3567 altcost=1652 altdiff=1  block=374 wiper=41  | block=1874 watch=1554 free=464 critical=337 wait=320 wipe=203 outmatched=20
36    Purple   0           9109        0        0      8      8      410    28993    41100  FOELOST=40275 FOESEEN=41100 OWNSEEN=28993  GAD p1 off=13 def=9 sig=15 | p2 off=5 def=15 sig=13  DEFGAD p1=heal_2 p2=heal_2  WIPE n=81 reach=32075 cred=440826 paid=27677 altkill=32495 altcost=27688 altdiff=1  block=329 wiper=81  | watch=1169 critical=1062 wait=1025 block=1002 free=865 wipe=414 outmatched=230
37    Black    2           6113        0    11748      5      7      162     1348     3799  FOELOST=5629 FOESEEN=19369 OWNSEEN=3418  GAD p1 off=7 def=14 sig=7 | p2 off=10 def=17 sig=3  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=31 reach=2283 cred=66791 paid=1217 altkill=2303 altcost=1217 altdiff=0  block=131 wiper=31  | watch=3010 wait=905 critical=671 wipe=154 outmatched=125 block=40
38    Purple   1           9298     2391        0      8      8      412    24766    68412  FOELOST=63908 FOESEEN=68412 OWNSEEN=24766  GAD p1 off=26 def=25 sig=14 | p2 off=11 def=3 sig=15  DEFGAD p1=speed_3 p2=wall_2  WIPE n=26 reach=30674 cred=65667 paid=23994 altkill=33926 altcost=23994 altdiff=0  block=386 wiper=26  | outmatched=1695 watch=1515 critical=1324 block=600 free=483 wait=210 wipe=133
39    Black    2           4260        0     1500      4      6      143      878     4443  FOELOST=2364 FOESEEN=7368 OWNSEEN=878  GAD p1 off=5 def=3 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=25 reach=1293 cred=25409 paid=763 altkill=1293 altcost=763 altdiff=0  block=117 wiper=25 =1  | watch=1925 critical=460 outmatched=245 wait=225 block=135 wipe=125
40    Purple   2           8688        0    34000      8      8      324     6611    30479  FOELOST=25973 FOESEEN=30479 OWNSEEN=6611  GAD p1 off=18 def=3 sig=16 | p2 off=13 def=3 sig=14  DEFGAD p1=heal p2=wall_2  WIPE n=24 reach=8263 cred=18617 paid=6311 altkill=8263 altcost=6311 altdiff=0  block=300 wiper=24  | watch=2159 block=998 wait=789 outmatched=580 critical=566 free=155 wipe=119
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8239    30367        0      8      8      285     3044    28858  FOELOST=26060 FOESEEN=28858 OWNSEEN=3044  GAD p1 off=13 def=22 sig=11 | p2 off=18 def=26 sig=9  DEFGAD p1=speed_3 p2=speed_3  WIPE n=36 reach=4869 cred=9115 paid=2297 altkill=5191 altcost=2297 altdiff=0  block=249 wiper=36  | watch=1395 wait=1390 block=866 free=680 critical=381 wipe=179
43    Blue     1           8366    37356        0      8      8      354     5254    57592  FOELOST=55624 FOESEEN=57592 OWNSEEN=5254  GAD p1 off=12 def=24 sig=14 | p2 off=6 def=14 sig=14  DEFGAD p1=speed_3 p2=heal_2  WIPE n=50 reach=5424 cred=25982 paid=4038 altkill=5439 altcost=4049 altdiff=1  block=304 wiper=50  | wait=1518 watch=1204 block=820 critical=707 wipe=354 free=350 outmatched=80
44    Red      1           8869    16532        0      8      8      524     4117    34588  FOELOST=31050 FOESEEN=34588 OWNSEEN=4117  GAD p1 off=17 def=5 sig=21 | p2 off=8 def=27 sig=9  DEFGAD p1=wall_2 p2=speed_3  WIPE n=47 reach=7944 cred=19663 paid=3645 altkill=7956 altcost=3645 altdiff=0  block=475 wiper=48 =1  | block=2166 watch=1155 free=700 wait=635 critical=615 wipe=234
45    Blue     2           7435        0    28930      8      7      390     4110    63664  FOELOST=19475 FOESEEN=63664 OWNSEEN=4110  GAD p1 off=12 def=8 sig=8 | p2 off=8 def=5 sig=11  DEFGAD p1=heal_2 p2=heal  WIPE n=41 reach=4296 cred=150440 paid=3412 altkill=4386 altcost=3412 altdiff=0  block=349 wiper=41  | critical=1671 watch=888 wait=714 block=588 wipe=204 outmatched=45
46    White    1          14076    55128        0      8      8      989     7307    90035  FOELOST=88754 FOESEEN=90035 OWNSEEN=90712  GAD p1 off=24 def=38 sig=21 | p2 off=23 def=40 sig=16  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=35 reach=25778 cred=83587 paid=6353 altkill=25829 altcost=6378 altdiff=1  block=954 wiper=35  | watch=4953 block=4142 free=970 critical=945 wait=944 outmatched=415 wipe=179
47    Green    2           8565        0    34000      8      8      510     3534    29504  FOELOST=23522 FOESEEN=29504 OWNSEEN=3534  GAD p1 off=17 def=24 sig=15 | p2 off=14 def=4 sig=13  DEFGAD p1=speed_3 p2=wall_2  WIPE n=56 reach=4731 cred=24939 paid=3080 altkill=4835 altcost=3104 altdiff=1  block=454 wiper=56  | block=2209 watch=1514 wait=865 critical=295 wipe=281 outmatched=30
48    White    1          13311    40576        0      8      8     1241    57725    56412  FOELOST=218736 FOESEEN=219297 OWNSEEN=57725  GAD p1 off=36 def=13 sig=18 | p2 off=26 def=40 sig=4  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=97 reach=106509 cred=421460 paid=55463 altkill=106577 altcost=55463 altdiff=0  block=1139 wiper=101 =1  | critical=4290 watch=2805 block=1687 outmatched=1380 wait=1195 wipe=483 free=225
49    Green    1           8359    28500        0      8      7      401     8456    49075  FOELOST=48963 FOESEEN=49075 OWNSEEN=8456  GAD p1 off=13 def=0 sig=12 | p2 off=16 def=4 sig=12  DEFGAD p1=heal p2=wall_2  WIPE n=45 reach=7777 cred=1230687 paid=7388 altkill=7777 altcost=7388 altdiff=0  block=356 wiper=45  | watch=1814 critical=1800 outmatched=755 wait=295 wipe=229 free=150
50    White    2           4792        0     1514      5      6      176     1005    11537  FOELOST=9168 FOESEEN=15272 OWNSEEN=1005  GAD p1 off=6 def=7 sig=6 | p2 off=7 def=15 sig=8  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=29 reach=921 cred=41948 paid=417 altkill=921 altcost=417 altdiff=0  block=147 wiper=29  | watch=2320 critical=749 wait=355 wipe=145 outmatched=75
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           7386        0    31682      8      8      357     5648    19273  FOELOST=11077 FOESEEN=19273 OWNSEEN=5648  GAD p1 off=10 def=18 sig=8 | p2 off=3 def=3 sig=17  DEFGAD p1=speed_2 p2=heal  WIPE n=49 reach=7820 cred=33071 paid=5032 altkill=8219 altcost=5105 altdiff=2  block=308 wiper=49  | block=943 outmatched=875 watch=734 critical=608 wait=600 wipe=244 free=55
53    Orange   1           8803    12000        0      8      8      477     8519    31521  FOELOST=31397 FOESEEN=31521 OWNSEEN=8519  GAD p1 off=12 def=4 sig=16 | p2 off=12 def=28 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=46 reach=29273 cred=37316 paid=8092 altkill=30017 altcost=8092 altdiff=0  block=428 wiper=48 =1  | watch=1682 block=1401 critical=798 wipe=653 wait=645 free=275
54    Yellow   2           7720        0    23000      8      8      492     6891    76996  FOELOST=11028 FOESEEN=76996 OWNSEEN=6891  GAD p1 off=15 def=11 sig=18 | p2 off=13 def=1 sig=12  DEFGAD p1=heal_2 p2=heal  WIPE n=64 reach=24607 cred=62054 paid=6463 altkill=24652 altcost=6475 altdiff=1  block=428 wiper=64  | critical=1479 watch=1450 block=667 wait=375 wipe=318 outmatched=95
55    Orange   1           8984    43430        0      8      7      334      755    15129  FOELOST=15079 FOESEEN=15129 OWNSEEN=86780  GAD p1 off=11 def=28 sig=8 | p2 off=16 def=26 sig=11  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=5 reach=157 cred=663 paid=97 altkill=157 altcost=97 altdiff=0  block=329 wiper=5  | watch=4533 block=1614 wait=945 free=360 critical=54 wipe=25
56    Yellow   1           8479     6281        0      8      8      429     3107    33715  FOELOST=32485 FOESEEN=33715 OWNSEEN=3107  GAD p1 off=12 def=24 sig=12 | p2 off=19 def=1 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=38 reach=3555 cred=11706 paid=1934 altkill=3423 altcost=1724 altdiff=5  block=391 wiper=38  | block=1297 watch=844 outmatched=785 critical=700 wait=665 free=635 wipe=192
57    Purple   2           7817        0     2000      6      6      453    10385    24394  FOELOST=34982 FOESEEN=52774 OWNSEEN=10385  GAD p1 off=13 def=23 sig=11 | p2 off=13 def=19 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=74 reach=28932 cred=254531 paid=10006 altkill=29044 altcost=10034 altdiff=3  block=379 wiper=74  | watch=2477 critical=1634 outmatched=1235 block=447 wait=430 wipe=365
58    Black    1           7549    24438        0      8      8      362     4967    17638  FOELOST=16863 FOESEEN=17638 OWNSEEN=4967  GAD p1 off=21 def=7 sig=15 | p2 off=5 def=4 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=28 reach=6699 cred=25733 paid=3986 altkill=6724 altcost=3986 altdiff=0  block=333 wiper=28 =1  | block=1376 watch=989 critical=813 wait=499 free=375 wipe=140 outmatched=5
59    Purple   2           5147        0    18723      5      7      145     2225     3972  FOELOST=6816 FOESEEN=18037 OWNSEEN=2225  GAD p1 off=7 def=7 sig=6 | p2 off=6 def=16 sig=9  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=28 reach=3453 cred=62028 paid=1874 altkill=3426 altcost=1742 altdiff=3  block=117 wiper=28  | watch=1940 wait=1060 critical=589 outmatched=265 wipe=145
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           7220        0     2000      8      8      399     1962    13839  FOELOST=8068 FOESEEN=13839 OWNSEEN=1962  GAD p1 off=17 def=19 sig=17 | p2 off=9 def=4 sig=17  DEFGAD p1=speed_2 p2=heal  WIPE n=50 reach=2101 cred=28627 paid=1613 altkill=2101 altcost=1613 altdiff=0  block=349 wiper=50  | watch=1160 block=1026 critical=721 wait=565 wipe=246 outmatched=155
62    Black    1           8029    30201        0      8      8      256     3130    24218  FOELOST=21672 FOESEEN=24218 OWNSEEN=3130  GAD p1 off=8 def=5 sig=8 | p2 off=16 def=25 sig=10  DEFGAD p1=wall_2 p2=speed_3  WIPE n=38 reach=7264 cred=9703 paid=2704 altkill=7428 altcost=2766 altdiff=1  block=214 wiper=41 =1  | watch=2114 block=830 wait=810 free=460 critical=284 wipe=189
63    Red      2           8860        0    34000      8      8      634     7219    66615  FOELOST=18765 FOESEEN=66615 OWNSEEN=7219  GAD p1 off=12 def=11 sig=18 | p2 off=18 def=14 sig=24  DEFGAD p1=heal_2 p2=heal_2  WIPE n=77 reach=11933 cred=67193 paid=6662 altkill=12360 altcost=6707 altdiff=1  block=557 wiper=77  | block=1755 critical=1423 watch=885 wait=539 wipe=391 outmatched=385 free=150
64    Blue     2           9109        0    47413      8      8      476     2340    39574  FOELOST=35410 FOESEEN=39574 OWNSEEN=2340  GAD p1 off=18 def=10 sig=16 | p2 off=19 def=28 sig=9  DEFGAD p1=heal_2 p2=speed_3  WIPE n=47 reach=3310 cred=6185 paid=1911 altkill=3381 altcost=1911 altdiff=0  block=429 wiper=47  | watch=1779 block=1764 free=795 wait=709 critical=472 wipe=231
65    Red      2           9137        0    15500      8      8      718    11463   114174  FOELOST=29171 FOESEEN=114174 OWNSEEN=97488  GAD p1 off=11 def=28 sig=12 | p2 off=23 def=6 sig=16  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=55 reach=22042 cred=353650 paid=10137 altkill=22383 altcost=10225 altdiff=4  block=663 wiper=55  | watch=3300 block=1934 critical=1410 wait=720 wipe=273 outmatched=155
