tick,hp,maxhp,money,inv,own,enemy,enemy_dps,enemy_swings,enemy_value,choice,t1,t2,t3,t4,t5,t6,t7,t8,p2money,p2inv,p1income,p2income,p1spent,p2spent
177,2000,2000,10,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,10,0,2,2,0,0
180,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
183,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
186,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
189,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
192,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
195,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
198,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
201,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
204,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
207,2000,2000,12,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,12,0,2,2,0,0
210,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
213,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
216,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
219,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
222,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
225,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
228,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
231,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
234,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
237,2000,2000,14,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,14,0,2,2,0,0
240,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
243,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
246,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
249,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
252,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
255,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
258,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
261,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
264,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
267,2000,2000,16,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,0,2,2,0,0
270,2000,2000,18,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,0,2,2,0,0
273,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
276,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
279,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
282,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
285,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
288,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
291,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
294,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
297,2000,2000,0,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,1,3,3,0,0
300,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
303,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
306,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
309,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
312,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
315,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
318,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
321,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
324,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
327,2000,2000,3,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,3,1,3,3,0,0
330,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
333,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
336,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
339,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
342,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
345,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
348,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
351,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
354,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
357,2000,2000,5,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,5,1,3,3,0,0
360,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
363,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
366,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
369,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
372,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
375,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
378,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
381,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
384,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
387,2000,2000,8,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,8,1,3,3,0,0
390,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
393,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
396,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
399,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
402,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
405,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
408,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
411,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
414,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
417,2000,2000,11,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,11,1,3,3,0,0
420,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
423,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
426,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
429,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
432,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
435,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
438,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
441,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
444,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
447,2000,2000,13,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,1,3,3,0,0
450,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
453,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
456,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
459,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
462,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
465,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
468,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
471,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
474,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
477,2000,2000,16,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,16,1,3,3,0,0
480,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
483,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
486,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
489,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
492,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
495,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
498,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
501,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
504,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
507,2000,2000,19,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,19,1,3,3,0,0
510,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
513,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
516,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
519,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
522,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
525,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
528,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
531,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
534,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
537,2000,2000,21,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,21,1,3,3,0,0
540,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
543,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
546,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
549,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
552,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
555,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
558,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
561,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
564,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
567,2000,2000,24,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,24,1,3,3,0,0
570,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
573,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
576,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
579,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
582,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
585,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
588,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
591,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
594,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
597,2000,2000,26,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,26,1,3,3,0,0
600,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
603,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
606,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
609,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
612,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
615,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
618,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
621,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
624,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
627,2000,2000,29,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,29,1,3,3,0,0
630,2000,2000,32,1,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,32,1,3,3,0,0
633,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
636,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
639,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
642,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
645,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
648,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
651,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
654,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
657,2000,2000,0,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,0,2,4,4,0,0
660,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
663,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
666,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
669,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
672,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
675,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
678,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
681,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
684,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
687,2000,2000,4,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,4,2,4,4,0,0
690,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
693,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
696,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
699,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
702,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
705,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
708,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
711,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
714,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
717,2000,2000,9,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,9,2,4,4,0,0
720,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
723,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
726,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
729,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
732,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
735,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
738,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
741,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
744,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
747,2000,2000,13,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,13,2,4,4,0,0
750,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
753,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
756,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
759,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
762,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
765,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
768,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
771,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
774,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
777,2000,2000,18,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,18,2,4,4,0,0
780,2000,2000,22,2,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,22,2,4,4,0,0
