STALL TEST -- single tier-N attacker vs a stream of tier-1 chumps
  castle HP     : 23000 both sides
  income        : $5000/s both sides (spawns are never money-limited)
  attacker teams: Black,Blue,Green,Orange,Purple,Red,White,Yellow
  blocker       : mirror
  tiers         : 5,6,7,8
  spawn periods : 1,2,3,5,10,15,20,30,45,60,90,120,180,240 ticks  (30.0/s,15.0/s,10.0/s,6.0/s,3.0/s,2.0/s,1.5/s,1.0/s,0.7/s,0.5/s,0.3/s,0.2/s,0.2/s,0.1/s)
  attacker seat : 1
  attacker castle: normal (chumps can win the game outright)
  horizon       : 36000 ticks (1200s); the real game ends at 600s

=== ATTACKER IN SEAT P1 ===

--- blockers every 1 ticks (30.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      87       87        -   65% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     452      452        -   28% defender_won      
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1489     1489        -   16% defender_won      
Red      5  birdo          derpyberd          199.4s      DEF WINS        inf      inf      96       96        -   67% defender_won      
Red      6  the_puncher    derpyberd           46.8s      DEF WINS        inf      inf     181      181        -   73% defender_won      
Red      7  caw            derpyberd           17.5s      DEF WINS        inf      inf    1221     1221        -   53% defender_won      
Red      8  draggo         derpyberd           33.4s      DEF WINS        inf      inf    4365     4365        -   24% defender_won      
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf      97      291        -   63% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     210      630        -   57% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     456     1368        -   63% defender_won      
White    8  corn           doggo               61.7s      DEF WINS        inf      inf    3252     9756        -   14% defender_won      
Yellow   5  jig            minnow             162.0s      DEF WINS        inf      inf      78      156        -   62% defender_won      
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf     150      300        -   27% defender_won      
Yellow   7  deus           minnow              31.0s      DEF WINS        inf      inf     950     1900        -   27% defender_won      
Yellow   8  lyon           minnow              33.4s      DEF WINS        inf      inf    1770     3540        -   16% defender_won      

--- blockers every 3 ticks (10.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s      DEF WINS        inf      inf      61      122        -   63% defender_won      
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf     131      262        -   59% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     446      892        -   31% defender_won      
Black    8  evilguy        evilminnow          33.4s      DEF WINS        inf      inf    1922     3844        -   19% defender_won      
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf      71      213        -   63% defender_won      
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     209      627        -   47% defender_won      
Blue     7  octoboi        fishy               39.5s      DEF WINS        inf      inf    1317     3951        -   27% defender_won      
Blue     8  lightningbear  fishy               19.2s      DEF WINS        inf      inf    2224     6672        -   33% defender_won      
Green    5  gecko          minisnecko         199.3s      DEF WINS        inf      inf      69       69        -   54% defender_won      
Green    6  geico          minisnecko          98.1s      DEF WINS        inf      inf     164      164        -   40% defender_won      
Green    7  nom            minisnecko          11.1s      DEF WINS        inf      inf     397      397        -   61% defender_won      
Green    8  trogdor        minisnecko          16.4s      DEF WINS        inf      inf    3151     3151        -   32% defender_won      
Orange   5  scott          phil               182.6s      DEF WINS        inf      inf      44      176        -   70% defender_won      
Orange   6  zander         phil               149.0s      DEF WINS        inf      inf     190      760        -   95% defender_won      
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     706     2824        -   33% defender_won      
Orange   8  hwy            phil                23.9s      DEF WINS        inf      inf    1686     6744        -   28% defender_won      
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      50       50        -   54% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      80       80        -   68% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     436      436        -   30% defender_won      
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1472     1472        -   16% defender_won      
Red      5  birdo          derpyberd          199.4s      DEF WINS        inf      inf      86       86        -   70% defender_won      
Red      6  the_puncher    derpyberd           46.8s      DEF WINS        inf      inf     169      169        -   77% defender_won      
Red      7  caw            derpyberd           17.5s      DEF WINS        inf      inf    1046     1046        -   54% defender_won      
Red      8  draggo         derpyberd           33.4s      DEF WINS        inf      inf    4307     4307        -   24% defender_won      
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf      86      258        -   63% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     177      531        -   57% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     435     1305        -   63% defender_won      
White    8  corn           doggo               61.7s      DEF WINS        inf      inf    3201     9603        -   14% defender_won      
Yellow   5  jig            minnow             162.0s      DEF WINS        inf      inf      63      126        -   64% defender_won      
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf     118      236        -   27% defender_won      
Yellow   7  deus           minnow              31.0s      DEF WINS        inf      inf     826     1652        -   27% defender_won      
Yellow   8  lyon           minnow              33.4s      DEF WINS        inf      inf    1735     3470        -   16% defender_won      

--- blockers every 5 ticks (6.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s      DEF WINS        inf      inf      48       96        -   68% defender_won      
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf     109      218        -   68% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     392      784        -   32% defender_won      
Black    8  evilguy        evilminnow          33.4s      DEF WINS        inf      inf    1875     3750        -   20% defender_won      
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf      56      168        -   66% defender_won      
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     172      516        -   48% defender_won      
Blue     7  octoboi        fishy               39.5s      DEF WINS        inf      inf     966     2898        -   27% defender_won      
Blue     8  lightningbear  fishy               19.2s      DEF WINS        inf      inf    2175     6525        -   34% defender_won      
Green    5  gecko          minisnecko         199.3s      DEF WINS        inf      inf      61       61        -   56% defender_won      
Green    6  geico          minisnecko          98.1s      DEF WINS        inf      inf     149      149        -   41% defender_won      
Green    7  nom            minisnecko          11.1s      DEF WINS        inf      inf     356      356        -  100% defender_won      
Green    8  trogdor        minisnecko          16.4s      DEF WINS        inf      inf    3097     3097        -   34% defender_won      
Orange   5  scott          phil               182.6s      DEF WINS        inf      inf      30      120        -   84% defender_won      
Orange   6  zander         phil               149.0s      DEF WINS        inf      inf     188      752        -  100% defender_won      
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     484     1936        -   33% defender_won      
Orange   8  hwy            phil                23.9s      DEF WINS        inf      inf    1643     6572        -   29% defender_won      
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      39       39        -   56% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      72       72        -   67% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     388      388        -   29% defender_won      
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1431     1431        -   18% defender_won      
Red      5  birdo          derpyberd          199.4s      DEF WINS        inf      inf      72       72        -   75% defender_won      
Red      6  the_puncher    derpyberd           46.8s      DEF WINS        inf      inf     165      165        -   84% defender_won      
Red      7  caw            derpyberd           17.5s      DEF WINS        inf      inf     830      830        -   54% defender_won      
Red      8  draggo         derpyberd           33.4s      DEF WINS        inf      inf    4228     4228        -   25% defender_won      
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf      70      210        -   67% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     170      510        -   59% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     348     1044        -   63% defender_won      
White    8  corn           doggo               61.7s      DEF WINS        inf      inf    3128     9384        -   15% defender_won      
Yellow   5  jig            minnow             162.0s      DEF WINS        inf      inf      52      104        -   78% defender_won      
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf      92      184        -   27% defender_won      
Yellow   7  deus           minnow              31.0s      DEF WINS        inf      inf     710     1420        -   28% defender_won      
Yellow   8  lyon           minnow              33.4s      DEF WINS        inf      inf    1697     3394        -   18% defender_won      

--- blockers every 10 ticks (3.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s      DEF WINS        inf      inf      39       78        -  100% defender_won      
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf     102      204        -  100% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     361      722        -   52% defender_won      
Black    8  evilguy        evilminnow          33.4s      DEF WINS        inf      inf    1799     3598        -   23% defender_won      
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf      42      126        -   71% defender_won      
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     182      546        -   78% defender_won      
Blue     7  octoboi        fishy               39.5s      DEF WINS        inf      inf     577     1731        -   28% defender_won      
Blue     8  lightningbear  fishy               19.2s      DEF WINS        inf      inf    2092     6276        -   37% defender_won      
Green    5  gecko          minisnecko         199.3s         NEVER        inf      inf      63       63        -  100% attacker_killed   
Green    6  geico          minisnecko          98.1s      DEF WINS        inf      inf     132      132        -   49% defender_won      
Green    7  nom            minisnecko          11.1s         NEVER        inf      inf     411      411        -  100% attacker_killed   
Green    8  trogdor        minisnecko          16.4s      DEF WINS        inf      inf    2989     2989        -   37% defender_won      
Orange   5  scott          phil               182.6s         NEVER        inf      inf      23       92        -  100% attacker_killed   
Orange   6  zander         phil               149.0s      DEF WINS        inf      inf     202      808        -  100% defender_won      
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     414     1656        -   34% defender_won      
Orange   8  hwy            phil                23.9s      DEF WINS        inf      inf    1575     6300        -   31% defender_won      
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      30       30        -   62% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      61       61        -   74% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     403      403        -   57% defender_won      
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1375     1375        -   21% defender_won      
Red      5  birdo          derpyberd          199.4s      DEF WINS        inf      inf      65       65        -  100% defender_won      
Red      6  the_puncher    derpyberd           46.8s      DEF WINS        inf      inf     138      138        -  100% defender_won      
Red      7  caw            derpyberd           17.5s      DEF WINS        inf      inf     919      919        -  100% defender_won      
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf    3600     3600        -   27% survived_horizon  
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf      56      168        -   79% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     156      468        -   91% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     380     1140        -  100% defender_won      
White    8  corn           doggo               61.7s      DEF WINS        inf      inf    3007     9021        -   17% defender_won      
Yellow   5  jig            minnow             162.0s      DEF WINS        inf      inf      38       76        -   90% defender_won      
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf      90      180        -   29% defender_won      
Yellow   7  deus           minnow              31.0s      DEF WINS        inf      inf     588     1176        -   82% defender_won      
Yellow   8  lyon           minnow              33.4s      DEF WINS        inf      inf    1631     3262        -   21% defender_won      

--- blockers every 15 ticks (2.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s      DEF WINS        inf      inf      31       62        -  100% defender_won      
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf      99      198        -  100% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     344      688        -   98% defender_won      
Black    8  evilguy        evilminnow          33.4s      DEF WINS        inf      inf    1734     3468        -   26% defender_won      
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf      43      129        -  100% defender_won      
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     156      468        -   60% defender_won      
Blue     7  octoboi        fishy               39.5s      DEF WINS        inf      inf     513     1539        -   30% defender_won      
Blue     8  lightningbear  fishy               19.2s      DEF WINS        inf      inf    2014     6042        -   40% defender_won      
Green    5  gecko          minisnecko         199.3s      DEF WINS        inf      inf      40       40        -   71% defender_won      
Green    6  geico          minisnecko          98.1s      DEF WINS        inf      inf     130      130        -   86% defender_won      
Green    7  nom            minisnecko          11.1s         NEVER        inf      inf     381      381        -  100% attacker_killed   
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf    2400     2400        -   41% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s         NEVER        inf      inf     204      816        -  100% attacker_killed   
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     447     1788        -  100% defender_won      
Orange   8  hwy            phil                23.9s      DEF WINS        inf      inf    1517     6068        -   34% defender_won      
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      27       27        -   75% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      76       76        -  100% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     422      422        -  100% defender_won      
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1325     1325        -   25% defender_won      
Red      5  birdo          derpyberd          199.4s         NEVER        inf      inf      59       59        -  100% attacker_killed   
Red      6  the_puncher    derpyberd           46.8s      DEF WINS        inf      inf     146      146        -  100% defender_won      
Red      7  caw            derpyberd           17.5s         NEVER        inf      inf     889      889        -  100% attacker_killed   
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf    2400     2400        -   29% survived_horizon  
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf      48      144        -   91% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     167      501        -  100% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     368     1104        -  100% defender_won      
White    8  corn           doggo               61.7s        >1200s        inf      inf    2400     7200        -   19% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      36       72        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf      84      168        -   43% defender_won      
Yellow   7  deus           minnow              31.0s         NEVER        inf      inf     670     1340        -  100% attacker_killed   
Yellow   8  lyon           minnow              33.4s      DEF WINS        inf      inf    1572     3144        -   25% defender_won      

--- blockers every 20 ticks (1.5/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      36       72        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s      DEF WINS        inf      inf     107      214        -  100% defender_won      
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     397      794        -  100% defender_won      
Black    8  evilguy        evilminnow          33.4s        >1200s        inf      inf    1800     3600        -  100% survived_horizon  
Blue     5  squid          fishy              198.6s      DEF WINS        inf      inf      32       96        -   89% defender_won      
Blue     6  judge          fishy               99.6s         NEVER        inf      inf     176      528        -  100% attacker_killed   
Blue     7  octoboi        fishy               39.5s         NEVER        inf      inf     611     1833        -  100% attacker_killed   
Blue     8  lightningbear  fishy               19.2s        >1200s        inf      inf    1800     5400        -  100% survived_horizon  
Green    5  gecko          minisnecko         199.3s         NEVER        inf      inf      67       67        -  100% attacker_killed   
Green    6  geico          minisnecko          98.1s         NEVER        inf      inf     135      135        -  100% attacker_killed   
Green    7  nom            minisnecko          11.1s         46.9s      35.8s    4.23x      71       71     1.98  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf    1800     1800        -  100% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s         NEVER        inf      inf     207      828        -  100% attacker_killed   
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     408     1632        -  100% defender_won      
Orange   8  hwy            phil                23.9s         NEVER        inf      inf    1587     6348        -  100% attacker_killed   
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      27       27        -  100% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      49       49        -   92% defender_won      
Purple   7  monky          cant                29.4s         NEVER        inf      inf     418      418        -  100% attacker_killed   
Purple   8  bigblobbo      cant                33.4s      DEF WINS        inf      inf    1475     1475        -  100% defender_won      
Red      5  birdo          derpyberd          199.4s         NEVER        inf      inf      62       62        -  100% attacker_killed   
Red      6  the_puncher    derpyberd           46.8s         NEVER        inf      inf     170      170        -  100% attacker_killed   
Red      7  caw            derpyberd           17.5s         NEVER        inf      inf    1024     1024        -  100% attacker_killed   
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf    1800     1800        -  100% survived_horizon  
White    5  alpacco        doggo              243.3s      DEF WINS        inf      inf      56      168        -  100% defender_won      
White    6  bread          doggo               88.7s      DEF WINS        inf      inf     158      474        -  100% defender_won      
White    7  eggo           doggo               11.8s      DEF WINS        inf      inf     406     1218        -  100% defender_won      
White    8  corn           doggo               61.7s        >1200s        inf      inf    1800     5400        -  100% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      48       96        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf      80      160        -   54% defender_won      
Yellow   7  deus           minnow              31.0s      DEF WINS        inf      inf     595     1190        -  100% defender_won      
Yellow   8  lyon           minnow              33.4s         NEVER        inf      inf    1761     3522        -  100% attacker_killed   

--- blockers every 30 ticks (1.0/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      37       74        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s         NEVER        inf      inf     108      216        -  100% attacker_killed   
Black    7  gorillo        evilminnow          30.5s      DEF WINS        inf      inf     384      768        -  100% defender_won      
Black    8  evilguy        evilminnow          33.4s        >1200s        inf      inf    1200     2400        -   35% survived_horizon  
Blue     5  squid          fishy              198.6s         NEVER        inf      inf      45      135        -  100% attacker_killed   
Blue     6  judge          fishy               99.6s      DEF WINS        inf      inf     196      588        -  100% defender_won      
Blue     7  octoboi        fishy               39.5s         NEVER        inf      inf     570     1710        -  100% attacker_killed   
Blue     8  lightningbear  fishy               19.2s        >1200s        inf      inf    1200     3600        -   48% survived_horizon  
Green    5  gecko          minisnecko         199.3s         NEVER        inf      inf      50       50        -  100% attacker_killed   
Green    6  geico          minisnecko          98.1s         NEVER        inf      inf     156      156        -  100% attacker_killed   
Green    7  nom            minisnecko          11.1s         18.2s       7.1s    1.64x      19       19     2.68  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf    1200     1200        -   52% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
Orange   6  zander         phil               149.0s        196.1s      47.1s    1.32x     197      788    16.73  100% castle_destroyed  
Orange   7  tiger          phil                29.6s      DEF WINS        inf      inf     460     1840        -  100% defender_won      
Orange   8  hwy            phil                23.9s        >1200s        inf      inf    1200     4800        -   42% survived_horizon  
Purple   5  bit            cant               197.4s      DEF WINS        inf      inf      24       24        -  100% defender_won      
Purple   6  cube           cant                37.7s      DEF WINS        inf      inf      93       93        -  100% defender_won      
Purple   7  monky          cant                29.4s      DEF WINS        inf      inf     415      415        -  100% defender_won      
Purple   8  bigblobbo      cant                33.4s        >1200s        inf      inf    1200     1200        -   35% survived_horizon  
Red      5  birdo          derpyberd          199.4s         NEVER        inf      inf      67       67        -  100% attacker_killed   
Red      6  the_puncher    derpyberd           46.8s         NEVER        inf      inf     158      158        -  100% attacker_killed   
Red      7  caw            derpyberd           17.5s         NEVER        inf      inf     948      948        -  100% attacker_killed   
Red      8  draggo         derpyberd           33.4s        >1200s        inf      inf    1200     1200        -   35% survived_horizon  
White    5  alpacco        doggo              243.3s         NEVER        inf      inf      40      120        -  100% attacker_killed   
White    6  bread          doggo               88.7s         NEVER        inf      inf     170      510        -  100% attacker_killed   
White    7  eggo           doggo               11.8s         NEVER        inf      inf     446     1338        -  100% attacker_killed   
White    8  corn           doggo               61.7s        >1200s        inf      inf    1200     3600        -   25% survived_horizon  
Yellow   5  jig            minnow             162.0s         NEVER        inf      inf      45       90        -  100% attacker_killed   
Yellow   6  bub            minnow             174.8s      DEF WINS        inf      inf      71      142        -   71% defender_won      
Yellow   7  deus           minnow              31.0s         NEVER        inf      inf     658     1316        -  100% attacker_killed   
Yellow   8  lyon           minnow              33.4s        >1200s        inf      inf    1200     2400        -   35% survived_horizon  

--- blockers every 45 ticks (0.7/s) ---
team     T  attacker       blocker        no defence   with chumps      delay   factor  chumps    spent      $/s  reach outcome           
Black    5  evilbirdo      evilminnow         187.3s         NEVER        inf      inf      38       76        -  100% attacker_killed   
Black    6  weirdo         evilminnow          57.9s        146.9s      89.0s    2.54x      98      196     2.20  100% castle_destroyed  
Black    7  gorillo        evilminnow          30.5s         NEVER        inf      inf     398      796        -  100% attacker_killed   
Black    8  evilguy        evilminnow          33.4s        >1200s        inf      inf     800     1600        -  100% survived_horizon  
Blue     5  squid          fishy              198.6s         NEVER        inf      inf      46      138        -  100% attacker_killed   
Blue     6  judge          fishy               99.6s         NEVER        inf      inf     208      624        -  100% attacker_killed   
Blue     7  octoboi        fishy               39.5s         NEVER        inf      inf     539     1617        -  100% attacker_killed   
Blue     8  lightningbear  fishy               19.2s        >1200s        inf      inf     800     2400        -  100% survived_horizon  
Green    5  gecko          minisnecko         199.3s         NEVER        inf      inf      99       99        -  100% attacker_killed   
Green    6  geico          minisnecko          98.1s         NEVER        inf      inf     146      146        -  100% attacker_killed   
Green    7  nom            minisnecko          11.1s         14.7s       3.6s    1.33x      10       10     2.78  100% castle_destroyed  
Green    8  trogdor        minisnecko          16.4s        >1200s        inf      inf     800      800        -  100% survived_horizon  
Orange   5  scott          phil               182.6s         NEVER        inf      inf      22       88        -  100% attacker_killed   
