BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7623    34000        0      8      8      340    11737    24596  FOELOST=24286 FOESEEN=24596 OWNSEEN=11737  GAD p1 off=10 def=24 sig=15 | p2 off=14 def=2 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=103 reach=17587 cred=37120 paid=11026 altkill=18148 altcost=11416 altdiff=5  block=237 wiper=103  | watch=1257 wait=1075 critical=632 block=582 wipe=511 free=210
12    Yellow   2           6394        0    56000      6      6      316     6409     6730  FOELOST=6314 FOESEEN=30035 OWNSEEN=6409  GAD p1 off=8 def=9 sig=9 | p2 off=5 def=17 sig=10  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=113 reach=10143 cred=336647 paid=6206 altkill=13109 altcost=8019 altdiff=23  block=203 wiper=113  | watch=2790 critical=1065 wipe=911 wait=305 outmatched=60 block=50
13    Purple   2           9589        0    20709      5      8      215     5086    42052  FOELOST=19530 FOESEEN=42052 OWNSEEN=7411  GAD p1 off=16 def=15 sig=12 | p2 off=15 def=29 sig=12  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=110 reach=8087 cred=87272 paid=4981 altkill=8171 altcost=4966 altdiff=5  wiper=110 block=105  | watch=3446 wait=3145 wipe=707 critical=540 block=170
14    Black    2           7827        0    12000      7      7      589    14223    67421  FOELOST=24044 FOESEEN=67421 OWNSEEN=14223  GAD p1 off=15 def=23 sig=15 | p2 off=9 def=6 sig=12  DEFGAD p1=speed_3 p2=heal  WIPE n=267 reach=22522 cred=1558639 paid=13579 altkill=25838 altcost=14979 altdiff=20  block=322 wiper=267  | critical=1760 wipe=1319 watch=820 wait=569 block=9
15    Purple   1           8242    34000        0      8      8      378    31217    27350  FOELOST=27078 FOESEEN=27350 OWNSEEN=31217  GAD p1 off=23 def=5 sig=11 | p2 off=17 def=26 sig=2  DEFGAD p1=wall_2 p2=speed_3  WIPE n=89 reach=68158 cred=73537 paid=30365 altkill=68226 altcost=30365 altdiff=0  block=285 wiper=92 =1  | watch=1375 wait=1180 block=897 critical=553 wipe=440 free=415 outmatched=30
16    Black    1           8839    24970        0      8      8      649    10011    35621  FOELOST=33594 FOESEEN=35621 OWNSEEN=10011  GAD p1 off=12 def=6 sig=16 | p2 off=19 def=11 sig=15  DEFGAD p1=wall_2 p2=heal_2  WIPE n=91 reach=19491 cred=43241 paid=9459 altkill=19546 altcost=9459 altdiff=0  block=553 wiper=95 =1  | block=1948 watch=1776 critical=861 wipe=455 free=375 wait=65
17    Purple   2           5115        0     2000      7      6      151     1632    13438  FOELOST=4109 FOESEEN=13438 OWNSEEN=1632  GAD p1 off=6 def=6 sig=9 | p2 off=8 def=10 sig=0  DEFGAD p1=heal p2=speed_2  WIPE n=38 reach=1727 cred=140447 paid=1293 altkill=1955 altcost=1434 altdiff=2  block=113 wiper=38  | watch=625 critical=516 wipe=193 outmatched=165 block=144 wait=125
18    Blue     1          10470    23000        0      8      7      117      234    22911  FOELOST=22907 FOESEEN=22911 OWNSEEN=97814  GAD p1 off=30 def=31 sig=14 | p2 off=26 def=10 sig=13  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=117  | watch=6975 critical=456 block=279 wait=155 outmatched=100 free=85
19    Red      2           5215        0    33416      5      7      161     1397    14635  FOELOST=7374 FOESEEN=36964 OWNSEEN=1397  GAD p1 off=8 def=7 sig=7 | p2 off=5 def=17 sig=10  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=83 reach=1767 cred=215813 paid=1085 altkill=1818 altcost=1096 altdiff=1  wiper=83 block=78  | watch=2285 wait=725 critical=638 wipe=419
20    Blue     2           9023        0    70200      7      8      781    35591    42641  FOELOST=34892 FOESEEN=42641 OWNSEEN=35591  GAD p1 off=15 def=5 sig=22 | p2 off=10 def=2 sig=13  DEFGAD p1=wall_2 p2=wall  WIPE n=288 reach=73019 cred=193302 paid=35103 altkill=73887 altcost=35163 altdiff=14  block=488 wiper=292 =1  | critical=2236 wipe=1442 watch=1040 wait=745 block=191
21    Red      2           6160        0     1664      7      7      203    15191     5414  FOELOST=5079 FOESEEN=31349 OWNSEEN=15191  GAD p1 off=16 def=10 sig=9 | p2 off=7 def=17 sig=11  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=69 reach=16650 cred=87532 paid=14923 altkill=17108 altcost=15234 altdiff=3  block=134 wiper=69  | watch=3380 critical=507 wait=470 wipe=347 block=195 outmatched=45
22    Blue     2          10981        0    73500      7      8      880    21576    51970  FOELOST=47390 FOESEEN=51970 OWNSEEN=80236  GAD p1 off=12 def=31 sig=15 | p2 off=19 def=5 sig=17  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=177 reach=45466 cred=183078 paid=20873 altkill=48253 altcost=21400 altdiff=7  block=703 wiper=177  | watch=3235 block=2079 critical=1430 wait=1050 wipe=887
23    Red      1          12409    34000        0      8      7      779     5995    16939  FOELOST=16934 FOESEEN=16939 OWNSEEN=201920  GAD p1 off=22 def=35 sig=18 | p2 off=18 def=18 sig=20  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=173 reach=6748 cred=30438 paid=5389 altkill=7223 altcost=5577 altdiff=22  block=606 wiper=173  | watch=4804 block=2682 wait=1540 wipe=1231 free=400 critical=398
24    Green    1           7669    23295        0      8      8      268     5113    31296  FOELOST=27353 FOESEEN=31296 OWNSEEN=5113  GAD p1 off=15 def=22 sig=15 | p2 off=12 def=24 sig=7  DEFGAD p1=speed_3 p2=speed_3  WIPE n=63 reach=8665 cred=19215 paid=4498 altkill=9286 altcost=4810 altdiff=4  block=205 wiper=63  | watch=1670 wait=900 block=865 free=375 wipe=312 critical=191
25    White    1           8479    13943        0      8      8      454    13879    31300  FOELOST=29010 FOESEEN=31300 OWNSEEN=13879  GAD p1 off=12 def=6 sig=12 | p2 off=24 def=12 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=157 reach=29714 cred=65046 paid=13006 altkill=29909 altcost=13006 altdiff=0  block=292 wiper=161 =1  | wait=1300 block=871 wipe=800 free=740 critical=625 watch=494 outmatched=305
26    Green    2          12145        0    78000      8      8      789    61160    98160  FOELOST=82672 FOESEEN=98160 OWNSEEN=61160  GAD p1 off=18 def=19 sig=19 | p2 off=28 def=35 sig=3  DEFGAD p1=heal_2 p2=speed_3  WIPE n=187 reach=315983 cred=545683 paid=58752 altkill=316834 altcost=58829 altdiff=7  block=602 wiper=187  | watch=2459 critical=1896 block=1267 wipe=945 outmatched=890 free=830 wait=499
27    White    2          10822        0    68016      7      8      672    10851   130471  FOELOST=29910 FOESEEN=130471 OWNSEEN=154836  GAD p1 off=15 def=27 sig=20 | p2 off=12 def=19 sig=19  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=177 reach=13965 cred=95477 paid=10356 altkill=14010 altcost=10341 altdiff=3  block=495 wiper=177  | watch=2560 wait=2505 critical=1807 wipe=1059 block=1011 outmatched=95
28    Green    2           5190        0     1700      5      7       88     1553     4976  FOELOST=6123 FOESEEN=21107 OWNSEEN=1553  GAD p1 off=14 def=9 sig=5 | p2 off=3 def=17 sig=9  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=16 reach=1875 cred=4422 paid=1409 altkill=1875 altcost=1409 altdiff=0  block=72 wiper=16  | watch=2809 wait=740 critical=378 wipe=96 block=10
29    Yellow   2           9224        0    76137      7      8      359    77354    50012  FOELOST=45041 FOESEEN=50012 OWNSEEN=77354  GAD p1 off=14 def=24 sig=12 | p2 off=10 def=2 sig=16  DEFGAD p1=speed_3 p2=wall  WIPE n=135 reach=110134 cred=190724 paid=77130 altkill=110594 altcost=77130 altdiff=0  block=224 wiper=135  | watch=2215 wait=1534 critical=799 wipe=664 outmatched=355 block=326
30    Orange   2           5262        0    12000      5      7      187     2656     4754  FOELOST=6252 FOESEEN=29149 OWNSEEN=2656  GAD p1 off=5 def=4 sig=4 | p2 off=7 def=17 sig=10  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=134 reach=6615 cred=272687 paid=2607 altkill=7221 altcost=2671 altdiff=4  wiper=137 block=49 =1  | watch=2545 wipe=674 wait=640 critical=250 outmatched=5
31    Yellow   1           8029    34000        0      8      8      411     7021    28309  FOELOST=27123 FOESEEN=28309 OWNSEEN=7021  GAD p1 off=23 def=12 sig=10 | p2 off=15 def=2 sig=10  DEFGAD p1=heal_2 p2=wall  WIPE n=110 reach=13830 cred=40116 paid=6419 altkill=14048 altcost=6266 altdiff=3  block=301 wiper=110  | watch=1735 critical=1400 wait=810 wipe=545 block=98 free=80 outmatched=5
32    Orange   2           7552        0    16635      5      7      228     3585    19614  FOELOST=5916 FOESEEN=19614 OWNSEEN=6465  GAD p1 off=8 def=15 sig=8 | p2 off=13 def=2 sig=18  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=92 reach=3947 cred=26254 paid=3177 altkill=4015 altcost=3177 altdiff=2  block=136 wiper=92  | watch=2790 wait=1625 critical=695 outmatched=530 wipe=460
33    Yellow   1           8703    44129        0      8      8      411     4600    90442  FOELOST=90104 FOESEEN=90442 OWNSEEN=4600  GAD p1 off=11 def=23 sig=15 | p2 off=20 def=26 sig=8  DEFGAD p1=speed_3 p2=speed_3  WIPE n=79 reach=13241 cred=20262 paid=4268 altkill=13788 altcost=4448 altdiff=2  block=332 wiper=79  | watch=2482 block=1682 free=603 wipe=396 wait=140 critical=34
34    Orange   1           7909    42079        0      8      8      464    16967    51488  FOELOST=51473 FOESEEN=51488 OWNSEEN=16967  GAD p1 off=16 def=9 sig=15 | p2 off=17 def=12 sig=14  DEFGAD p1=wall_2 p2=heal_2  WIPE n=219 reach=47303 cred=129235 paid=16259 altkill=47388 altcost=16289 altdiff=2  block=237 wiper=226 =1  | watch=1420 wipe=1093 critical=728 wait=575 block=473 free=290
35    Black    1           8270    28500        0      8      8      348    13143    77010  FOELOST=31595 FOESEEN=77010 OWNSEEN=13143  GAD p1 off=11 def=10 sig=9 | p2 off=6 def=26 sig=7  DEFGAD p1=heal_2 p2=speed_3  WIPE n=82 reach=19342 cred=381722 paid=12611 altkill=19876 altcost=12611 altdiff=0  block=266 wiper=82  | watch=1885 wait=910 critical=829 block=614 wipe=406 free=281
36    Purple   2          11314        0     8600      8      8     1147   322857   250881  FOELOST=163118 FOESEEN=250881 OWNSEEN=322857  GAD p1 off=17 def=15 sig=20 | p2 off=7 def=20 sig=20  DEFGAD p1=heal_2 p2=heal_2  WIPE n=267 reach=461275 cred=1685908 paid=319337 altkill=462520 altcost=319217 altdiff=4  block=880 wiper=267  | critical=2922 block=1537 wipe=1362 watch=1109 wait=935 outmatched=70 free=15
37    Black    2           6061        0    12000      5      6      248     1305    11397  FOELOST=5825 FOESEEN=20562 OWNSEEN=3375  GAD p1 off=6 def=14 sig=6 | p2 off=10 def=16 sig=2  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=102 reach=2429 cred=145860 paid=1159 altkill=2500 altcost=1162 altdiff=1  block=146 wiper=102  | watch=2960 critical=806 wipe=563 wait=385 outmatched=130 block=5
38    Purple   2          10749        0    45000      7      8      684    90676   167634  FOELOST=56819 FOESEEN=167634 OWNSEEN=90676  GAD p1 off=29 def=29 sig=15 | p2 off=13 def=4 sig=21  DEFGAD p1=speed_3 p2=wall_2  WIPE n=267 reach=127245 cred=6303079 paid=89842 altkill=130357 altcost=91791 altdiff=6  block=417 wiper=267  | critical=2032 watch=1935 wipe=1326 outmatched=1250 wait=680 block=179
39    Black    2           4458        0     1485      4      6      163     1057     7122  FOELOST=2931 FOESEEN=10452 OWNSEEN=1057  GAD p1 off=5 def=3 sig=4 | p2 off=7 def=14 sig=8  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=99 reach=2352 cred=54646 paid=996 altkill=2388 altcost=1021 altdiff=1  wiper=100 block=62 =1  | watch=2205 wipe=493 critical=363 wait=230 block=20
40    Purple   1           9402    34000        0      8      8      519     9119    48125  FOELOST=47273 FOESEEN=48125 OWNSEEN=9119  GAD p1 off=20 def=12 sig=18 | p2 off=16 def=4 sig=18  DEFGAD p1=heal_2 p2=wall_2  WIPE n=87 reach=14599 cred=50333 paid=8687 altkill=14829 altcost=8687 altdiff=0  block=432 wiper=87  | watch=1766 block=1532 wait=1345 critical=627 wipe=430 free=215 outmatched=150
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8449    55000        0      8      8      377     8845    56073  FOELOST=53391 FOESEEN=56073 OWNSEEN=8845  GAD p1 off=13 def=25 sig=12 | p2 off=20 def=27 sig=10  DEFGAD p1=speed_3 p2=speed_3  WIPE n=81 reach=21159 cred=29827 paid=7957 altkill=21510 altcost=7957 altdiff=0  block=296 wiper=81  | block=1432 watch=1295 wait=1295 free=545 wipe=405 critical=124
43    Blue     1           9499    33417        0      8      8      539    50302    50117  FOELOST=46096 FOESEEN=50117 OWNSEEN=50302  GAD p1 off=13 def=26 sig=16 | p2 off=5 def=15 sig=13  DEFGAD p1=speed_3 p2=heal_2  WIPE n=160 reach=68506 cred=853645 paid=48786 altkill=68786 altcost=48797 altdiff=1  block=379 wiper=160  | watch=1518 block=1065 wait=1020 wipe=891 critical=871 free=740 outmatched=55
44    Red      1           9619    17659        0      8      8      754    15889    43149  FOELOST=36833 FOESEEN=43149 OWNSEEN=15889  GAD p1 off=20 def=5 sig=25 | p2 off=9 def=31 sig=10  DEFGAD p1=wall_2 p2=speed_3  WIPE n=166 reach=38341 cred=56630 paid=15306 altkill=38543 altcost=15350 altdiff=2  block=584 wiper=169 =1  | block=2225 watch=1315 wipe=824 critical=793 free=580 wait=510
45    Blue     2           7500        0    31930      8      7      493     7108    63456  FOELOST=12401 FOESEEN=63456 OWNSEEN=7108  GAD p1 off=10 def=10 sig=8 | p2 off=9 def=5 sig=11  DEFGAD p1=heal_2 p2=heal  WIPE n=222 reach=10803 cred=2790208 paid=6566 altkill=21781 altcost=9483 altdiff=5  block=271 wiper=222  | wipe=1124 critical=1077 wait=973 watch=654 block=348
46    White    2           6395        0     6420      5      6      229     2967    14034  FOELOST=8451 FOESEEN=14034 OWNSEEN=5067  GAD p1 off=10 def=15 sig=4 | p2 off=10 def=20 sig=3  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=70 reach=5552 cred=207779 paid=2808 altkill=5962 altcost=2828 altdiff=1  block=159 wiper=70  | watch=3081 critical=792 wait=510 wipe=360 block=79 outmatched=70
47    Green    2           9390        0     2000      8      8      647    14744    44348  FOELOST=33856 FOESEEN=44348 OWNSEEN=14744  GAD p1 off=18 def=26 sig=15 | p2 off=18 def=3 sig=15  DEFGAD p1=speed_3 p2=wall_2  WIPE n=164 reach=21389 cred=104624 paid=14261 altkill=23846 altcost=14441 altdiff=6  block=483 wiper=164  | block=2592 wait=1085 watch=910 wipe=812 critical=617
48    White    2          12072        0    34000      7      8     1206    98991    51089  FOELOST=178349 FOESEEN=194759 OWNSEEN=98991  GAD p1 off=32 def=11 sig=17 | p2 off=25 def=37 sig=5  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=274 reach=299513 cred=1174986 paid=97149 altkill=301241 altcost=97156 altdiff=1  block=924 wiper=281 =1  | watch=3499 critical=2894 block=1756 wipe=1366 wait=985 outmatched=330
49    Green    1           8989    36197        0      8      8      215    25413    54319  FOELOST=52837 FOESEEN=54319 OWNSEEN=25413  GAD p1 off=15 def=3 sig=13 | p2 off=15 def=3 sig=12  DEFGAD p1=heal p2=wall_2  WIPE n=51 reach=25452 cred=727014 paid=24921 altkill=43332 altcost=26297 altdiff=1  block=164 wiper=51  | outmatched=1715 watch=1689 free=885 critical=832 wait=295 wipe=253 block=4
50    White    2           4708        0     1298      5      6      157     1219    11133  FOELOST=6653 FOESEEN=14868 OWNSEEN=1219  GAD p1 off=5 def=7 sig=6 | p2 off=8 def=15 sig=8  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=72 reach=1917 cred=118532 paid=879 altkill=2163 altcost=929 altdiff=5  block=85 wiper=72  | watch=2335 critical=457 wait=405 wipe=361
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           7775        0    34000      8      8      468    15869    65251  FOELOST=18172 FOESEEN=65251 OWNSEEN=15869  GAD p1 off=8 def=21 sig=6 | p2 off=5 def=3 sig=18  DEFGAD p1=speed_2 p2=heal  WIPE n=192 reach=21209 cred=182634 paid=15317 altkill=21851 altcost=15634 altdiff=7  block=276 wiper=192  | watch=1529 critical=1077 wipe=970 wait=434 block=310 outmatched=110 free=15
53    Orange   2          12203        0    88998      8      8     1318    98616    93067  FOELOST=85728 FOESEEN=93067 OWNSEEN=98616  GAD p1 off=18 def=5 sig=18 | p2 off=18 def=38 sig=17  DEFGAD p1=wall_2 p2=speed_3  WIPE n=345 reach=396179 cred=569609 paid=97648 altkill=396451 altcost=97648 altdiff=0  block=969 wiper=348 =1  | block=4132 wipe=1812 watch=1639 critical=840 wait=405 outmatched=15
54    Yellow   2           6022        0     2000      7      7      326     6031    33792  FOELOST=3773 FOESEEN=33792 OWNSEEN=6031  GAD p1 off=9 def=8 sig=14 | p2 off=7 def=1 sig=8  DEFGAD p1=heal_2 p2=heal  WIPE n=130 reach=7926 cred=457726 paid=5835 altkill=8136 altcost=5859 altdiff=2  block=196 wiper=130  | critical=976 watch=840 wipe=645 wait=230
55    Orange   1           8944    14122        0      8      7      354      998    17120  FOELOST=17120 FOESEEN=17120 OWNSEEN=85742  GAD p1 off=10 def=28 sig=8 | p2 off=15 def=26 sig=9  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=12 reach=931 cred=1817 paid=314 altkill=935 altcost=314 altdiff=0  block=342 wiper=12  | watch=4634 block=1614 wait=825 free=230 critical=128 wipe=59
56    Yellow   1           8719     3485        0      8      8      428     7962    33120  FOELOST=32128 FOESEEN=33120 OWNSEEN=7962  GAD p1 off=12 def=25 sig=12 | p2 off=19 def=1 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=127 reach=12194 cred=47096 paid=7059 altkill=12384 altcost=6825 altdiff=6  block=301 wiper=127  | block=1175 watch=869 outmatched=815 free=815 wait=650 wipe=643 critical=391
57    Purple   2           6925        0    12000      6      7      389     6410    34992  FOELOST=29746 FOESEEN=76182 OWNSEEN=6410  GAD p1 off=13 def=21 sig=11 | p2 off=13 def=21 sig=0  DEFGAD p1=speed_2 p2=reinforcements_3  WIPE n=148 reach=25011 cred=734888 paid=6169 altkill=25289 altcost=5997 altdiff=4  block=241 wiper=148  | watch=2740 critical=1096 wipe=1042 wait=570 block=243 outmatched=5
58    Black    1           7579    19701        0      8      8      374     7024    22238  FOELOST=19105 FOESEEN=22238 OWNSEEN=7024  GAD p1 off=21 def=5 sig=15 | p2 off=5 def=4 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=75 reach=12482 cred=25113 paid=6142 altkill=12482 altcost=6142 altdiff=0  block=297 wiper=76 =1  | watch=1599 block=1105 wait=569 wipe=370 critical=367 free=210 outmatched=5
59    Purple   2           5192        0    20376      5      7      174     2310    17806  FOELOST=5982 FOESEEN=31871 OWNSEEN=2310  GAD p1 off=7 def=6 sig=6 | p2 off=5 def=16 sig=9  DEFGAD p1=heal p2=reinforcements_3  WIPE n=66 reach=4203 cred=79030 paid=1986 altkill=4599 altcost=2071 altdiff=8  block=108 wiper=66  | watch=2209 wait=725 critical=554 wipe=332 outmatched=190 block=34
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           7147        0    10866      8      8      421     3227    10483  FOELOST=7992 FOESEEN=10483 OWNSEEN=3227  GAD p1 off=17 def=23 sig=18 | p2 off=9 def=5 sig=18  DEFGAD p1=speed_3 p2=heal  WIPE n=164 reach=4480 cred=68285 paid=2970 altkill=4480 altcost=2970 altdiff=0  block=257 wiper=164  | watch=1054 block=959 wipe=807 wait=520 critical=363 outmatched=95
62    Black    1           8269    24970        0      8      8      526     6826    24221  FOELOST=21927 FOESEEN=24221 OWNSEEN=6826  GAD p1 off=7 def=4 sig=7 | p2 off=16 def=26 sig=9  DEFGAD p1=wall_2 p2=speed_3  WIPE n=103 reach=13070 cred=18442 paid=5988 altkill=13139 altcost=5988 altdiff=0  block=420 wiper=105 =1  | block=1985 watch=1454 free=555 wipe=519 wait=280 critical=135
63    Red      2           9799        0    61383      8      8      567    18945    24767  FOELOST=23939 FOESEEN=24767 OWNSEEN=18945  GAD p1 off=14 def=10 sig=18 | p2 off=19 def=19 sig=24  DEFGAD p1=heal_2 p2=heal_2  WIPE n=153 reach=31054 cred=114602 paid=18531 altkill=31789 altcost=18877 altdiff=4  block=414 wiper=153  | watch=1705 block=1469 wipe=1058 critical=735 free=675 wait=579 outmatched=245
64    Blue     1           9409    17659        0      8      8      684     9015    50510  FOELOST=44483 FOESEEN=50510 OWNSEEN=9015  GAD p1 off=19 def=15 sig=17 | p2 off=24 def=30 sig=8  DEFGAD p1=heal_2 p2=speed_3  WIPE n=114 reach=18243 cred=30047 paid=8445 altkill=18591 altcost=8469 altdiff=1  block=570 wiper=114  | block=2680 watch=1329 free=910 wipe=564 critical=322 wait=234
65    Red      2           9329        0    38994      7      8      540    23369    67077  FOELOST=25778 FOESEEN=67077 OWNSEEN=96584  GAD p1 off=12 def=26 sig=15 | p2 off=24 def=7 sig=16  DEFGAD p1=reinforcements_3 p2=heal_2  WIPE n=139 reach=33696 cred=307211 paid=22567 altkill=34016 altcost=22610 altdiff=1  block=401 wiper=139  | watch=2645 wait=2414 critical=1998 wipe=696 block=225 outmatched=10
