BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      2           6011        0     2000      8      6      263     1269    18004  FOELOST=2274 FOESEEN=18004 OWNSEEN=1269  GAD p1 off=7 def=17 sig=11 | p2 off=9 def=1 sig=6  DEFGAD p1=speed_2 p2=wall  WIPE n=16 reach=1123 cred=81822 paid=528 altkill=1179 altcost=528 altdiff=0  block=247 wiper=16  | critical=1389 watch=530 wait=320 block=208 outmatched=135 wipe=80
47    Green    1          10129    23145        0      8      8      642     2380    61274  FOELOST=60124 FOESEEN=61274 OWNSEEN=2380  GAD p1 off=23 def=27 sig=19 | p2 off=18 def=3 sig=15  DEFGAD p1=speed_3 p2=wall_2  WIPE n=26 reach=5625 cred=66530 paid=1764 altkill=5640 altcost=1764 altdiff=0  block=616 wiper=26  | block=2176 watch=1600 critical=1288 wait=805 free=730 wipe=130 outmatched=25
48    White    2          13159        0    51327      8      8     1290    28267    65725  FOELOST=218677 FOESEEN=228610 OWNSEEN=28267  GAD p1 off=35 def=16 sig=20 | p2 off=26 def=40 sig=1  DEFGAD p1=wall_3 p2=reinforcements_3  WIPE n=44 reach=62120 cred=251340 paid=25807 altkill=62307 altcost=25865 altdiff=1  block=1241 wiper=48 =1  | critical=4432 watch=3227 block=1812 wait=1140 outmatched=850 free=225 wipe=220
49    Green    1           8179    40500        0      8      8      312     6440    36084  FOELOST=32441 FOESEEN=36084 OWNSEEN=6440  GAD p1 off=11 def=0 sig=11 | p2 off=15 def=4 sig=13  DEFGAD p1=heal p2=wall_2  WIPE n=11 reach=5656 cred=184456 paid=5537 altkill=5656 altcost=5537 altdiff=0  block=301 wiper=11  | watch=1614 critical=1557 outmatched=870 free=475 wait=295 wipe=53
50    White    2           5323        0     1514      5      7      135      694    12398  FOELOST=11110 FOESEEN=36793 OWNSEEN=694  GAD p1 off=6 def=6 sig=8 | p2 off=5 def=17 sig=10  DEFGAD p1=heal p2=reinforcements_3  WIPE n=14 reach=834 cred=12995 paid=210 altkill=834 altcost=210 altdiff=0  block=121 wiper=14  | watch=2375 wait=1090 critical=627 wipe=68 outmatched=15
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           7036        0    18500      8      8      299     1865    14148  FOELOST=7301 FOESEEN=14148 OWNSEEN=1865  GAD p1 off=9 def=17 sig=6 | p2 off=1 def=7 sig=16  DEFGAD p1=speed_2 p2=heal_2  WIPE n=17 reach=2734 cred=10457 paid=1301 altkill=2778 altcost=1301 altdiff=0  block=282 wiper=17  | critical=1301 watch=874 outmatched=495 wait=488 block=457 wipe=85 free=10
53    Orange   1           8719    34000        0      8      8      449     2665    37294  FOELOST=36178 FOESEEN=37294 OWNSEEN=2665  GAD p1 off=12 def=4 sig=18 | p2 off=12 def=27 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=11 reach=3041 cred=6476 paid=2231 altkill=5376 altcost=2276 altdiff=1  block=436 wiper=12 =1  | watch=2018 block=1703 wait=635 critical=517 free=429 wipe=60 outmatched=5
54    Yellow   2           6702        0     2000      8      7      427     1054    45045  FOELOST=7762 FOESEEN=45045 OWNSEEN=1054  GAD p1 off=12 def=5 sig=17 | p2 off=10 def=6 sig=10  DEFGAD p1=heal p2=heal  WIPE n=22 reach=1390 cred=96730 paid=649 altkill=1410 altcost=649 altdiff=0  block=405 wiper=22  | critical=1948 watch=600 wait=430 outmatched=200 wipe=114 block=79
55    Orange   1           8915    24669        0      8      7      324      662    21880  FOELOST=21855 FOESEEN=21880 OWNSEEN=81563  GAD p1 off=12 def=28 sig=5 | p2 off=16 def=26 sig=8  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=3 reach=43 cred=304 paid=20 altkill=43 altcost=20 altdiff=0  block=321 wiper=3  | watch=4710 block=1640 wait=790 free=255 critical=54 wipe=15
56    Yellow   0           8419        0        0      8      8      488     2110    35345  FOELOST=33222 FOESEEN=35345 OWNSEEN=2110  GAD p1 off=12 def=24 sig=12 | p2 off=18 def=1 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=18 reach=3167 cred=6196 paid=700 altkill=3158 altcost=622 altdiff=2  block=470 wiper=18  | critical=1335 block=1068 watch=779 free=620 wait=610 outmatched=560 wipe=90
57    Purple   2           7407        0     1840      6      7      326     4983    20739  FOELOST=27617 FOESEEN=55524 OWNSEEN=4983  GAD p1 off=13 def=23 sig=11 | p2 off=11 def=20 sig=1  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=21 reach=9242 cred=46255 paid=4678 altkill=9157 altcost=4592 altdiff=1  block=305 wiper=21  | watch=2712 outmatched=1125 critical=1005 block=703 wait=530 wipe=105
58    Black    1           7459    21770        0      8      8      219     1200    13931  FOELOST=11716 FOESEEN=13931 OWNSEEN=1200  GAD p1 off=20 def=6 sig=15 | p2 off=3 def=5 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=9 reach=1193 cred=1538 paid=588 altkill=1193 altcost=588 altdiff=0  block=207 wiper=11 =1  | watch=1744 wait=749 block=654 free=530 critical=387 wipe=44 outmatched=5
59    Purple   2           5160        0    31447      5      7      132     1123    16263  FOELOST=6765 FOESEEN=30328 OWNSEEN=1123  GAD p1 off=10 def=4 sig=6 | p2 off=4 def=16 sig=9  DEFGAD p1=heal p2=reinforcements_3  WIPE n=10 reach=1509 cred=14509 paid=757 altkill=1509 altcost=757 altdiff=0  block=122 wiper=10  | watch=2135 wait=990 critical=623 outmatched=210 wipe=55
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           5203        0     2000      7      6      222      538    11581  FOELOST=1883 FOESEEN=11581 OWNSEEN=538  GAD p1 off=11 def=11 sig=11 | p2 off=5 def=3 sig=10  DEFGAD p1=speed_2 p2=heal  WIPE n=13 reach=487 cred=27185 paid=329 altkill=487 altcost=329 altdiff=0  block=209 wiper=13  | critical=949 wait=505 block=191 watch=145 wipe=63 outmatched=15
62    Black    1           7969    36371        0      8      8      363     2488    16298  FOELOST=15244 FOESEEN=16298 OWNSEEN=2488  GAD p1 off=7 def=5 sig=7 | p2 off=16 def=25 sig=10  DEFGAD p1=wall_2 p2=speed_3  WIPE n=21 reach=6119 cred=8193 paid=1814 altkill=6373 altcost=1814 altdiff=0  block=338 wiper=24 =1  | watch=1758 block=1513 wait=725 critical=470 wipe=105 free=58
63    Red      2           7742        0     2000      8      8      427     2247    32349  FOELOST=7855 FOESEEN=32349 OWNSEEN=2247  GAD p1 off=10 def=10 sig=14 | p2 off=14 def=12 sig=20  DEFGAD p1=heal_2 p2=heal_2  WIPE n=24 reach=4967 cred=16536 paid=1844 altkill=5072 altcost=1889 altdiff=1  block=403 wiper=24  | block=1313 watch=1195 critical=978 wait=544 outmatched=240 wipe=121 free=25
64    Blue     1           9649    25829        0      8      8      432     3156    27578  FOELOST=24812 FOESEEN=27578 OWNSEEN=3156  GAD p1 off=21 def=9 sig=18 | p2 off=19 def=27 sig=8  DEFGAD p1=heal_2 p2=speed_3  WIPE n=14 reach=5361 cred=14245 paid=2738 altkill=5388 altcost=2738 altdiff=0  block=418 wiper=14  | watch=2595 block=1852 free=880 critical=505 wait=390 wipe=70
65    Red      1           9146    57866        0      8      8      659     3089    51180  FOELOST=51175 FOESEEN=51180 OWNSEEN=89114  GAD p1 off=11 def=28 sig=10 | p2 off=24 def=6 sig=16  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=13 reach=6206 cred=59786 paid=1797 altkill=6226 altcost=1812 altdiff=1  block=646 wiper=13  | watch=3571 block=2085 critical=1331 wait=535 outmatched=160 wipe=62 free=60
