BOT CHECKSUM -- 160 seeded self-play games, DEFENCE-ONLY settings

game  map      winner     ticks     p1hp     p2hp  p1inv  p2inv  p1units      p1$      p2$
0     Red      1           7789    32669        0      8      8      343     8254    26074  FOELOST=23032 FOESEEN=26074 OWNSEEN=8254  GAD p1 off=11 def=23 sig=15 | p2 off=13 def=1 sig=9  DEFGAD p1=speed_3 p2=wall  WIPE n=58 reach=10568 cred=26957 paid=7399 altkill=10574 altcost=7399 altdiff=0  block=285 wiper=58  | wait=1235 watch=1140 block=979 critical=493 free=300 wipe=287
34    Orange   1           7639    29027        0      8      8      441     4802    23037  FOELOST=22947 FOESEEN=23037 OWNSEEN=4802  GAD p1 off=13 def=8 sig=15 | p2 off=16 def=9 sig=13  DEFGAD p1=wall_2 p2=heal_2  WIPE n=103 reach=4811 cred=28770 paid=3812 altkill=10045 altcost=7880 altdiff=34  block=333 wiper=107 =1  | critical=1374 watch=1238 wait=680 wipe=519 block=284 free=215
35    Black    2           7375        0    28251      8      8      311    11339    51003  FOELOST=15825 FOESEEN=51003 OWNSEEN=11339  GAD p1 off=11 def=8 sig=8 | p2 off=6 def=23 sig=6  DEFGAD p1=heal_2 p2=speed_3  WIPE n=56 reach=15261 cred=32130 paid=10829 altkill=15312 altcost=10562 altdiff=3  block=255 wiper=56  | watch=1270 block=915 wait=745 wipe=607 critical=493
36    Purple   2          10249        0    40424      8      8      722   115801   121870  FOELOST=120549 FOESEEN=121870 OWNSEEN=115801  GAD p1 off=15 def=12 sig=18 | p2 off=6 def=20 sig=17  DEFGAD p1=heal_2 p2=heal_2  WIPE n=157 reach=250423 cred=538015 paid=113541 altkill=252484 altcost=113127 altdiff=14  block=565 wiper=157  | critical=1464 block=1418 watch=1408 wait=975 wipe=794 outmatched=500 free=330
37    Black    2           6185        0    12000      5      6      287     1699    10187  FOELOST=6003 FOESEEN=19352 OWNSEEN=3769  GAD p1 off=6 def=14 sig=6 | p2 off=10 def=16 sig=2  DEFGAD p1=reinforcements_2 p2=reinforcements_3  WIPE n=95 reach=2973 cred=167547 paid=1507 altkill=3299 altcost=1663 altdiff=5  block=192 wiper=95  | watch=2960 critical=1009 wipe=529 wait=405 outmatched=55 block=15
38    Purple   1          10290    41007        0      8      8      543    40260    69381  FOELOST=67951 FOESEEN=69381 OWNSEEN=40260  GAD p1 off=29 def=28 sig=14 | p2 off=13 def=5 sig=17  DEFGAD p1=speed_3 p2=wall_2  WIPE n=127 reach=70590 cred=182187 paid=39428 altkill=80246 altcost=46591 altdiff=13  block=416 wiper=127  | watch=2455 critical=2003 outmatched=1330 wipe=627 wait=325 free=135 block=73
39    Black    2           4220        0     1485      4      6      193      872     6049  FOELOST=2337 FOESEEN=8974 OWNSEEN=872  GAD p1 off=5 def=3 sig=4 | p2 off=6 def=13 sig=7  DEFGAD p1=wall_2 p2=reinforcements_2  WIPE n=118 reach=1917 cred=94741 paid=800 altkill=3861 altcost=1070 altdiff=6  wiper=119 block=73 =1  | watch=1880 wipe=593 critical=355 wait=175 outmatched=50 block=20
40    Purple   1           9510    19193        0      8      8      394     8267    95981  FOELOST=91818 FOESEEN=95981 OWNSEEN=8267  GAD p1 off=21 def=11 sig=18 | p2 off=17 def=4 sig=18  DEFGAD p1=heal_2 p2=wall_2  WIPE n=63 reach=15055 cred=99001 paid=7936 altkill=17895 altcost=9286 altdiff=15  block=331 wiper=63  | watch=2099 wait=1305 block=889 critical=873 free=460 wipe=318 outmatched=240
41    Blue     1           5445     2000        0      7      4        2        6      644  FOELOST=1181 FOESEEN=1184 OWNSEEN=24401  GAD p1 off=14 def=17 sig=10 | p2 off=10 def=8 sig=5  DEFGAD p1=reinforcements_3 p2=reinforcements_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0  block=2  | watch=4210 wait=20 critical=5 block=5
42    Red      1           8419    36025        0      8      8      291     4260    31472  FOELOST=28616 FOESEEN=31472 OWNSEEN=4260  GAD p1 off=14 def=23 sig=12 | p2 off=19 def=27 sig=9  DEFGAD p1=speed_3 p2=speed_3  WIPE n=45 reach=9315 cred=14599 paid=3522 altkill=9315 altcost=3522 altdiff=0  block=246 wiper=45  | watch=1355 wait=1330 block=1082 free=910 wipe=223 critical=169
43    Blue     2           6749        0    11600      8      7      312     1945    31597  FOELOST=5172 FOESEEN=31597 OWNSEEN=1945  GAD p1 off=9 def=18 sig=10 | p2 off=5 def=10 sig=10  DEFGAD p1=speed_2 p2=heal_2  WIPE n=69 reach=1475 cred=116305 paid=973 altkill=1545 altcost=995 altdiff=2  block=243 wiper=69  | critical=1245 watch=983 wait=730 wipe=429 outmatched=20 block=10
44    Red      2           8989        0    65685      8      8      628     5619    31260  FOELOST=27869 FOESEEN=31260 OWNSEEN=5619  GAD p1 off=18 def=6 sig=21 | p2 off=8 def=29 sig=9  DEFGAD p1=wall_2 p2=speed_3  WIPE n=37 reach=8488 cred=22083 paid=5034 altkill=8566 altcost=5043 altdiff=3  block=588 wiper=39 =1  | block=2104 watch=1265 critical=832 free=670 wait=555 wipe=180 outmatched=15
45    Blue     2           7680        0    31407      8      7      392    10286    57605  FOELOST=19115 FOESEEN=57605 OWNSEEN=10286  GAD p1 off=13 def=8 sig=9 | p2 off=9 def=4 sig=11  DEFGAD p1=heal_2 p2=heal  WIPE n=163 reach=24050 cred=1461930 paid=9828 altkill=24125 altcost=9839 altdiff=1  block=229 wiper=163  | watch=1064 wait=849 critical=831 wipe=822 block=646 outmatched=130 free=15
46    White    1          12821    56000        0      8      8      889     1314    81501  FOELOST=81229 FOESEEN=81501 OWNSEEN=74114  GAD p1 off=22 def=35 sig=20 | p2 off=21 def=38 sig=16  DEFGAD p1=reinforcements_3 p2=speed_3  WIPE n=14 reach=752 cred=2182 paid=439 altkill=786 altcost=464 altdiff=1  block=875 wiper=14  | watch=4753 block=4207 wait=1335 free=485 critical=435 wipe=72
47    Green    2           8821        0     2000      8      8      587     6326    40962  FOELOST=30274 FOESEEN=40962 OWNSEEN=6326  GAD p1 off=18 def=26 sig=16 | p2 off=15 def=4 sig=13  DEFGAD p1=speed_3 p2=wall_2  WIPE n=104 reach=12847 cred=85108 paid=5843 altkill=12941 altcost=5891 altdiff=2  block=483 wiper=104  | block=2380 watch=1460 wait=825 wipe=519 critical=253 free=10
48    White    1           8682    56000        0      8      8      584     9951    14415  FOELOST=85805 FOESEEN=87630 OWNSEEN=9951  GAD p1 off=24 def=9 sig=14 | p2 off=16 def=26 sig=1  DEFGAD p1=wall_2 p2=reinforcements_3  WIPE n=166 reach=23942 cred=957580 paid=9133 altkill=102021 altcost=34439 altdiff=48  block=412 wiper=171 =1  | watch=3606 critical=1305 block=860 wipe=853 wait=620 free=160 outmatched=50
49    Green    1           8454    75000        0      8      8      425    21915    31650  FOELOST=31226 FOESEEN=31650 OWNSEEN=21915  GAD p1 off=12 def=1 sig=12 | p2 off=17 def=3 sig=14  DEFGAD p1=heal p2=wall_2  WIPE n=276 reach=136472 cred=4857796 paid=21468 altkill=139300 altcost=24220 altdiff=2  wiper=276 block=149  | watch=1474 wipe=1385 critical=762 outmatched=710 free=509 wait=295
50    White    2           5178        0     1298      5      7      203     1549     4425  FOELOST=7341 FOESEEN=18490 OWNSEEN=1549  GAD p1 off=6 def=7 sig=7 | p2 off=9 def=16 sig=10  DEFGAD p1=heal_2 p2=reinforcements_3  WIPE n=74 reach=3204 cred=140011 paid=1033 altkill=3384 altcost=1044 altdiff=1  block=129 wiper=74  | watch=2390 critical=651 wait=620 wipe=368
51    Green    1           5273    21500        0      7      5        0        0      387  FOELOST=381 FOESEEN=387 OWNSEEN=24395  GAD p1 off=15 def=17 sig=10 | p2 off=7 def=4 sig=6  DEFGAD p1=reinforcements_3 p2=wall_2  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=3908
52    Yellow   2           8113        0    13600      8      8      516    22196   115874  FOELOST=28868 FOESEEN=115874 OWNSEEN=22196  GAD p1 off=11 def=23 sig=8 | p2 off=6 def=5 sig=20  DEFGAD p1=speed_3 p2=heal  WIPE n=128 reach=28400 cred=318224 paid=21420 altkill=29193 altcost=21854 altdiff=7  block=388 wiper=128  | critical=1192 block=1040 watch=999 wipe=663 wait=630 outmatched=235 free=15
53    Orange   2           8989        0    50574      8      8      429     1910    28393  FOELOST=25339 FOESEEN=28393 OWNSEEN=1910  GAD p1 off=13 def=5 sig=18 | p2 off=12 def=28 sig=12  DEFGAD p1=wall_2 p2=speed_3  WIPE n=34 reach=6128 cred=22702 paid=1520 altkill=15061 altcost=3206 altdiff=23  block=392 wiper=36 =1  | watch=1923 block=1126 critical=940 free=820 wait=665 wipe=168
54    Yellow   2           6690        0    12000      8      7      470     5081    46654  FOELOST=6958 FOESEEN=46654 OWNSEEN=5081  GAD p1 off=11 def=9 sig=16 | p2 off=10 def=0 sig=10  DEFGAD p1=heal_2 p2=heal  WIPE n=208 reach=8591 cred=1223354 paid=4819 altkill=8811 altcost=4978 altdiff=6  block=262 wiper=208  | critical=1226 wipe=1035 watch=730 wait=240 block=119
55    Orange   1           6579    18365        0      7      6       24      142     4628  FOELOST=4601 FOESEEN=4628 OWNSEEN=34927  GAD p1 off=7 def=20 sig=5 | p2 off=13 def=20 sig=5  DEFGAD p1=reinforcements_3 p2=speed_2  WIPE n=14 reach=305 cred=1480 paid=122 altkill=317 altcost=122 altdiff=0  wiper=14 block=10  | watch=4154 wait=855 wipe=68 critical=54
56    Yellow   1           8479     9086        0      8      8      404     6501    33705  FOELOST=30468 FOESEEN=33705 OWNSEEN=6501  GAD p1 off=12 def=23 sig=12 | p2 off=18 def=1 sig=13  DEFGAD p1=speed_3 p2=wall  WIPE n=68 reach=7805 cred=27055 paid=5493 altkill=7921 altcost=5322 altdiff=4  block=336 wiper=68  | block=1007 outmatched=890 watch=859 wait=715 critical=703 free=600 wipe=347
57    Purple   2           7167        0     1910      6      7      431     4155    38948  FOELOST=28287 FOESEEN=86543 OWNSEEN=4155  GAD p1 off=13 def=23 sig=11 | p2 off=15 def=22 sig=0  DEFGAD p1=speed_3 p2=reinforcements_3  WIPE n=110 reach=9996 cred=526655 paid=3834 altkill=10297 altcost=3964 altdiff=7  block=321 wiper=110  | watch=2710 critical=1438 wipe=853 wait=690 block=189 outmatched=55
58    Black    1           7544    23587        0      8      8      228     3722    14054  FOELOST=13654 FOESEEN=14054 OWNSEEN=3722  GAD p1 off=20 def=7 sig=15 | p2 off=5 def=5 sig=12  DEFGAD p1=wall_2 p2=wall_2  WIPE n=62 reach=5679 cred=132320 paid=3245 altkill=7429 altcost=4007 altdiff=13  block=164 wiper=63 =1  | watch=1424 wait=824 block=647 free=505 critical=454 wipe=326 outmatched=15
59    Purple   2           5077        0    19223      5      7      136     1761     8850  FOELOST=4965 FOESEEN=22915 OWNSEEN=1761  GAD p1 off=8 def=4 sig=6 | p2 off=3 def=16 sig=9  DEFGAD p1=heal p2=reinforcements_3  WIPE n=37 reach=3138 cred=61350 paid=1464 altkill=3057 altcost=1332 altdiff=3  block=99 wiper=37  | watch=2305 wait=730 critical=498 outmatched=210 wipe=187
60    Black    1           7755     2000        0      7      5        0        0     1470  FOELOST=1466 FOESEEN=1470 OWNSEEN=59800  GAD p1 off=14 def=22 sig=12 | p2 off=14 def=10 sig=5  DEFGAD p1=reinforcements_3 p2=wall_3  WIPE n=0 reach=0 cred=0 paid=0 altkill=0 altcost=0 altdiff=0    | watch=4724
61    Purple   2           7469        0    12000      8      8      418     9716    19371  FOELOST=13987 FOESEEN=19371 OWNSEEN=9716  GAD p1 off=19 def=20 sig=17 | p2 off=9 def=3 sig=17  DEFGAD p1=speed_2 p2=heal  WIPE n=115 reach=11294 cred=68919 paid=9413 altkill=11548 altcost=9464 altdiff=6  block=303 wiper=115  | watch=1270 critical=757 block=755 wait=665 wipe=580 outmatched=100
62    Black    1           8029    19701        0      8      8      298     2521    24144  FOELOST=22222 FOESEEN=24144 OWNSEEN=2521  GAD p1 off=7 def=5 sig=8 | p2 off=16 def=25 sig=9  DEFGAD p1=wall_2 p2=speed_3  WIPE n=27 reach=4279 cred=7153 paid=1989 altkill=5375 altcost=2237 altdiff=4  block=268 wiper=29 =1  | watch=2018 block=1023 wait=885 critical=345 free=285 wipe=135
63    Red      2           9328        0    11587      8      8      708    12335    30308  FOELOST=19544 FOESEEN=30308 OWNSEEN=12335  GAD p1 off=13 def=12 sig=19 | p2 off=19 def=16 sig=25  DEFGAD p1=heal_2 p2=heal_2  WIPE n=179 reach=18528 cred=245865 paid=11806 altkill=27687 altcost=16123 altdiff=53  block=529 wiper=179  | block=1691 wipe=1175 critical=1160 watch=1075 wait=584 outmatched=215 free=90
64    Blue     2           8906        0     2000      8      8      690    67444   150689  FOELOST=37473 FOESEEN=150689 OWNSEEN=67444  GAD p1 off=18 def=12 sig=16 | p2 off=21 def=28 sig=8  DEFGAD p1=heal_2 p2=speed_3  WIPE n=55 reach=77197 cred=152165 paid=66809 altkill=77253 altcost=66743 altdiff=1  block=635 wiper=55  | block=2833 watch=1284 critical=514 wait=493 wipe=274 free=140
65    Red      2           9059        0    28213      8      8      605    17322    96025  FOELOST=18519 FOESEEN=96025 OWNSEEN=96942  GAD p1 off=12 def=27 sig=12 | p2 off=23 def=5 sig=16  DEFGAD p1=reinforcements_3 p2=heal  WIPE n=146 reach=34191 cred=610049 paid=16404 altkill=35159 altcost=16793 altdiff=18  block=459 wiper=146  | watch=3300 block=1797 wait=1080 critical=782 wipe=734 outmatched=20
