candidate,safetyMargin,safetyBuffer,enemyIsCloseDist,repairThreshold,avgScore,Tier1Spam,Tier2Spam,Tier3Spam,Tier4Spam,Tier5Spam,Tier6Spam,Tier7Spam,Tier8Spam,castle_defense_p1_v4,castle_defense_p1_v7,castle_defense_p1_v23,castle_defense_p1_v14,castle_defense_p1_v21
cand32,1.470,0.866,1029.0,0.652,79.62,83.3,96.7,88.3,55.0,76.7,100.0,100.0,100.0,40.0,57.5,70.0,82.5,85.0
cand33,2.176,0.504,629.0,0.567,79.94,91.7,100.0,76.7,48.3,85.0,100.0,100.0,100.0,45.0,65.0,62.5,90.0,75.0
cand34,1.822,1.740,873.3,0.761,78.59,90.0,98.3,83.3,55.0,86.7,98.3,100.0,100.0,42.5,52.5,57.5,80.0,77.5
cand35,1.998,1.430,983.0,0.757,80.38,90.0,96.7,80.0,56.7,81.7,100.0,100.0,100.0,55.0,60.0,60.0,77.5,87.5
cand36,1.476,0.863,499.8,0.892,83.40,80.0,100.0,95.0,58.3,93.3,100.0,100.0,100.0,52.5,67.5,72.5,87.5,77.5
cand37,1.528,2.341,947.1,0.762,82.50,86.7,100.0,85.0,58.3,90.0,100.0,100.0,100.0,65.0,55.0,57.5,97.5,77.5
cand38,1.419,3.065,701.1,0.600,81.28,90.0,98.3,91.7,53.3,83.3,100.0,100.0,100.0,37.5,65.0,57.5,92.5,87.5
cand39,1.803,1.722,578.9,0.820,81.15,86.7,100.0,85.0,63.3,80.0,100.0,100.0,100.0,55.0,55.0,62.5,85.0,82.5
cand40,2.098,0.732,1017.4,0.869,78.78,76.7,98.3,73.3,50.0,93.3,100.0,100.0,100.0,47.5,65.0,55.0,82.5,82.5
cand41,2.109,1.022,696.8,0.556,77.82,81.7,100.0,81.7,41.7,86.7,100.0,100.0,100.0,40.0,47.5,65.0,95.0,72.5
cand42,1.631,2.573,485.5,0.559,81.41,90.0,96.7,75.0,55.0,78.3,98.3,100.0,100.0,65.0,60.0,72.5,77.5,90.0
cand43,1.098,1.586,856.3,0.675,79.87,78.3,96.7,80.0,45.0,88.3,100.0,100.0,100.0,55.0,52.5,62.5,90.0,90.0
cand44,1.370,0.570,683.5,0.658,81.79,81.7,100.0,88.3,55.0,88.3,100.0,100.0,100.0,62.5,60.0,57.5,90.0,80.0
cand45,1.508,2.292,882.2,0.711,79.29,81.7,98.3,95.0,68.3,81.7,98.3,100.0,100.0,40.0,52.5,52.5,80.0,82.5
cand46,1.963,0.887,830.4,0.840,78.46,86.7,98.3,83.3,58.3,78.3,100.0,100.0,100.0,47.5,40.0,50.0,87.5,90.0
cand47,2.059,1.571,705.7,0.595,81.09,83.3,98.3,76.7,48.3,90.0,100.0,100.0,100.0,57.5,65.0,62.5,87.5,85.0
cand48,1.345,1.082,758.5,0.631,77.88,86.7,100.0,78.3,48.3,81.7,100.0,100.0,100.0,40.0,47.5,72.5,85.0,72.5
cand49,1.580,2.499,784.5,0.628,80.38,85.0,95.0,75.0,50.0,85.0,100.0,100.0,100.0,57.5,62.5,70.0,92.5,72.5
cand50,1.530,2.505,1036.7,0.763,80.58,86.7,100.0,86.7,53.3,83.3,100.0,100.0,100.0,50.0,52.5,70.0,82.5,82.5
cand51,2.061,0.561,883.6,0.769,78.97,95.0,100.0,86.7,46.7,83.3,100.0,100.0,100.0,47.5,47.5,65.0,82.5,72.5
cand52,2.007,3.222,564.6,0.857,77.05,88.3,100.0,81.7,48.3,73.3,100.0,100.0,100.0,42.5,57.5,50.0,75.0,85.0
cand53,1.550,3.914,482.0,0.820,79.68,81.7,100.0,85.0,61.7,80.0,100.0,100.0,100.0,47.5,52.5,62.5,80.0,85.0
cand54,2.147,3.418,476.5,0.629,81.54,85.0,98.3,78.3,50.0,78.3,100.0,100.0,100.0,52.5,72.5,65.0,95.0,85.0
cand55,1.475,1.303,639.3,0.827,82.37,83.3,98.3,86.7,73.3,86.7,100.0,100.0,100.0,52.5,62.5,65.0,82.5,80.0
cand56,1.147,3.064,574.7,0.604,78.65,80.0,100.0,75.0,56.7,88.3,100.0,100.0,100.0,57.5,50.0,55.0,82.5,77.5
cand57,1.995,2.880,1010.9,0.784,82.63,91.7,100.0,78.3,58.3,78.3,100.0,100.0,100.0,67.5,67.5,65.0,90.0,77.5
cand58,1.751,4.261,892.6,0.696,80.26,90.0,100.0,81.7,56.7,80.0,100.0,100.0,100.0,47.5,62.5,65.0,87.5,72.5
cand59,1.426,1.245,523.7,0.616,81.22,81.7,98.3,86.7,46.7,85.0,100.0,100.0,100.0,62.5,62.5,65.0,95.0,72.5
cand60,1.741,1.111,903.8,0.627,80.45,91.7,98.3,80.0,56.7,81.7,100.0,100.0,100.0,45.0,80.0,60.0,72.5,80.0
