p1_team,p1_off,p1_def,p2_team,p2_off,p2_def,map,shadow,winner_side,decided,ticks,seconds
Black,nuke,reinforcements,Black,nuke,heal,Purple,0,1,decisive,7593,253.1
Black,nuke,reinforcements,Black,nuke,reinforcements,White,0,2,decisive,9943,331.4
Black,nuke,reinforcements,Black,nuke,speed,Black,0,1,decisive,5528,184.3
Black,nuke,reinforcements,Black,nuke,wall,Purple,0,2,decisive,9338,311.3
Black,nuke,reinforcements,Black,firebomb,heal,Black,0,1,decisive,9766,325.5
Black,nuke,reinforcements,Black,firebomb,reinforcements,Yellow,0,2,decisive,9996,333.2
Black,nuke,reinforcements,Black,firebomb,speed,White,0,1,decisive,6942,231.4
Black,nuke,reinforcements,Black,firebomb,wall,Black,0,2,decisive,9012,300.4
Black,nuke,reinforcements,Black,snipe,heal,Orange,0,1,decisive,6662,222.1
Black,nuke,reinforcements,Black,snipe,reinforcements,Purple,0,2,decisive,9397,313.2
Black,nuke,reinforcements,Black,snipe,speed,White,0,1,decisive,7103,236.8
Black,nuke,reinforcements,Black,snipe,wall,Yellow,0,1,decisive,9266,308.9
Black,nuke,reinforcements,Black,freeze,heal,Blue,0,1,decisive,7600,253.3
Black,nuke,reinforcements,Black,freeze,reinforcements,Green,0,1,decisive,10547,351.6
Black,nuke,reinforcements,Black,freeze,speed,White,0,2,decisive,11610,387.0
Black,nuke,reinforcements,Black,freeze,wall,Green,0,2,decisive,9329,311.0
Black,nuke,reinforcements,Blue,nuke,heal,White,0,1,decisive,4763,158.8
Black,nuke,reinforcements,Blue,nuke,reinforcements,Orange,0,2,decisive,8761,292.0
Black,nuke,reinforcements,Blue,nuke,speed,Green,0,1,decisive,4530,151.0
Black,nuke,reinforcements,Blue,nuke,wall,Yellow,0,1,decisive,7059,235.3
Black,nuke,reinforcements,Blue,firebomb,heal,Green,0,1,decisive,5097,169.9
Black,nuke,reinforcements,Blue,firebomb,reinforcements,Blue,0,2,decisive,9941,331.4
Black,nuke,reinforcements,Blue,firebomb,speed,Green,0,1,decisive,4642,154.7
Black,nuke,reinforcements,Blue,firebomb,wall,Purple,0,2,decisive,9709,323.6
Black,nuke,reinforcements,Blue,snipe,heal,Black,0,1,decisive,5173,172.4
Black,nuke,reinforcements,Blue,snipe,reinforcements,White,1,1,decisive,6736,224.5
Black,nuke,reinforcements,Blue,snipe,speed,Orange,0,1,decisive,4427,147.6
Black,nuke,reinforcements,Blue,snipe,wall,Orange,0,1,decisive,6562,218.7
Black,nuke,reinforcements,Blue,freeze,heal,Red,0,1,decisive,7679,256.0
Black,nuke,reinforcements,Blue,freeze,reinforcements,Black,0,1,decisive,11286,376.2
Black,nuke,reinforcements,Blue,freeze,speed,Blue,0,1,decisive,5274,175.8
Black,nuke,reinforcements,Blue,freeze,wall,Red,0,1,decisive,9284,309.5
Black,nuke,reinforcements,Green,nuke,heal,Purple,0,1,decisive,4933,164.4
Black,nuke,reinforcements,Green,nuke,reinforcements,Black,0,1,decisive,11565,385.5
Black,nuke,reinforcements,Green,nuke,speed,Orange,0,1,decisive,4003,133.4
Black,nuke,reinforcements,Green,nuke,wall,Purple,0,1,decisive,8860,295.3
Black,nuke,reinforcements,Green,firebomb,heal,Black,0,1,decisive,5740,191.3
Black,nuke,reinforcements,Green,firebomb,reinforcements,Green,0,1,decisive,12259,408.6
Black,nuke,reinforcements,Green,firebomb,speed,Red,0,1,decisive,6964,232.1
Black,nuke,reinforcements,Green,firebomb,wall,Orange,0,1,decisive,6929,231.0
Black,nuke,reinforcements,Green,snipe,heal,Blue,0,1,decisive,5119,170.6
Black,nuke,reinforcements,Green,snipe,reinforcements,Red,0,1,decisive,7215,240.5
Black,nuke,reinforcements,Green,snipe,speed,Purple,0,1,decisive,4354,145.1
Black,nuke,reinforcements,Green,snipe,wall,Orange,0,1,decisive,5562,185.4
Black,nuke,reinforcements,Green,freeze,heal,Purple,0,1,decisive,8580,286.0
Black,nuke,reinforcements,Green,freeze,reinforcements,Orange,0,1,decisive,13309,443.6
Black,nuke,reinforcements,Green,freeze,speed,Purple,0,1,decisive,5485,182.8
Black,nuke,reinforcements,Green,freeze,wall,White,0,1,decisive,12102,403.4
Black,nuke,reinforcements,Orange,nuke,heal,White,0,1,decisive,5303,176.8
Black,nuke,reinforcements,Orange,nuke,reinforcements,Green,0,2,decisive,9281,309.4
Black,nuke,reinforcements,Orange,nuke,speed,Green,0,1,decisive,5185,172.8
Black,nuke,reinforcements,Orange,nuke,wall,Orange,0,1,decisive,9491,316.4
Black,nuke,reinforcements,Orange,firebomb,heal,Green,0,1,decisive,7403,246.8
Black,nuke,reinforcements,Orange,firebomb,reinforcements,Red,0,2,decisive,11193,373.1
Black,nuke,reinforcements,Orange,firebomb,speed,Purple,0,1,decisive,6878,229.3
Black,nuke,reinforcements,Orange,firebomb,wall,Blue,0,1,decisive,10113,337.1
Black,nuke,reinforcements,Orange,snipe,heal,Blue,0,1,decisive,5237,174.6
Black,nuke,reinforcements,Orange,snipe,reinforcements,Black,0,2,decisive,8527,284.2
Black,nuke,reinforcements,Orange,snipe,speed,Purple,0,1,decisive,4956,165.2
Black,nuke,reinforcements,Orange,snipe,wall,Purple,0,1,decisive,8039,268.0
Black,nuke,reinforcements,Orange,freeze,heal,Purple,0,1,decisive,5735,191.2
Black,nuke,reinforcements,Orange,freeze,reinforcements,Black,0,1,decisive,11665,388.8
Black,nuke,reinforcements,Orange,freeze,speed,Green,0,1,decisive,5937,197.9
Black,nuke,reinforcements,Orange,freeze,wall,Black,0,1,decisive,9666,322.2
Black,nuke,reinforcements,Purple,nuke,heal,Yellow,0,1,decisive,13362,445.4
Black,nuke,reinforcements,Purple,nuke,reinforcements,Blue,0,2,decisive,11361,378.7
Black,nuke,reinforcements,Purple,nuke,speed,Black,0,1,decisive,7472,249.1
Black,nuke,reinforcements,Purple,nuke,wall,Green,0,1,decisive,9239,308.0
Black,nuke,reinforcements,Purple,firebomb,heal,Purple,0,2,decisive,12505,416.8
Black,nuke,reinforcements,Purple,firebomb,reinforcements,Yellow,0,1,decisive,9917,330.6
Black,nuke,reinforcements,Purple,firebomb,speed,Purple,0,1,decisive,8865,295.5
Black,nuke,reinforcements,Purple,firebomb,wall,Orange,0,1,decisive,9597,319.9
Black,nuke,reinforcements,Purple,snipe,heal,Red,0,1,decisive,6968,232.3
Black,nuke,reinforcements,Purple,snipe,reinforcements,Black,0,2,decisive,9452,315.1
Black,nuke,reinforcements,Purple,snipe,speed,Orange,0,1,decisive,5043,168.1
Black,nuke,reinforcements,Purple,snipe,wall,Purple,0,1,decisive,9621,320.7
Black,nuke,reinforcements,Purple,freeze,heal,Blue,0,1,decisive,10743,358.1
Black,nuke,reinforcements,Purple,freeze,reinforcements,White,0,1,decisive,11234,374.5
Black,nuke,reinforcements,Purple,freeze,speed,Purple,0,1,decisive,6216,207.2
Black,nuke,reinforcements,Purple,freeze,wall,Yellow,1,1,decisive,11478,382.6
Black,nuke,reinforcements,Red,nuke,heal,Blue,0,1,decisive,6547,218.2
Black,nuke,reinforcements,Red,nuke,reinforcements,Blue,0,1,decisive,5309,177.0
Black,nuke,reinforcements,Red,nuke,speed,Purple,0,1,decisive,4159,138.6
Black,nuke,reinforcements,Red,nuke,wall,Green,0,1,decisive,7506,250.2
Black,nuke,reinforcements,Red,firebomb,heal,Orange,0,1,decisive,7630,254.3
Black,nuke,reinforcements,Red,firebomb,reinforcements,White,0,1,decisive,6016,200.5
Black,nuke,reinforcements,Red,firebomb,speed,White,0,1,decisive,4986,166.2
Black,nuke,reinforcements,Red,firebomb,wall,White,0,1,decisive,7923,264.1
Black,nuke,reinforcements,Red,snipe,heal,Green,0,1,decisive,4987,166.2
Black,nuke,reinforcements,Red,snipe,reinforcements,Purple,0,1,decisive,6035,201.2
Black,nuke,reinforcements,Red,snipe,speed,Orange,0,1,decisive,3925,130.8
Black,nuke,reinforcements,Red,snipe,wall,White,0,1,decisive,6637,221.2
Black,nuke,reinforcements,Red,freeze,heal,Yellow,0,1,decisive,5655,188.5
Black,nuke,reinforcements,Red,freeze,reinforcements,Blue,0,1,decisive,6107,203.6
Black,nuke,reinforcements,Red,freeze,speed,Green,0,1,decisive,5026,167.5
Black,nuke,reinforcements,Red,freeze,wall,Blue,0,1,decisive,8148,271.6
Black,nuke,reinforcements,White,nuke,heal,Orange,0,1,decisive,4922,164.1
Black,nuke,reinforcements,White,nuke,reinforcements,Red,0,1,decisive,7757,258.6
Black,nuke,reinforcements,White,nuke,speed,Yellow,0,1,decisive,4877,162.6
Black,nuke,reinforcements,White,nuke,wall,Blue,0,2,decisive,8722,290.7
Black,nuke,reinforcements,White,firebomb,heal,Orange,0,1,decisive,5066,168.9
Black,nuke,reinforcements,White,firebomb,reinforcements,Yellow,0,1,decisive,7612,253.7
Black,nuke,reinforcements,White,firebomb,speed,Purple,0,1,decisive,4943,164.8
Black,nuke,reinforcements,White,firebomb,wall,Green,1,1,decisive,7385,246.2
Black,nuke,reinforcements,White,snipe,heal,Green,0,1,decisive,4763,158.8
Black,nuke,reinforcements,White,snipe,reinforcements,Purple,0,1,decisive,8273,275.8
Black,nuke,reinforcements,White,snipe,speed,Orange,0,1,decisive,5099,170.0
Black,nuke,reinforcements,White,snipe,wall,Black,0,1,decisive,6831,227.7
Black,nuke,reinforcements,White,freeze,heal,Purple,0,1,decisive,5568,185.6
Black,nuke,reinforcements,White,freeze,reinforcements,Purple,0,2,decisive,5861,195.4
Black,nuke,reinforcements,White,freeze,speed,Green,0,1,decisive,6034,201.1
Black,nuke,reinforcements,White,freeze,wall,Blue,0,1,decisive,9181,306.0
Black,nuke,reinforcements,Yellow,nuke,heal,Orange,1,1,decisive,4910,163.7
Black,nuke,reinforcements,Yellow,nuke,reinforcements,Purple,0,1,decisive,10342,344.7
Black,nuke,reinforcements,Yellow,nuke,speed,Purple,0,1,decisive,4962,165.4
Black,nuke,reinforcements,Yellow,nuke,wall,Red,0,1,decisive,9229,307.6
Black,nuke,reinforcements,Yellow,firebomb,heal,Blue,0,1,decisive,6022,200.7
Black,nuke,reinforcements,Yellow,firebomb,reinforcements,Purple,0,1,decisive,9951,331.7
Black,nuke,reinforcements,Yellow,firebomb,speed,Purple,0,1,decisive,5744,191.5
Black,nuke,reinforcements,Yellow,firebomb,wall,Blue,0,1,decisive,8867,295.6
Black,nuke,reinforcements,Yellow,snipe,heal,Orange,1,1,decisive,4711,157.0
Black,nuke,reinforcements,Yellow,snipe,reinforcements,Black,0,1,decisive,9835,327.8
Black,nuke,reinforcements,Yellow,snipe,speed,Blue,0,1,decisive,6149,205.0
Black,nuke,reinforcements,Yellow,snipe,wall,Orange,0,1,decisive,6505,216.8
Black,nuke,reinforcements,Yellow,freeze,heal,Orange,0,1,decisive,7314,243.8
Black,nuke,reinforcements,Yellow,freeze,reinforcements,Yellow,0,2,decisive,9403,313.4
Black,nuke,reinforcements,Yellow,freeze,speed,Orange,1,1,decisive,5986,199.5
Black,nuke,reinforcements,Yellow,freeze,wall,Purple,0,1,decisive,9268,308.9
Black,nuke,speed,Black,nuke,heal,White,0,1,decisive,6574,219.1
Black,nuke,speed,Black,nuke,reinforcements,Black,0,2,decisive,7327,244.2
Black,nuke,speed,Black,nuke,speed,Black,0,0,draw,9739,324.6
Black,nuke,speed,Black,nuke,wall,Red,1,2,decisive,8277,275.9
Black,nuke,speed,Black,firebomb,heal,Blue,0,2,decisive,8383,279.4
Black,nuke,speed,Black,firebomb,reinforcements,White,0,2,decisive,5764,192.1
Black,nuke,speed,Black,firebomb,speed,Purple,0,2,decisive,7442,248.1
Black,nuke,speed,Black,firebomb,wall,Purple,0,2,decisive,8675,289.2
Black,nuke,speed,Black,snipe,heal,Green,0,1,decisive,9376,312.5
Black,nuke,speed,Black,snipe,reinforcements,Green,0,2,decisive,9325,310.8
Black,nuke,speed,Black,snipe,speed,Purple,0,1,decisive,7970,265.7
Black,nuke,speed,Black,snipe,wall,Green,0,1,decisive,6403,213.4
Black,nuke,speed,Black,freeze,heal,Red,0,2,decisive,8389,279.6
Black,nuke,speed,Black,freeze,reinforcements,Blue,0,2,decisive,5886,196.2
Black,nuke,speed,Black,freeze,speed,Purple,0,1,decisive,7037,234.6
Black,nuke,speed,Black,freeze,wall,Green,0,2,decisive,8919,297.3
Black,nuke,speed,Blue,nuke,heal,Red,0,1,decisive,7206,240.2
Black,nuke,speed,Blue,nuke,reinforcements,Purple,0,2,decisive,5582,186.1
Black,nuke,speed,Blue,nuke,speed,Orange,0,1,decisive,6513,217.1
Black,nuke,speed,Blue,nuke,wall,Green,0,2,decisive,9023,300.8
Black,nuke,speed,Blue,firebomb,heal,Purple,0,2,decisive,7319,244.0
Black,nuke,speed,Blue,firebomb,reinforcements,Red,0,2,decisive,7348,244.9
Black,nuke,speed,Blue,firebomb,speed,Black,0,2,decisive,8034,267.8
Black,nuke,speed,Blue,firebomb,wall,Green,0,2,decisive,8963,298.8
Black,nuke,speed,Blue,snipe,heal,Orange,0,1,decisive,5834,194.5
Black,nuke,speed,Blue,snipe,reinforcements,White,0,2,decisive,6496,216.5
Black,nuke,speed,Blue,snipe,speed,Green,0,1,decisive,6173,205.8
Black,nuke,speed,Blue,snipe,wall,Green,0,1,decisive,12303,410.1
Black,nuke,speed,Blue,freeze,heal,Purple,0,2,decisive,8889,296.3
Black,nuke,speed,Blue,freeze,reinforcements,Red,0,2,decisive,7490,249.7
Black,nuke,speed,Blue,freeze,speed,Black,0,1,decisive,6080,202.7
Black,nuke,speed,Blue,freeze,wall,White,0,2,decisive,8386,279.5
Black,nuke,speed,Green,nuke,heal,Red,1,1,decisive,9499,316.6
Black,nuke,speed,Green,nuke,reinforcements,Blue,0,2,decisive,8982,299.4
Black,nuke,speed,Green,nuke,speed,Blue,0,1,decisive,4426,147.5
Black,nuke,speed,Green,nuke,wall,Red,0,2,decisive,8132,271.1
Black,nuke,speed,Green,firebomb,heal,Orange,0,2,decisive,9268,308.9
Black,nuke,speed,Green,firebomb,reinforcements,Yellow,0,2,decisive,6902,230.1
Black,nuke,speed,Green,firebomb,speed,Red,0,1,decisive,9515,317.2
Black,nuke,speed,Green,firebomb,wall,Black,0,2,decisive,7682,256.1
Black,nuke,speed,Green,snipe,heal,Red,0,1,decisive,11508,383.6
Black,nuke,speed,Green,snipe,reinforcements,Orange,0,2,decisive,10086,336.2
Black,nuke,speed,Green,snipe,speed,Red,0,1,decisive,5318,177.3
Black,nuke,speed,Green,snipe,wall,Purple,1,1,decisive,9954,331.8
Black,nuke,speed,Green,freeze,heal,Purple,0,2,decisive,7977,265.9
Black,nuke,speed,Green,freeze,reinforcements,Green,0,2,decisive,7948,264.9
Black,nuke,speed,Green,freeze,speed,Red,0,1,decisive,12889,429.6
Black,nuke,speed,Green,freeze,wall,Yellow,0,2,decisive,7711,257.0
Black,nuke,speed,Orange,nuke,heal,Blue,0,2,decisive,7493,249.8
Black,nuke,speed,Orange,nuke,reinforcements,Black,0,2,decisive,5807,193.6
Black,nuke,speed,Orange,nuke,speed,Green,0,2,decisive,6335,211.2
Black,nuke,speed,Orange,nuke,wall,Orange,0,2,decisive,7727,257.6
Black,nuke,speed,Orange,firebomb,heal,White,0,2,decisive,6240,208.0
Black,nuke,speed,Orange,firebomb,reinforcements,Green,0,2,decisive,6224,207.5
Black,nuke,speed,Orange,firebomb,speed,Green,0,2,decisive,8453,281.8
Black,nuke,speed,Orange,firebomb,wall,Orange,0,2,decisive,6914,230.5
Black,nuke,speed,Orange,snipe,heal,Green,0,2,decisive,9614,320.5
Black,nuke,speed,Orange,snipe,reinforcements,Blue,0,2,decisive,6508,216.9
Black,nuke,speed,Orange,snipe,speed,Purple,0,1,decisive,4637,154.6
Black,nuke,speed,Orange,snipe,wall,Orange,0,2,decisive,8069,269.0
Black,nuke,speed,Orange,freeze,heal,Yellow,0,1,decisive,10644,354.8
Black,nuke,speed,Orange,freeze,reinforcements,Orange,0,2,decisive,6384,212.8
Black,nuke,speed,Orange,freeze,speed,Blue,0,1,decisive,8006,266.9
Black,nuke,speed,Orange,freeze,wall,Green,0,2,decisive,9139,304.6
Black,nuke,speed,Purple,nuke,heal,Yellow,0,2,decisive,8197,273.2
Black,nuke,speed,Purple,nuke,reinforcements,White,0,2,decisive,5473,182.4
Black,nuke,speed,Purple,nuke,speed,Black,0,1,decisive,9155,305.2
Black,nuke,speed,Purple,nuke,wall,Yellow,0,2,decisive,7740,258.0
Black,nuke,speed,Purple,firebomb,heal,Red,0,2,decisive,9520,317.3
Black,nuke,speed,Purple,firebomb,reinforcements,Purple,0,2,decisive,7318,243.9
Black,nuke,speed,Purple,firebomb,speed,Purple,0,1,decisive,9439,314.6
Black,nuke,speed,Purple,firebomb,wall,White,0,2,decisive,8062,268.7
Black,nuke,speed,Purple,snipe,heal,Orange,0,1,decisive,9874,329.1
Black,nuke,speed,Purple,snipe,reinforcements,Purple,0,2,decisive,6174,205.8
Black,nuke,speed,Purple,snipe,speed,Yellow,0,2,decisive,7272,242.4
Black,nuke,speed,Purple,snipe,wall,White,0,2,decisive,7833,261.1
Black,nuke,speed,Purple,freeze,heal,Purple,1,2,decisive,9750,325.0
Black,nuke,speed,Purple,freeze,reinforcements,Blue,0,2,decisive,7484,249.5
Black,nuke,speed,Purple,freeze,speed,Green,0,1,decisive,9499,316.6
Black,nuke,speed,Purple,freeze,wall,White,0,2,decisive,8605,286.8
Black,nuke,speed,Red,nuke,heal,Purple,0,1,decisive,6558,218.6
