candidate,hpEvalSeconds,minHpLossPctPerSec,killerInstinctHp,attackSpendFraction,avgScore,Tier1Spam,Tier2Spam,Tier3Spam,Tier4Spam,Tier5Spam,Tier6Spam,Tier7Spam,Tier8Spam,castle_defense_p1_v4,castle_defense_p1_v7,castle_defense_p1_v23,castle_defense_p1_v14,castle_defense_p1_v21
cand27,20.06,1.194,4187,0.740,85.13,90.0,100.0,78.3,58.3,90.0,100.0,100.0,100.0,72.5,80.0,75.0,87.5,75.0
cand28,13.39,1.801,2214,0.892,85.26,93.3,100.0,91.7,61.7,91.7,100.0,100.0,100.0,67.5,82.5,62.5,77.5,80.0
cand29,11.14,1.083,741,0.876,86.03,96.7,98.3,86.7,76.7,90.0,100.0,100.0,100.0,62.5,80.0,62.5,75.0,90.0
cand30,20.28,1.375,9644,0.554,85.90,90.0,100.0,96.7,66.7,83.3,100.0,100.0,100.0,70.0,87.5,65.0,82.5,75.0
cand31,20.42,1.618,5501,0.768,87.50,93.3,98.3,91.7,65.0,91.7,100.0,100.0,100.0,77.5,82.5,65.0,87.5,85.0
cand32,24.97,0.304,7891,0.556,87.18,91.7,100.0,88.3,65.0,93.3,100.0,100.0,100.0,70.0,80.0,77.5,77.5,90.0
cand33,16.67,1.297,7659,0.952,87.82,96.7,98.3,91.7,60.0,80.0,100.0,100.0,100.0,80.0,85.0,75.0,90.0,85.0
cand34,28.41,0.342,7061,0.808,85.13,93.3,100.0,85.0,70.0,88.3,100.0,100.0,100.0,72.5,82.5,45.0,92.5,77.5
cand35,27.47,0.320,1684,0.671,88.01,88.3,98.3,88.3,65.0,86.7,100.0,100.0,100.0,70.0,87.5,82.5,90.0,87.5
cand36,17.29,0.625,4455,0.553,87.24,93.3,98.3,86.7,68.3,95.0,100.0,100.0,100.0,72.5,82.5,75.0,85.0,77.5
cand37,25.08,0.341,9216,0.574,87.31,90.0,100.0,90.0,63.3,91.7,100.0,100.0,100.0,72.5,82.5,67.5,92.5,85.0
cand38,20.66,1.663,8623,0.599,86.15,91.7,98.3,91.7,66.7,86.7,100.0,100.0,100.0,65.0,77.5,75.0,85.0,82.5
cand39,13.44,0.727,5799,0.938,87.76,90.0,96.7,95.0,76.7,95.0,100.0,100.0,100.0,67.5,77.5,70.0,85.0,87.5
cand40,28.02,0.175,9518,0.889,87.31,91.7,100.0,85.0,61.7,91.7,100.0,100.0,100.0,82.5,77.5,67.5,90.0,87.5
cand41,22.11,0.538,3773,0.890,87.69,85.0,100.0,96.7,71.7,86.7,100.0,100.0,100.0,60.0,82.5,87.5,90.0,80.0
cand42,24.57,0.545,2867,0.827,84.87,88.3,98.3,91.7,60.0,90.0,100.0,100.0,100.0,60.0,80.0,57.5,92.5,85.0
cand43,23.68,1.197,5652,0.558,87.69,95.0,100.0,91.7,66.7,91.7,100.0,100.0,100.0,67.5,92.5,77.5,77.5,80.0
cand44,19.23,1.391,830,0.607,86.09,90.0,100.0,91.7,68.3,76.7,100.0,100.0,100.0,80.0,77.5,72.5,82.5,80.0
cand45,20.98,0.316,7815,0.857,86.15,83.3,100.0,95.0,63.3,88.3,100.0,100.0,100.0,85.0,85.0,60.0,85.0,75.0
cand46,11.41,1.218,2010,0.606,87.82,93.3,98.3,88.3,73.3,83.3,100.0,100.0,100.0,70.0,90.0,70.0,82.5,92.5
cand47,8.64,1.734,1834,0.880,85.19,90.0,100.0,85.0,66.7,88.3,100.0,100.0,100.0,65.0,85.0,52.5,85.0,90.0
cand48,22.67,1.510,5047,0.968,87.24,93.3,98.3,95.0,68.3,86.7,100.0,100.0,100.0,77.5,77.5,65.0,95.0,77.5
cand49,12.24,1.751,9400,0.555,86.67,93.3,100.0,90.0,58.3,90.0,100.0,100.0,100.0,67.5,80.0,62.5,97.5,87.5
cand50,17.43,0.771,5300,0.692,87.69,91.7,100.0,85.0,70.0,93.3,100.0,100.0,100.0,77.5,82.5,77.5,82.5,80.0
cand51,13.51,1.669,8284,0.658,86.22,88.3,100.0,90.0,68.3,86.7,100.0,100.0,100.0,70.0,87.5,65.0,90.0,75.0
cand52,13.43,0.697,9337,0.769,87.50,91.7,98.3,98.3,58.3,88.3,100.0,100.0,100.0,80.0,75.0,75.0,87.5,85.0
cand53,18.92,0.620,8895,0.645,87.63,86.7,100.0,83.3,71.7,85.0,100.0,100.0,100.0,80.0,90.0,70.0,82.5,90.0
cand54,8.67,1.649,4121,0.857,86.67,91.7,100.0,93.3,51.7,85.0,100.0,100.0,100.0,77.5,85.0,72.5,92.5,77.5
cand55,12.87,0.902,5931,0.928,86.99,91.7,98.3,91.7,56.7,90.0,100.0,100.0,100.0,80.0,85.0,67.5,87.5,82.5
cand56,27.49,1.761,7795,0.764,87.12,95.0,98.3,95.0,63.3,88.3,100.0,100.0,100.0,60.0,92.5,82.5,80.0,77.5
cand57,27.04,0.314,2676,0.910,89.17,95.0,100.0,93.3,70.0,88.3,100.0,100.0,100.0,75.0,87.5,65.0,100.0,85.0
cand58,16.13,1.762,1454,0.774,85.06,86.7,100.0,93.3,65.0,88.3,100.0,100.0,100.0,67.5,75.0,72.5,90.0,67.5
cand59,22.33,0.841,6507,0.825,87.63,96.7,96.7,91.7,56.7,90.0,100.0,100.0,100.0,72.5,87.5,77.5,82.5,87.5
cand60,26.16,0.105,5813,0.564,86.86,85.0,100.0,88.3,63.3,90.0,100.0,100.0,100.0,65.0,85.0,70.0,92.5,90.0
